title,include1,include2,source,include_final
"Climatic, landform, microtopographic, and overstory canopy controls of tree invasion in a subalpine meadow landscape, Oregon Cascades, USA",Yes,NA,wos,Yes
Climate Change and Ecosystem Disruption: The Health Impacts of the North American Rocky Mountain Pine Beetle Infestation,Maybe,NA,wos,Maybe
"Perspectives on Climate Change, Mountain Hydrology, and Water Resources in the Oregon Cascades, USA",Yes,NA,wos,Yes
Coupled daily streamflow and water temperature modelling in large river basins,Maybe,NA,wos,Maybe
Modeling Interannual Variability in Snow-Cover Development and Melt for a Semiarid Mountain Catchment,Yes,NA,wos,Yes
Small soil storage capacity limits benefit of winter snowpack to upland vegetation,Yes,NA,wos,Yes
"Estimates of future flow, including extremes, of the Columbia River headwaters",Yes,NA,wos,Yes
Changes in Spring Snowpack for Selected Basins in the United States for Different Climate-Change Scenarios,Yes,NA,wos,Yes
"Climate determines upper, but not lower, altitudinal range limits of Pacific Northwest conifers",Yes,NA,wos,Yes
"Influences of the biophysical environment on blister rust and mountain pine beetle, and their interactions, in whitebark pine forests",Yes,NA,wos,Yes
Sediment reservoirs at mountain stream confluences: Dynamics and effects of tributaries dominated by debris-flow and fluvial processes,Maybe,NA,wos,Maybe
Modeling the Effects of Developmental Variation on Insect Phenology,Yes,NA,wos,Yes
Effects of climate change and wildfire on stream temperatures and salmonid thermal habitat in a mountain river network,Yes,NA,wos,Yes
On glacier retreat and drought cycles in the Rocky Mountains of Montana and Canada,Yes,NA,wos,Yes
Optimized Flood Control in the Columbia River Basin for a Global Warming Scenario,Yes,NA,wos,Yes
Modeling Tamarisk (Tamarix spp.) Habitat and Climate Change Effects in the Northwestern United States,Yes,NA,wos,Yes
Mountain pine beetle and forest carbon feedback to climate change,Yes,NA,wos,Yes
Anticipated climate warming effects on bull trout habitats and populations across the interior Columbia River basin,Yes,NA,wos,Yes
"Food habits of wolverine Gulo gulo in montane ecosystems of British Columbia, Canada",Yes,NA,wos,Yes
Mountain hydrology of the western United States,Yes,NA,wos,Yes
"Foliar nitrogen patterns following stand-replacing fire in lodgepole pine (Pinus contorta var. latifolia) forests of the Rocky Mountains, USA",Yes,NA,wos,Yes
A test of high-dose verbenone for stand-level protection of lodgepole and whitebark pine from mountain pine beetle (Coleoptera : Curculionidae : Scolytinae) attacks,Yes,NA,wos,Yes
Flow regime alterations under changing climate in two river basins: Implications for freshwater ecosystems,Yes,NA,wos,Yes
Declining mountain snowpack in western north America,Yes,NA,wos,Yes
Fire-induced erosion and millennialscale climate change in northern ponderosa pine forests,Yes,NA,wos,Yes
Characteristics of the western United States snowpack from snowpack telemetry (SNOTEL) data,Yes,NA,wos,Yes
"Carbon implications of current and future effects of drought, fire and management on Pacific Northwest forests",Yes,NA,wos,Yes
Projected Future Vegetation Changes for the Northwest United States and Southwest Canada at a Fine Spatial Resolution Using a Dynamic Global Vegetation Model,Yes,NA,wos,Yes
Sensitivity of soil water availability to changing snowmelt timing in the western US,Yes,NA,wos,Yes
Snow cover variability in a forest ecotone of the Oregon Cascades via MODIS Terra products,Yes,NA,wos,Yes
"Epiphytic macrolichen indication of air quality and climate in interior forested mountains of the Pacific Northwest, USA",Yes,NA,wos,Yes
A range-wide occupancy estimate and habitat model for the endangered Point Arena mountain beaver (Aplodontia rufa nigra),Yes,NA,wos,Yes
Mountain landscapes offer few opportunities for high-elevation tree species migration,Yes,NA,wos,Yes
How will orographic precipitation respond to surface warming? An idealized thermodynamic perspective,Yes,NA,wos,Yes
"A spatiotemporal pattern analysis of historical mountain pine beetle outbreaks in British Columbia, Canada",Yes,NA,wos,Yes
"Temporal Trend Analyses of Alpine Data Using North American Regional Reanalysis and In Situ Data: Temperature, Wind Speed, Precipitation, and Derived Blowing Snow",Yes,NA,wos,Yes
Bull Trout Trends in Abundance and Probabilities of Persistence in Idaho,Yes,NA,wos,Yes
Hydrologic and erosion responses to wildfire along the rangeland-xeric forest continuum in the western US: a review and model of hydrologic vulnerability,Maybe,NA,wos,Maybe
Improving the degree-day method for sub-daily melt simulations with physically-based diurnal variations,Yes,NA,wos,Yes
Thinning ponderosa pine (Pinus ponderosa) stands reduces mortality while maintaining stand productivity,Yes,NA,wos,Yes
Population connectivity and genetic diversity of American marten (Martes americana) in the United States northern Rocky Mountains in a climate change context,Yes,NA,wos,Yes
"The relative influence of temperature, moisture and their interaction on range limits of mammals over the past century",Yes,NA,wos,Yes
Anticipating the consequences of climate change for Canada's boreal forest ecosystems,Yes,NA,wos,Yes
Spatial and Temporal Change in the Hydro-Climatology of the Canadian Portion of the Columbia River Basin under Multiple Emissions Scenarios,Yes,NA,wos,Yes
"Glacier Meltwater Contributions and Glaciometeorological Regime of the Illecillewaet River Basin, British Columbia, Canada",Yes,NA,wos,Yes
Controls of summer stream temperature in the Pacific Northwest,Yes,NA,wos,Yes
Willamette River Basin surface water isoscape (delta O-18 and delta H-2): temporal changes of source water within the river,Yes,NA,wos,Yes
Reconstructing historical snow depth surfaces to evaluate changes in critical demographic rates and habitat components of snow-dependent and snow-restricted species,Yes,NA,wos,Yes
Climate Change Refugia for Biodiversity in the Klamath-Siskiyou Ecoregion,Yes,NA,wos,Yes
"Modeling Effects of Climate Change and Fire Management on Western White Pine (Pinus monticola) in the Northern Rocky Mountains, USA",Yes,NA,wos,Yes
Twenty Years After the 1988 Yellowstone Fires: Lessons About Disturbance and Ecosystems,Yes,NA,wos,Yes
Continued warming could transform Greater Yellowstone fire regimes by mid-21st century,Yes,NA,wos,Yes
The Unusual Nature of Recent Snowpack Declines in the North American Cordillera,Yes,NA,wos,Yes
Interspecies Synchrony in Salmonid Densities Associated with Large-Scale Bioclimatic Conditions in Central Idaho,Yes,NA,wos,Yes
A process-based approach to estimate lodgepole pine (Pinus contorta Dougl.) distribution in the Pacific Northwest under climate change,Yes,NA,wos,Yes
Observations and modeling of aboveground tree carbon stocks and fluxes following a bark beetle outbreak in the western United States,Yes,NA,wos,Yes
"Groundwater level responses in temperate mountainous terrain: regime classification, and linkages to climate and streamflow",Yes,NA,wos,Yes
Local atmospheric decoupling in complex topography alters climate change impacts,Yes,NA,wos,Yes
"Forest ecosystems, disturbance, and climatic change in Washington State, USA",Yes,NA,wos,Yes
Surface temperature lapse rates over complex terrain: Lessons from the Cascade Mountains,Yes,NA,wos,Yes
A New Look at Snowpack Trends in the Cascade Mountains,Yes,NA,wos,Yes
"Relationship between fire, climate oscillations, and drought in British Columbia, Canada, 1920-2000",Yes,NA,wos,Yes
Spatial Patterns of Glaciers in Response to Spatial Patterns in Regional Climate,Yes,NA,wos,Yes
"Distribution, rarity and habitats of three aquatic lichens on federal land in the US Pacific Northwest",Yes,NA,wos,Yes
Climatic change and wetland desiccation cause amphibian decline in Yellowstone National Park,Yes,NA,wos,Yes
A mechanistic assessment of nutrient flushing at the catchment scale,Yes,NA,wos,Yes
"Late Pleistocene northward-dispersing Bison antiquus from the Bighill Creek Formation, Gallelli Gravel Pit, Alberta, Canada, and the fate of Bison occidentalis",NA,NA,wos,NA
"Atmospheric flow indices, regional climate, and glacier mass balance in the Canadian Rocky Mountains",Yes,NA,wos,Yes
Responses of soil bacterial and fungal communities to reciprocal transfers of soil between adjacent coniferous forest and meadow vegetation in the Cascade Mountains of Oregon,Maybe,NA,wos,Maybe
A comparison of SNOTEL and GHCN/CRU surface temperatures with free-air temperatures at high elevations in the western United States: Data compatibility and trends,Yes,NA,wos,Yes
A method for estimating vulnerability of Douglas-fir growth to climate change in the northwestern US,Yes,NA,wos,Yes
Columbia River flow and drought since 1750,Yes,NA,wos,Yes
Vegetation sensitivity to global anthropogenic carbon dioxide emissions in a topographically complex region,Yes,NA,wos,Yes
The role of climate and vegetation change in shaping past and future fire regimes in the northwestern US and the implications for ecosystem management,Yes,NA,wos,Yes
Belowground carbon pools and processes in different age stands of Douglas-fir,Yes,NA,wos,Yes
Ecosystem dynamics and disturbance in mountain wildernesses: Assessing vulnerability of natural resources to change,Yes,NA,wos,Yes
Hydrological effects of a changed climate in humid and arid mountain regions,Yes,NA,wos,Yes
"EFFECTS OF HYDROLOGY ON ZOOPLANKTON COMMUNITIES IN HIGH-MOUNTAIN PONDS, MOUNT-RAINIER-NATIONAL-PARK, USA",Yes,NA,wos,Yes
A SUBGRID PARAMETERIZATION OF OROGRAPHIC PRECIPITATION,Yes,NA,wos,Yes
The economic impact of the mountain pine beetle infestation in British Columbia: provincial estimates from a CGE analysis,Yes,NA,wos,Yes
Applying Resilience Concepts in Forest Management: A Retrospective Simulation Approach,Yes,NA,wos,Yes
Rethinking the longitudinal stream temperature paradigm: region-wide comparison of thermal infrared imagery reveals unexpected complexity of river temperatures,Yes,NA,wos,Yes
PRODUCTION AND NUTRIENT CONTENT OF TWO SHRUB SPECIES RELATED TO FIRE IN CENTRAL IDAHO,Yes,NA,wos,Yes
Multi-scale environmental filters and niche partitioning govern the distributions of riparian vegetation guilds,Yes,NA,wos,Yes
"Detecting recent changes in the areal extent glaciers, USA",Yes,NA,wos,Yes
"Adapting transportation to climate change on federal lands in Washington State, USA",Yes,NA,wos,Yes
Elevation-dependent responses of streamflow to climate warming,Yes,NA,wos,Yes
Projected Climate Change and Variability and Their Impact on the Canadian Rocky Mountains,Yes,NA,wos,Yes
Does Whirling Disease Mediate Hybridization between a Native and Nonnative Trout?,Yes,NA,wos,Yes
Validation and sensitivity test of the distributed hydrology soil-vegetation model (DHSVM) in a forested mountain watershed,Yes,NA,wos,Yes
Sensitivity of snowpack storage to precipitation andtemperature using spatial and temporal analog models,Yes,NA,wos,Yes
How the Mountain Pine Beetle (Dendroctonus ponderosae) Breached the Canadian Rocky Mountains,Yes,NA,wos,Yes
Early indicators of change: divergent climate envelopes between tree life stages imply range shifts in the western United States,Yes,NA,wos,Yes
A 100-year conservation experiment: Impacts on forest carbon stocks and fluxes,Yes,NA,wos,Yes
"Tree growth and climate in the Pacific Northwest, North America: a broad-scale analysis of changing growth environments",Yes,NA,wos,Yes
"Holocene fire occurrence and alluvial responses at the leading edge of pinyon-juniper migration in the Northern Great Basin, USA",Yes,NA,wos,Yes
Characterizing the physical and genetic structure of the lodgepole pine jack pine hybrid zone: mosaic structure and differential introgression,Yes,NA,wos,Yes
"IMPACTS OF DAMS ON FLOW REGIMES IN THREE HEADWATER SUBBASINS OF THE COLUMBIA RIVER BASIN, UNITED STATES",Yes,NA,wos,Yes
"Factors Influencing Legacy Pollutant Accumulation in Alpine Osprey: Biology, Topography, Or Melting Glaciers?",Yes,NA,wos,Yes
Modelling the ecosystem indicators of British Columbia using Earth observation data and terrain indices,Yes,NA,wos,Yes
Modeling lodgepole and jack pine vulnerability to mountain pine beetle expansion into the western Canadian boreal forest,Yes,NA,wos,Yes
A grid-based approach for simulating stream temperature,Yes,NA,wos,Yes
Survival and population size of a resident bird species are declining as temperature increases,Yes,NA,wos,Yes
Climate change could alter the distribution of mountain pine beetle outbreaks in western Canada,Yes,NA,wos,Yes
Enhanced sediment delivery in a changing climate in semi-arid mountain basins: Implications for water resource management and aquatic habitat in the northern Rocky Mountains,Yes,NA,wos,Yes
"Climate change impacts on valley-bottom aquifers in mountain regions: case studies from British Columbia, Canada",NA,NA,wos,NA
Simulations show decreasing carbon stocks and potential for carbon emissions in Rocky Mountain forests over the next century,Yes,NA,wos,Yes
"Trail of Story, Traveller's Path: Reflections on Ethnoecology and Landscape",Yes,NA,wos,Yes
Deep groundwater mediates streamflow response to climate warming in the Oregon Cascades,Yes,NA,wos,Yes
Spatial patterns of forest characteristics in the western United States derived from inventories,Yes,NA,wos,Yes
"Significance of trends toward earlier snowmelt runoff, Columbia and Missouri Basin headwaters, western United States",Yes,NA,wos,Yes
The structure of genetic diversity in Engelmann spruce and a comparison with blue spruce,Yes,NA,wos,Yes
Development of scale-free climate data for western Canada for use in resource management,Yes,NA,wos,Yes
Downscaling simulations of future global climate with application to hydrologic modelling,Yes,NA,wos,Yes
Genetic consequences of forest population dynamics influenced by historic climatic variability in the western USA,Yes,NA,wos,Yes
Mid-century ensemble regional climate change scenarios for the western United States,Yes,NA,wos,Yes
Climate change and the outbreak ranges of two North American bark beetles,Yes,NA,wos,Yes
"Assessment of climate change and freshwater ecosystems of the Rocky Mountains, USA and Canada",Yes,NA,wos,Yes
RESPONSE OF ALLUVIAL SYSTEMS TO FIRE AND CLIMATE CHANGE IN YELLOWSTONE-NATIONAL-PARK,NA,NA,wos,NA
Snowmelt rate dictates streamflow,Yes,NA,wos,Yes
Scientific Knowledge and Knowledge Needs in Climate Adaptation Policy,Yes,NA,wos,Yes
Recent bark beetle outbreaks have little impact on streamflow in the Western United States,Yes,NA,wos,Yes
"Longitudinal changes in stream invertebrate assemblages of Grand Teton National Park, Wyoming",Yes,NA,wos,Yes
"Low genetic diversity, restricted dispersal, and elevation-specific patterns of population decline in American pikas in an atypical environment",Yes,NA,wos,Yes
Climate Change Vulnerabilities and Adaptation Options for Forest Vegetation Management in the Northwestern USA,Yes,NA,wos,Yes
"Complex Challenges of Maintaining Whitebark Pine in Greater Yellowstone under Climate Change: A Call for Innovative Research, Management, and Policy Approaches",Yes,NA,wos,Yes
Assessing differences in snowmelt-dependent hydrologic projections using CMIP3 and CMIP5 climate forcing data for the western United States,Yes,NA,wos,Yes
"Get Real: Climate Change and All That ""It' Entails",Yes,NA,wos,Yes
Projected major fire and vegetation changes in the Pacific Northwest of the conterminous United States under selected CMIP5 climate futures,Yes,NA,wos,Yes
Snowpack sensitivity to perturbed climate in a cool mid-latitude mountain catchment,Yes,NA,wos,Yes
"Complex history of isolation and gene flow in hoary, Olympic, and endangered Vancouver Island marmots",Yes,NA,wos,Yes
Forest structure and species traits mediate projected recruitment declines in western US tree species,Yes,NA,wos,Yes
A Model for Mountain Pine Beetle Outbreaks in an Age-Structured Forest: Predicting Severity and Outbreak-Recovery Cycle Period,Yes,NA,wos,Yes
Indicators of Climate Change in Idaho: An Assessment Framework for Coupling Biophysical Change and Social Perception,Yes,NA,wos,Yes
Life-stage-specific physiology defines invasion extent of a riverine fish,Yes,NA,wos,Yes
Niche divergence of Abies grandis-Abies concolor hybrids,Yes,NA,wos,Yes
Climatic changes in mountain regions of the American Cordillera and the tropics: historical changes and future outlook,Maybe,NA,wos,Maybe
"Hydrologic modeling using elevationally adjusted NARR and NARCCAP regional climate-model simulations: Tucannon River, Washington",Yes,NA,wos,Yes
Proposed research on social perception of marker-assisted selection and its role in the forests of British Columbia,Maybe,NA,wos,Maybe
"Extinction debt in naturally contracting mountain meadows in the Pacific Northwest, USA: varying responses of plants and feeding guilds of nocturnal moths",Yes,NA,wos,Yes
Streamflow simulation methods for ungauged and poorly gauged watersheds,Yes,NA,wos,Yes
"Forest as hazard, forest as victim: Community perspectives and disaster mitigation in the aftermath of Kelowna's 2003 wildfires",Yes,NA,wos,Yes
"The importance of seasonal temperature and moisture patterns on growth of Douglas-fir in western Oregon, USA",Yes,NA,wos,Yes
How Ecosystem Service Provision Can Increase Forest Mortality from Insect Outbreaks,Maybe,NA,wos,Maybe
Glacier variability in the conterminous United States during the twentieth century,Yes,NA,wos,Yes
Changes in blister rust infection and mortality in whitebark pine over time,Yes,NA,wos,Yes
HYDROGEOMORPHIC CLASSIFICATION OF WASHINGTON STATE RIVERS TO SUPPORT EMERGING ENVIRONMENTAL FLOW MANAGEMENT STRATEGIES,Yes,NA,wos,Yes
Frog population viability under present and future climate conditions: a Bayesian state-space approach,Yes,NA,wos,Yes
Evaluating the sufficiency of protected lands for maintaining wildlife population connectivity in the U.S. northern Rocky Mountains,Yes,NA,wos,Yes
Evolving while invading: rapid adaptive evolution in juvenile development time for a biological control organism colonizing a high-elevation environment,Yes,NA,wos,Yes
Lapse Rate Adjustments of Gridded Surface Temperature Normals in an Area of Complex Terrain: Atmospheric Reanalysis versus Statistical Up-Sampling,Yes,NA,wos,Yes
Population fragmentation and inter-ecosystem movements of grizzly bears in western Canada and the northern United States,Yes,NA,wos,Yes
Simulating coupled carbon and nitrogen dynamics following mountain pine beetle outbreaks in the western United States,Maybe,NA,wos,Maybe
The influence of surface versus free-air decoupling on temperature trend patterns in the western United States,Yes,NA,wos,Yes
Conservation of caribou (Rangifer tarandus) in Canada: an uncertain future,Yes,NA,wos,Yes
Mountain pine beetle host-range expansion threatens the boreal forest,Yes,NA,wos,Yes
"Empirical modeling of spatial and temporal variation in warm season nocturnal air temperatures in two North Idaho mountain ranges, USA",Yes,NA,wos,Yes
AN APPLICATION OF STATISTICS IN CLIMATE CHANGE: DETECTION OF NONLINEAR CHANGES IN A STREAMFLOW TIMING MEASURE IN THE COLUMBIA AND MISSOURI HEADWATERS,Yes,NA,wos,Yes
Climate Change and Bark Beetles of the Western United States and Canada: Direct and Indirect Effects,Yes,NA,wos,Yes
Decreased winter severity increases viability of a montane frog population,Yes,NA,wos,Yes
Downscaling hydroclimatic changes over the Western US based on CAM subgrid scheme and WRF regional climate simulations,Yes,NA,wos,Yes
Analysis of potential impacts of climate change on forests of the United States Pacific Northwest,Yes,NA,wos,Yes
Mycorrhizal networks and complex systems: Contributions of soil ecology science to managing climate change effects in forested ecosystems,Yes,NA,wos,Yes
PRECIPITATION AND TEMPERATURE ESTIMATION ERROR AT ALPINE TREELINE ECOTONES USING THE MOUNTAIN CLIMATE SIMULATOR MODEL (MT-CLIM),Yes,NA,wos,Yes
Synthesis of sediment yields after wildland fire in different rainfall regimes in the western United States,Yes,NA,wos,Yes
Decision support for evaluating landscape departure and prioritizing forest management activities in a changing environment,Yes,NA,wos,Yes
US Forest Service bark beetle research in the western United States: Looking toward the future,Yes,NA,wos,Yes
Douglas-fir growth in mountain ecosystems: Water limits tree growth from stand to region,Yes,NA,wos,Yes
"Past, present, and future old growth in frequent-fire conifer forests of the Western United States",Yes,NA,wos,Yes
Empirical analyses of plant-climate relationships for the western United States,Yes,NA,wos,Yes
Variation in the relationship between snowmelt runoff in Oregon and ENSO and PDO,Yes,NA,wos,Yes
Effects of climate change on range expansion by the mountain pine beetle in British Columbia,Yes,NA,wos,Yes
Trends in temperature and precipitation in the Pacific northwest during the twentieth century,Yes,NA,wos,Yes
Soil-surface carbon dioxide efflux and microbial biomass in relation to tree density 13 years after a stand replacing fire in a lodgepole pine ecosystem,Yes,NA,wos,Yes
Impacts of increased atmospheric CO2 on the hydroclimate of the western United States,Yes,NA,wos,Yes
Transferring soils from high- to low-elevation forests increases nitrogen cycling rates: climate change implications,Yes,NA,wos,Yes
THE IMPACT OF GLOBAL WARMING ON LOCAL INCOMES FROM RANGE LIVESTOCK SYSTEMS,Maybe,NA,wos,Maybe
SENSITIVITY OF SUB-ALPINE FORESTS IN THE PACIFIC-NORTHWEST TO GLOBAL CLIMATE CHANGE,Yes,NA,wos,Yes
"Aftermath of Mountain Pine Beetle Outbreak in British Columbia: Stand Dynamics, Management Response and Ecosystem Resilience",Yes,Yes,wos,Yes
Influences of vegetation disturbance on hydrogeomorphic response following wildfire,Yes,Yes,wos,Yes
Effect of bedrock permeability on stream base flow mean transit time scaling relations: 1. A multiscale catchment intercomparison,Yes,Yes,wos,Yes
"Potential near-future carbon uptake overcomes losses from a large insect outbreak in British Columbia, Canada",Yes,Yes,wos,Yes
Detectability of change in winter precipitation within mountain landscapes: Spatial patterns and uncertainty,Yes,Yes,wos,Yes
FACING A CHANGING WORLD: THERMAL PHYSIOLOGY OF AMERICAN PIKAS (OCHOTONA PRINCEPS),Yes,Yes,wos,Yes
Fire and flood expand the floodplain shifting habitat mosaic concept,Yes,Yes,wos,Yes
Shifting ecological filters mediate postfire expansion of seedling aspen (Populus tremuloides) in Yellowstone,Yes,Yes,wos,Yes
A forest vulnerability index based on drought and high temperatures,Yes,Yes,wos,Yes
NA,NA,NA,wos,NA
NA,NA,NA,wos,NA
Spatial variation of snowmelt and sublimation in a high-elevation semi-desert basin of western Canada.,Yes,Yes,cabpro,Yes
Effects of increased soil water availability on grassland ecosystem carbon dioxide fluxes.,Yes,Yes,cabpro,Yes
"Effects of CO<sub xmlns=""http://www.w3.org/1999/xhtml"">2</sub>-induced climatic changes on snowpack and streamflow.",Yes,Yes,cabpro,Yes
Weak effect of climate variability on coexistence in a sagebrush steppe community.,Yes,Yes,cabpro,Yes
"Climatic and biophysical controls on conifer species distributions in mountain forests of Washington State, USA.",Yes,Yes,cabpro,Yes
"The Holocene history of bighorn sheep (Ovis canadensis) in eastern Washington state, northwestern USA",NA,No,cabpro,NA
Examining the Relationship between Drought Indices and Groundwater Levels,Maybe,Yes,cabpro,Yes
The impact of ENSO and macrocirculation patterns on precipitation under climate change.,Yes,Yes,cabpro,Yes
Impacts of Postdam Land Use/Land Cover Changes on Modification of Extreme Precipitation in Contrasting Hydroclimate and Terrain Features,Yes,Yes,cabpro,Yes
"Global modeling of withdrawal, allocation and consumptive use of surface water and groundwater resources",Maybe,Yes,cabpro,Yes
Water implications of foreign direct investment in Ethiopia's agricultural sector,NA,No,cabpro,NA
Three centuries of annual area burned variability in northwestern North America inferred from tree rings,Maybe,Maybe,cabpro,Maybe
"Alpine glaciers and permanent ice and snow patches in western Canada approach their smallest sizes since the mid-Holocene, consistent with global trends",Yes,NA,cabpro,Yes
"Blue Intensity for dendroclimatology: The BC blues: A case study from British Columbia, Canada",Yes,NA,cabpro,Yes
Tracking Interannual Streamflow Variability with Drought Indices in the U.S. Pacific Northwest,Yes,NA,cabpro,Yes
Extent of the rain-snow transition zone in the western U.S. under historic and projected climate,Yes,NA,cabpro,Yes
"Catchment-Scale Modeling of Nitrogen Dynamics in a Temperate Forested Watershed, Oregon. An Interdisciplinary Communication Strategy",Yes,NA,cabpro,Yes
MODIS Terra Collection 6 fractional snow cover validation in mountainous terrain during spring snowmelt using Landsat TM and ETM+,Yes,NA,cabpro,Yes
Staying the Course: Collaborative Modeling to Support Adaptive and Resilient Water Resource Governance in the Inland Northwest,Maybe,NA,cabpro,Maybe
Recent Declines in Western U.S. Snowpack in the Context of Twentieth-Century Climate Variability,Yes,NA,cabpro,Yes
Visualizing Spatial Heterogeneity of Western U.S. Climate Variability,Yes,NA,cabpro,Yes
Ecoregion and land-use influence invertebrate and detritus transport from headwater streams,Yes,NA,cabpro,Yes
"Spatial variation of erosion in a small, glaciated basin in the Teton Range, Wyoming, based on detrital apatite (U-Th)/He thermochronology",Yes,NA,cabpro,Yes
Statistical Comparisons of Watershed-Scale Response to Climate Change in Selected Basins across the United States,Yes,NA,cabpro,Yes
Regional approach for mapping climatological snow water equivalent over the mountainous regions of the western United States,Yes,NA,cabpro,Yes
Incorporating Climatological Techniques to Improve Tree-Ring Site Selection in Complex Terrain,Yes,NA,cabpro,Yes
Summertime climate response to mountain pine beetle disturbance in British Columbia,Yes,NA,cabpro,Yes
"Genetic responses to climate in <i xmlns=""http://www.w3.org/1999/xhtml"">Pinus contorta</i>: niche breadth, climate change, and reforestation.",Yes,NA,cabpro,Yes
Interannual variations in snowpack in the Crown of the Continent Ecosystem.,Yes,NA,cabpro,Yes
Climatic and hydrologic variability in a coastal watershed of Southwestern British Columbia.,Yes,NA,cabpro,Yes
Flood quantiles in a changing climate: seasonal forecasts and causal relations.,Yes,NA,cabpro,Yes
"Assessing the past and future distribution and productivity of ponderosa pine in the Pacific Northwest using a process model, 3-PG.",Yes,NA,cabpro,Yes
"Planktonic and epipelic algal communities and their relationship to physical and chemical variables in alpine ponds in Banff National Park, Canada.",Yes,NA,cabpro,Yes
Subalpine forest carbon cycling: short- and long-term influence of climate and species.,Yes,NA,cabpro,Yes
A two-parameter climate elasticity of streamflow index to assess climate change effects on annual streamflow.,Yes,NA,cabpro,Yes
Temperature trends at high elevations: patterns across the globe.,NA,NA,cabpro,NA
Combined effects of the Southern Oscillation index and the Pacific decadal oscillation on a stochastic daily precipitation model.,Yes,NA,cabpro,Yes
"Diversity of vascular plant species in the montane boreal forest of western Canada in response to climatic changes during the last 25 ka, fire, and land use.",Yes,NA,cabpro,Yes
Regional analysis of the impacts of climate change on cheatgrass invasion shows potential risk and opportunity.,Yes,NA,cabpro,Yes
Demographic compensation and tipping points in climate-induced range shifts.,Yes,NA,cabpro,Yes
"Local-scale validation of the Surface Observation Gridding System with <i xmlns=""http://www.w3.org/1999/xhtml"">in situ</i> weather observations in a semi-arid environment.",Yes,NA,cabpro,Yes
"Modeling amphibian energetics, habitat suitability, and movements of western toads, <i xmlns=""http://www.w3.org/1999/xhtml"">Anaxyrus</i> (=<i xmlns=""http://www.w3.org/1999/xhtml"">Bufo</i>) <i xmlns=""http://www.w3.org/1999/xhtml"">boreas</i>, across present and future landscapes.",Yes,NA,cabpro,Yes
Comparison of growth and stress in resident redband trout held in laboratory simulations of montane and desert summer temperature cycles.,Yes,NA,cabpro,Yes
"Forest ecosystems, disturbance, and climatic change in Washington State, USA.",Yes,NA,cabpro,Yes
"Long-term snow, climate, and streamflow trends at the Reynolds Creek Experimental Watershed, Owyhee Mountains, Idaho, United States.",Yes,NA,cabpro,Yes
Current health issues and management strategies for white pines in the western United States and Canada.,Yes,NA,cabpro,Yes
Shifts in western North American snowmelt runoff regimes for the recent warm decades.,Yes,NA,cabpro,Yes
Climate influences the demography of three dominant sagebrush steppe plants.,Yes,NA,cabpro,Yes
Sensitivity of the North American monsoon to antecedent Rocky Mountain snowpack.,Yes,NA,cabpro,Yes
"Transition from sagebrush steppe to annual grass (<i xmlns=""http://www.w3.org/1999/xhtml"">Bromus tectorum</i>): influence on belowground carbon and nitrogen.",Yes,NA,cabpro,Yes
"Forest structure altered by mountain pine beetle outbreaks affects subsequent attack in a Wyoming lodgepole pine forest, USA.",Yes,NA,cabpro,Yes
Modelling climate change impacts on spring runoff for the rocky mountains of Montana and Alberta II: runoff change projections using future scenarios.,Yes,NA,cabpro,Yes
"Periglacial debris-flow initiation and susceptibility and glacier recession from imagery, airborne liDAR, and ground-based mapping.",Yes,NA,cabpro,Yes
"Assessing streamflow sensitivity to temperature increases in the Salmon River Basin, Idaho.",Yes,NA,cabpro,Yes
Downscaling extremes - an intercomparison of multiple statistical methods for present climate.,Yes,NA,cabpro,Yes
Height-growth response to climatic changes differs among populations of Douglas-fir: a novel analysis of historic data.,Yes,NA,cabpro,Yes
"Estimates of carbon stored in harvested wood products from the United States Forest Service Northern Region, 1906-2010.",Yes,NA,cabpro,Yes
"Extrinsic regime shifts drive abrupt changes in regeneration dynamics at upper treeline in the Rocky Mountains, USA.",Yes,NA,cabpro,Yes
Future U.S. wildfire potential trends projected using a dynamically downscaled climate change scenario.,Yes,NA,cabpro,Yes
Spatial heterogeneity in ecologically important climate variables at coarse and fine scales in a high-snow mountain landscape.,Yes,NA,cabpro,Yes
Stream isotherm shifts from climate change and implications for distributions of ectothermic organisms.,Yes,NA,cabpro,Yes
"Hydrologic linkages between a climate oscillation, river flows, growth, and wood ��<sup xmlns=""http://www.w3.org/1999/xhtml"">13</sup>C of male and female cottonwood trees.",Yes,NA,cabpro,Yes
Climate and ecosystem linkages explain widespread declines in North American Atlantic salmon populations.,Yes,NA,cabpro,Yes
Responses of high-altitude graminoids and soil fungi to 20 years of experimental warming.,Yes,NA,cabpro,Yes
Using climate-FVS to project landscape-level forest carbon stores for 100 years from field and LiDAR measures of initial conditions.,Yes,NA,cabpro,Yes
Validation and sensitivity test of the distributed hydrology soil-vegetation model (DHSVM) in a forested mountain watershed.,Yes,NA,cabpro,Yes
Interannual variation in biomass burning and fire seasonality derived from geostationary satellite data across the contiguous United States from 1995 to 2011.,Yes,NA,cabpro,Yes
"Patterns and variability of projected bioclimatic habitat for <i xmlns=""http://www.w3.org/1999/xhtml"">Pinus albicaulis</i> in the Greater Yellowstone Area.",Yes,NA,cabpro,Yes
Amphibians in the climate vise: loss and restoration of resilience of montane wetland ecosystems in the western US.,Yes,NA,cabpro,Yes
Predicting thermal vulnerability of stream and river ecosystems to climate change.,Yes,NA,cabpro,Yes
