,authors,title,journal,language,type,keywords,keywords2 (assigned by web of science),abstract,year,doi,disciplines,wos_id,Assignment Round 1,Round 1: CRB headwaters?,Round 1: Topically appropriate?,Round 1: Include?,Round 1: Geographic scale,Round 1 Notes,Round 2: Assignment,Round 2: CRB headwaters?,Round 2: Topically appropriate?,Round 2: Include?,Round 2: Geographic scale,Round 2: Notes,Round 3: Assignment,Round 3: Mountainous CRB headwaters?,Round 3: Topically appropriate? ,Round 3: Include?,Round 3: Notes,Round 4: Assignment,Round 4: Mountainous CRB headwaters?,Round 4: Topically appropriate?,Round 4: Inlude?,Round 4: Notes,Mountainous quality questionable?
716,"Eaton, B. C.; Hassan, M. A.; Davidson, S. L.","Modeling wood dynamics, jam formation, and sediment storage in a gravel-bed stream",JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE,English,Article,,HEADWATER STREAMS; MOUNTAIN STREAMS; FOREST STREAMS; OLD-GROWTH; PACIFIC-NORTHWEST; FLUVIAL PROCESSES; FLUME EXPERIMENT; DEBRIS; RIVERS; RECRUITMENT,"In small and intermediate sized streams, the interaction between wood and bed material transport often determines the nature of the physical habitat, which in turn influences the health of the stream's ecosystem. We present a stochastic model that can be used to simulate the effects on physical habitat of forest fires, climate change, and other environmental disturbances that alter wood recruitment. The model predicts large wood (LW) loads in a stream as well as the volume of sediment stored by the wood; while it is parameterized to describe gravel bed streams similar to a well-studied field prototype, Fishtrap Creek, British Columbia, it can be calibrated to other systems as well. In the model, LW pieces are produced and modified over time as a result of random tree-fall, LW breakage, LW movement, and piece interaction to form LW jams. Each LW piece traps a portion of the annual bed material transport entering the reach and releases the stored sediment when the LW piece is entrained and moved. The equations governing sediment storage are based on a set of flume experiments also scaled to the field prototype. The model predicts wood loads ranging from 70 m(3)/ha to more than 300 m(3)/ha, with a mean value of 178 m(3)/ha: both the range and the mean value are consistent with field data from streams with similar riparian forest types and climate. The model also predicts an LW jam spacing that is consistent with field data. Furthermore, our modeling results demonstrate that the high spatial and temporal variability in sediment storage, sediment transport, and channel morphology associated with LW-dominated streams occurs only when LW pieces interact and form jams. Model runs that do not include jam formation are much less variable. These results suggest that river restoration efforts using engineered LW pieces that are fixed in place and not permitted to interact will be less successful at restoring the geomorphic processes responsible for producing diverse, productive physical habitats than efforts using LW pieces that are free to move, interact, and form LW jams.",2012,10.1029/2012JF002385,Geology,WOS:000311255000001,Becky,Maybe,No,No,,"Fish Trap, BC. Doesn't directly apply, but used mixed methods to address river restoration efforts post fire and sediment input",NA,,,,,,NA,,,,,Micah,No,Maybe,No,W. BC,
718,"Tingley, Morgan W.; Koo, Michelle S.; Moritz, Craig; Rush, Andrew C.; Beissinger, Steven R.",The push and pull of climate change causes heterogeneous shifts in avian elevational ranges,GLOBAL CHANGE BIOLOGY,English,Article,birds; California; climate change; elevational range shift; occupancy models; precipitation; Sierra Nevada,MIGRATORY BIRD; TEMPORAL VARIATION; CHANGE IMPACTS; EXTINCTION; NICHE; CONSERVATION; PREDICTIONS; DIVERSITY; EVOLUTION; PATTERNS,"Projected effects of climate change on animal distributions primarily focus on consequences of temperature and largely ignore impacts of altered precipitation. While much evidence supports temperature-driven range shifts, there is substantial heterogeneity in species' responses that remains poorly understood. We resampled breeding ranges of birds across three elevational transects in the Sierra Nevada Mountains, USA, that were extensively surveyed in the early 20th century. Presenceabsence comparisons were made at 77 sites and occupancy models were used to separate significant range shifts from artifacts of false absences. Over the past century, rising temperature pushed species upslope while increased precipitation pulled them downslope, resulting in range shifts that were heterogeneous within species and among regions. While 84% of species shifted their elevational distribution, only 51% of upper or lower range boundary shifts were upslope. By comparison, 82% of range shifts were in a direction predicted by changes in either temperature or precipitation. Species were significantly more likely to shift elevational ranges than their ecological counterparts if they had small clutch sizes, defended all-purpose territories, and were year-round residents, results that were in opposition to a priori predictions from dispersal-related hypotheses. Our results illustrate the complex interplay between species-specific and region-specific factors that structure patterns of breeding range change over long time periods. Future projections of increasing temperature and highly variable precipitation regimes create a strong potential for heterogeneous responses by species at range margins.",2012,10.1111/j.1365-2486.2012.02784.x,Biodiversity & Conservation; Environmental Sciences & Ecology,WOS:000309450300004,Becky,No,Yes,No,,"Wind River Range (Wyoming, USA)",NA,,,,,,NA,,,,,Micah,No,Maybe,No,CA,
725,"Masbruch, Melissa D.; Chapman, David S.; Solomon, D. Kip","Air, ground, and groundwater recharge temperatures in an alpine setting, Brighton Basin, Utah",WATER RESOURCES RESEARCH,English,Article,,NOBLE-GASES; PALEOTEMPERATURE RECONSTRUCTION; CLIMATE-CHANGE; WATER; AQUIFER; RECORD; SNOW; USA,"Noble gases are useful tracers for constraining groundwater recharge temperature and elevation, critical in determining source areas of groundwater recharge in mountainous terrain. A monitoring network in the alpine Brighton Basin in the Wasatch Mountains of northern Utah, USA, was established to examine the relationship between air temperatures, ground temperatures, and noble gas groundwater recharge temperatures. Maximum noble gas groundwater recharge temperatures computed using the closed-system equilibration model from 25 samples collected over the 2 year period 2007 to 2009 averaged 2.9 +/- 6 1.2 degrees C, within the experimental error of the mean ground temperature of 2.3 degrees C measured within the probable recharge area. Maximum noble gas recharge temperatures vary from 0 to 7 degrees C, also comparable to ground temperature variations in the region. Groundwater ages in the collected samples vary from 0 to 7 years indicating changing flow paths to the collection site during the experiment. Mean ground temperatures in the upper 1 m of soil over the 2 year time period is 2.3 degrees C, which is 1 degrees C cooler than the mean surface air temperature extrapolated from a nearby meteorological station. This comparison contradicts an earlier observation that mean annual ground temperatures in central Utah are generally warmer than air temperatures. The offset in the Brighton Basin is explained by modeling a snow effect on ground temperature. This detailed study suggests that interpretation of groundwater recharge temperatures derived from noble gases should be attentive to the complex local ground temperature effects in the recharge areas.",2012,10.1029/2012WR012100,Environmental Sciences & Ecology; Marine & Freshwater Biology; Water Resources,WOS:000310072500001,Becky,No,No,No,,,NA,,,,,,NA,,,,,Micah,No,Maybe,No,UT,
740,"Payne, Richard J.; Mitchell, Edward A. D.; Hung Nguyen-Viet; Gilbert, Daniel",Can pollution bias peatland paleoclimate reconstruction?,QUATERNARY RESEARCH,English,Article,Climate; Holocene; Testate amoebae; Nitrogen; Phosphorus; Ozone; Sulphur; Lead; Transfer function; Biological proxy,TESTATE AMEBAS; TERRESTRIAL ECOSYSTEMS; NITROGEN DEPOSITION; JURA MOUNTAINS; SPHAGNUM; COMMUNITIES; SWITZERLAND; ECOLOGY; ARCHIVE; RECORDS,"Peatland testate amoebae are widely used to reconstruct paleohydrological/climatic changes, but many species are also known to respond to pollutants. Peatlands around the world have been exposed to anthropogenic and intermittent natural pollution through the late Holocene. This raises the question: can pollution lead to changes in the testate amoeba paleoecological record that could be erroneously interpreted as a climatic change? To address this issue we applied testate amoeba transfer functions to the results of experiments adding pollutants (N, P, S, Pb, O-3) to peatlands and similar ecosystems. We found a significant effect in only one case, an experiment in which N and P were added, suggesting that pollution-induced biases are limited. However, we caution researchers to be aware of this possibility when interpreting paleoecological records. Studies characterising the paleoecological response to pollution allow pollution impacts to be tracked and distinguished from climate change. (c) 2012 University of Washington. Published by Elsevier Inc. All rights reserved.",NA,,,,Becky,Maybe,No,No,,"peatlands, global review of previous studies",NA,,,,,,NA,,,,,Micah,No,Maybe,No,global,
743,"Layzell, Anthony L.; Eppes, Martha Cary; Johnson, Bradley G.; Diemer, John A.","Post-glacial range of variability in the Conejos River Valley, southern Colorado, USA: fluvial response to climate change and sediment supply",EARTH SURFACE PROCESSES AND LANDFORMS,English,Article,fluvial terraces; sediment supply; climate; range of variability,STRATH-TERRACE FORMATION; SAN-JUAN MOUNTAINS; YELLOWSTONE-NATIONAL-PARK; ALLUVIAL FANS; GEOMORPHIC PROCESSES; ENVIRONMENTAL-CHANGE; BRITISH-COLUMBIA; NEW-MEXICO; HOLOCENE; FIRE,"Effective river management strategies require an understanding of how fluvial processes vary both spatially and temporally. Here, we examine the natural range of variability in the Conejos River Valley, southern Colorado, through documentation of terrace morphostratigraphic and sedimentological characteristics as well as through investigation of sediment contributions from headwaters, hillslopes and tributary streams. Additionally, soil development and radiocarbon ages, together with local and regional paleoclimate reconstructions, were used to infer the range of processes acting in this system. Since de-glaciation, the Conejos River has fluctuated between episodes of bedrock strath formation, aggradation and vertical incision. Morphostratigraphic relationships, soil development and radiocarbon ages enable us to propose a chronology for periods of alluvial deposition (around 8.9-7.6?ka, 5.5?ka and from 3.5 to 1.1?ka), separated by intervals of fluvial incision. We infer potential forcing mechanisms by utilizing multiple working hypotheses. Specifically, we discuss the potential for increases in sediment supply during periods of (1) para-glacial adjustment, (2) climatic cooling, (3) increased frequency of climate change and (4) increased fire frequency or severity. We also consider the effects of changes in stream discharge and extreme storm occurrence. We conclude that combinations of these processes, operating at different times, have contributed to sediment mobilization since de-glaciation. Stream and landform morphology also varies longitudinally due to the influence of remnant glacial topography. In particular, valley bottom overdeepening at tributary junctions has resulted in incision and strath formation into unlithified glacial deposits (i.e. fill-cut terraces) rather than bedrock in some reaches. Overall, the Conejos fluvial system has varied significantly both temporally and spatially since de-glaciation and appears to be sensitive to changes in sediment supply related to Holocene scale climate fluctuations. This natural range of variability must therefore be a key consideration in any future stream management policies. Copyright (c) 2012 John Wiley & Sons, Ltd.",2012,10.1002/esp.3253,Physical Geography; Geology,WOS:000308443200006,Becky,No,Maybe,No,,"Conejos River Valley, southern Colorado",Danny,No,Yes,No,Ecosystem/Municipal,Southern Colorado,NA,,,,,Micah,No,Maybe,No,CO,
772,"Zhang, Fangmin; Chen, Jing M.; Pan, Yude; Birdsey, Richard A.; Shen, Shuanghe; Ju, Weimin; He, Liming",Attributing carbon changes in conterminous U.S. forests to disturbance and non-disturbance factors from 1901 to 2010,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,English,Article,,NET PRIMARY PRODUCTION; WESTERN UNITED-STATES; SOIL ORGANIC-MATTER; LAND-USE CHANGE; CLIMATE-CHANGE; CANADA FORESTS; BOREAL FOREST; TERRESTRIAL ECOSYSTEMS; NITROGEN DEPOSITION; CO2 FERTILIZATION,"Recent climate variability (increasing temperature, droughts) and atmospheric composition changes (nitrogen deposition, rising CO2 concentration) along with harvesting, wildfires, and insect infestations have had significant effects on U. S. forest carbon (C) uptake. In this study, we attribute C changes in the conterminous U. S. forests to disturbance and non-disturbance factors with the help of forest inventory data, a continental stand age map, and an updated Integrated Terrestrial Ecosystem Carbon Cycle model (InTEC). We grouped factors into disturbances (harvesting, fire, insect infestation) and non-disturbances (CO2 concentration, N deposition, and climate variability) and estimated their subsequent impacts on forest regrowth patterns. Results showed that on average, the C sink in the conterminous U. S. forests from 1950 to 2010 was 206 Tg C yr(-1) with 87% (180 Tg C yr(-1)) of the sink in living biomass. Compared with the simulation of all factors combined, the estimated C sink would be reduced by 95 Tg C yr(-1) if disturbance factors were omitted, and reduced by 50 Tg C yr(-1) if non-disturbance factors were omitted. Our study also showed diverse regional patterns of C sinks related to the importance of driving factors. During 1980-2010, disturbance effects dominated the C changes in the South and Rocky Mountain regions, were almost equal to non-disturbance effects in the North region, and had minor effects compared with non-disturbance effects in the West Coast region.",2012,10.1029/2011JG001930,Environmental Sciences & Ecology; Geology,WOS:000305154000001,Becky,Yes,Yes,Yes,Biome/National,national,NA,,,,,,NA,,,,,Micah,No,Maybe,No,USA,
802,"Morgan, Christopher; Pomerleau, Monique M.",New evidence for extreme and persistent terminal medieval drought in California's Sierra Nevada,JOURNAL OF PALEOLIMNOLOGY,English,Article,Medieval climatic anomaly; Sierra Nevada; Drought; Precipitation; California; Lake; Submerged stump; Climate change; Megadrought,LAST MILLENNIUM; UNITED-STATES; RECORD; VARIABILITY; LAKE; PRECIPITATION; TEMPERATURES; FREQUENCY; PATTERNS; NETWORK,"The level of Cliff Lake, a small, subalpine, moraine-dammed lake in California's south central Sierra Nevada, was approximately 5 m lower than present for 50 years or more approximately 600 years ago, this determined by radiocarbon dating of wood recovered from a submerged tree stump found in the lake. This finding corresponds to commensurate data from throughout much of western North America, suggesting the duration and magnitude of terminal medieval megadrought was similar throughout the region. Ultimately this datum helps give credence to the perspective that though late Holocene climate in California was indeed variable, the effects of terminal Medieval megadrought was similar across both time and broad geographic expanse.",2012,10.1007/s10933-012-9590-9,Environmental Sciences & Ecology; Geology; Marine & Freshwater Biology,WOS:000302803700012,Becky,No,Maybe,No,,California's south central Sierra Nevada,NA,,,,,,NA,,,,,Micah,No,Maybe,No,CA,
1016,"Jones, Lawrence S.; Rosenburg, Margaret; Figueroa, Maria del Mar; McKee, Kathleen; Haravitch, Ben; Hunter, Jenna","Holocene valley-floor deposition and incision in a small drainage basin in western Colorado, USA",QUATERNARY RESEARCH,English,Article,Holocene; Incision; Aggradation; Geomorphology; Colorado; Sedimentation; Arroyo; (14)C; Forest fire; Recurrence interval; Charcoal,YELLOWSTONE-NATIONAL-PARK; CLIMATE-CHANGE; NEW-MEXICO; FIRE; SEDIMENT; WILDFIRE; EROSION; INITIATION; PLATEAU; VARIABILITY,"The valley floor of a 33.9 km(2) watershed in western Colorado experienced gradual sedimentation from before similar to 6765 to similar to 500 cal yr BP followed by deep incision, renewed aggradation, and secondary incision. In contrast, at least four terraces and widespread cut-and-fill architecture in the valley floor downstream indicate multiple episodes of incision and deposition occurred during the same time interval. The upper valley fill history is atypical compared to other drainages in the Colorado Plateau. One possible reason for these differences is that a bedrock canyon between the upper and lower valley prevented headward erosion from reaching the upper valley fill. Another possibility is that widespread, sand-rich, clay-poor lithologies in the upper drainage limited surface runoff and generally favored alluviation, whereas more clay-rich lithologies in the lower drainage resulted in increased surface runoff and more frequent incision. Twenty-two dates from valley fill charcoal indicate an approximate forest fire recurrence interval of several hundred years, similar to that from other studies in juniper-pifion woodlands. Results show that closely spaced vertical sampling of alluvium in headwater valleys where linkages between hillslope processes and fluvial activity are relatively direct can provide insight about the role of fires in alluvial chronologies of semi-arid watersheds. (C) 2010 University of Washington. Published by Elsevier Inc. All rights reserved.",NA,,,,Courtney,,,Yes,,Yellowstone,NA,,,,,,Paris,No,,No,CO,Micah,No,Maybe,No,CO,
1030,"Solander, Kurt; Saito, Laurel; Biondi, Franco",Streamflow simulation using a water-balance model with annually-resolved inputs,JOURNAL OF HYDROLOGY,English,Article,Watershed modeling; Water resources management; Nevada; Colorado River basin; Dendrohydrology; Paleohydrology,WESTERN UNITED-STATES; TREE-RING RECONSTRUCTION; SOUTHERN-CALIFORNIA; CLIMATE-CHANGE; PRECIPITATION; VARIABILITY; HYDROLOGY; RESOURCES; BASIN; FLOW,"Availability of long-term information on the variability of water resources in a given area is particularly important for sustainable resource management. Developing watershed simulation models that can be run using annually-resolved proxy climate data provides a way to improve reconstructions of hydrological parameters over multi-century time scales. Through the addition of a snowmelt modeling component, we enhanced a simple water-balance model to simulate streamflow at seasonal resolution. The model was calibrated to the upper Meadow Valley Wash, Nevada, USA, using USGS gage number 09417500 streamflow records. PRISM data at 2.5 arc-min resolution were used to reconstruct streamflow at the seasonal timescale (October through May) from 1896 to 2008, with and without a temperature-index snowmelt component. Best-fit model simulations had an R(2) of 0.81 against stream gage observations. Average predicted seasonal streamflow during calibration was 0.81 cm with a standard deviation of 0.35 cm, compared to the observed average seasonal streamflow of 0.76 cm and standard deviation of 0.48 cm. Despite some shortcomings for this watershed, the model approach has promise for providing scenario-based estimates of hydrologic variability in semi-arid mountain environments. (C) 2010 Elsevier B.V. All rights reserved.",NA,,,,Courtney,No,,No,,Colorado River Basin,NA,,,,,,Adrienne,No,Maybe,No,Southern Nevada,Micah,No,Maybe,No,NV,
1043,"Clow, David W.",Changes in the Timing of Snowmelt and Streamflow in Colorado: A Response to Recent Warming,JOURNAL OF CLIMATE,English,Article,,WESTERN UNITED-STATES; CLIMATE-CHANGE; NORTH-AMERICA; WATER AVAILABILITY; MOUNTAIN SNOWPACK; ROCKY-MOUNTAINS; TRENDS; VARIABILITY; PRECIPITATION; TEMPERATURE,"Trends in the timing of snowmelt and associated runoff in Colorado were evaluated for the 1978-2007 water years using the regional Kendall test (RKT) on daily snow-water equivalent (SWE) data from snowpack telemetry (SNOTEL) sites and daily streamflow data from headwater streams. The RKT is a robust, non-parametric test that provides an increased power of trend detection by grouping data from multiple sites within a given geographic region. The RKT analyses indicated strong, pervasive trends in snowmelt and streamflow timing, which have shifted toward earlier in the year by a median of 2-3 weeks over the 29-yr study period. In contrast, relatively few statistically significant trends were detected using simple linear regression. RKT analyses also indicated that November-May air temperatures increased by a median of 0.98 degrees C decade(-1), while 1 April SWE and maximum SWE declined by a median of 4.1 and 3.6 cm decade (1), respectively. Multiple linear regression models were created, using monthly air temperatures, snowfall, latitude, and elevation as explanatory variables to identify major controlling factors on snowmelt timing. The models accounted for 45% of the variance in snowmelt onset, and 78% of the variance in the snowmelt center of mass (when half the snowpack had melted). Variations in springtime air temperature and SWE explained most of the interannual variability in snowmelt timing. Regression coefficients for air temperature were negative, indicating that warm temperatures promote early melt. Regression coefficients for SWE, latitude, and elevation were positive, indicating that abundant snowfall tends to delay snowmelt, and snowmelt tends to occur later at northern latitudes and high elevations. Results from this study indicate that even the mountains of Colorado, with their high elevations and cold snowpacks, are experiencing substantial shifts in the timing of snowmelt and snowmelt runoff toward earlier in the year.",2010,10.1175/2009JCLI2951.1,Meteorology & Atmospheric Sciences,WOS:000277999800004,Courtney,No,,No,,Colorado,NA,,,,,,NA,,,,,Micah,No,Yes,No,CO,
1066,"Rasmussen, Joseph B.; Robinson, Michael D.; Heath, Daniel D.",Ecological consequences of hybridization between native westslope cutthroat (Oncorhynchus clarkii lewisi) and introduced rainbow (Oncorhynchus mykiss) trout: effects on life history and habitat use,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,English,Article,,ENDANGERED SPECIES ACT; BRITISH-COLUMBIA; GROWTH-RATE; POPULATIONS; STEELHEAD; BEHAVIOR; MARKERS; HYBRIDS; STREAM; SALMONIDS,"In the Upper Oldman River, Alberta, Canada, hybridization between introduced rainbow trout (RT; Oncorhynchus mykiss) and native westslope cutthroat trout (WCT; Oncorhynchus clarkii lewisi) has produced a genotypic gradient with rainbow trout alleles undetectable (<1%) at high elevations and increasing in abundance downstream. Few F, hybrids were found, and genotype frequencies suggest strong backcrossing of hybrids to pure parental populations at both ends of the gradient. The increasing prevalence of RT alleles downstream is accompanied by a life history gradient such that RT alleles were positively associated with growth rate and negatively associated with survivorship. Although physical barriers extended the distribution of pure WCT downstream, several streams held genetically pure WCT in their uppermost reaches, even when no barriers were present. For example, RT alleles were undetectable in headwaters of Dutch Creek, which had no barriers but was very cold (average summer temperature <7.3 degrees C). We propose that RT alleles affect the choice of habitat, as well the metabolic characteristics that determine their life history and competitive abilities. Factors such as climate change, clear-cut logging, and anthropogenic enrichment that can lead to increased temperature and (or) productivity might be expected to result in an upstream shift of RT alleles.",2010,10.1139/F09-191,Fisheries; Marine & Freshwater Biology,WOS:000274352400013,Courtney,Yes,Yes,No,Ecosystem/Municipal,"Alberta, drains to hudson bay",NA,,,,,,NA,,,,,Micah,No,Yes,No,Alberta,
1070,"Hu, Jia; Moore, David J. P.; Burns, Sean P.; Monson, Russell K.",Longer growing seasons lead to less carbon sequestration by a subalpine forest,GLOBAL CHANGE BIOLOGY,English,Article,growing season length; isotope; net ecosystem productivity; SIPNET; subalpine forest,NET ECOSYSTEM EXCHANGE; WESTERN UNITED-STATES; HIGH-ELEVATION; DECIDUOUS FOREST; CLIMATE-CHANGE; NORTH-AMERICA; CO2 EXCHANGE; MODEL; FLUXES; VARIABILITY,"As global temperatures increase, the potential for longer growing seasons to enhance the terrestrial carbon sink has been proposed as a mechanism to reduce the rate of further warming. At the Niwot Ridge AmeriFlux site, a subalpine forest in the Colorado Rocky Mountains, we used a 9-year record (1999-2007) of continuous eddy flux observations to show that longer growing season length (GSL) actually resulted in less annual CO2 uptake. Years with a longer GSL were correlated with a shallower snow pack, as measured using snow water equivalent (SWE). Furthermore, years with a lower SWE correlated with an earlier start of spring. For three years, 2005, 2006, and 2007, we used observations of stable hydrogen isotopes (delta D) of snow vs. rain, and extracted xylem water from the three dominant tree species, lodgepole pine, Engelmann spruce, and subalpine fir, to show that the trees relied heavily on snow melt water even late into the growing season. By mid-August, 57% to 68% of xylem water reflected the isotopic signature of snow melt. By coupling the isotopic water measurements with an ecosystem model, SIPNET, we found that annual forest carbon uptake was highly dependent on snow water, which decreases in abundance during years with longer growing seasons. Once again, for the 3 years 2005, 2006, and 2007, annual gross primary productivity, which was derived as an optimized parameter from the SIPNET model was estimated to be 67% 77%, and 71% dependent on snow melt water, respectively. Past studies have shown that the mean winter snow pack in mountain ecosystems of the Western US has been declining for decades and is correlated with positive winter temperature anomalies. Since climate change models predict continuation of winter warming and reduced snow in mountains of the Western US, the strength of the forest carbon sink is likely to decline further.",2010,10.1111/j.1365-2486.2009.01967.x,Biodiversity & Conservation; Environmental Sciences & Ecology,WOS:000274419400022,Courtney,No,Yes,No,,Western US,NA,,,,,,NA,,,,,Micah,No,Maybe,No,CO,
1084,"Olson, Deanna H.; Burnett, Kelly M.",Design and management of linkage areas across headwater drainages to conserve biodiversity in forest ecosystems,FOREST ECOLOGY AND MANAGEMENT,English,Article; Proceedings Paper,Headwater stream; Connectivity; Riparian buffer; Species diversity; Dispersal corridors; Forest conservation,OREGON COAST RANGE; SOUTHERN TORRENT SALAMANDER; ZERO-ORDER BASINS; WESTERN OREGON; DEBRIS FLOWS; HABITAT ASSOCIATIONS; NORTHERN CALIFORNIA; UPSLOPE AREAS; TAILED FROGS; RIPARIAN,"Biota in managed forest landscapes may be at risk from habitat fragmentation that prevents dispersal among subpopulations. Management provisions to provide connectivity are often considered independently for aquatic and terrestrial species. Of increasing concern is that dichotomous approaches are economically inefficient and may fragment populations that rely on both water and land. To provide habitat connectivity over ridgelines for such populations, which include many species of amphibians and arthropods, we propose designation of headwater ""linkage areas."" Essentially, we propose that headwater ridgelines be managed as important ""linkage areas"" to retain forested areas for species dispersal. Our process of linkage area planning, as demonstrated for headwater streams in the Coast Range of Oregon, USA, includes considerations at three spatial scales: landscape, drainage basin, and forest stand. At the landscape scale, linking headwater drainages across 7th-code hydrologic units (HUs) is a practical design regarding landscape connectivity for headwater species. In the Coast Range, each 7th-code HU adjoins an average of six 7th-code HUs. If each of these were linked via extending buffers or alternative forest management practices, about 5000 linkage areas would be provided in the 2.3-million ha landscape. We propose that the layout of such links considers site-to-landscape scale factors including known locations of target species, existing protections, land ownership patterns, dispersal capability of species of concern, climate change predictions, and the natural disturbance regime, such as landslide prone areas for managing wood and sediment inputs to streams. Although the proposed linkage areas target sensitive headwater species by design, the resulting web of connection across the landscape can be expected to benefit a host of forest-dependent species. Published by Elsevier B.V.",2009,10.1016/j.foreco.2009.04.018,Forestry,WOS:000273140300013,Courtney,No,Yes,No,,Coast Range,NA,,,,,,NA,,,,,Micah,No,Maybe,No,OR Coast Range,
1089,"Morgan, Christopher","Climate change, uncertainty and prehistoric hunter-gatherer mobility",JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,English,Review,Mobility; Hunter-gatherer; Western Mono; Sierra Nevada; Foraging; California; Climate change; Uncertainty; Nearest-neighbor; Variance-to-mean,SOUTHERN SIERRA-NEVADA; GREAT-BASIN; SETTLEMENT-PATTERNS; NEAREST-NEIGHBOR; HIGH-ALTITUDE; OWENS VALLEY; LAND-USE; CALIFORNIA; LANDSCAPE; EXAMPLE,"The onset of Little Ice Age conditions in California's Sierra Nevada mountains resulted in increased temporal and spatial variability, and hence uncertainty regarding the distribution and production of resources targeted by its inhabitants, the Western Mono. The Mono responded with a risk-averse strategy composed of lowland winter population aggregation supported by logistical forays and seasonal residential dispersals to the high country, both ways of averaging variance in environmental productivity. These patterns were reconstructed using surface archaeology, GIS, and two straightforward spatial statistics, nearest-neighbor and variance-to-mean ratios, that combined provide a robust, objective picture of population aggregation and dispersal and the scale of these phenomena in different environments and seasons. These diverse strategies conform to expectations regarding the best ways for hunter-gatherers to cope with uncertainty, particularly in mountain environments. Despite this, the residentially mobile aspect of the pattern is rare in mountains and probably the result of historical connections between the Mono and Great Basin groups employing similar behaviors. Ultimately, this research suggests that climate change and environmental variability condition risk-averse, satisficing economic behaviors focused more on security than optimization, implying that pronounced environmental variability runs counter to economic intensification and its association with the evolution of more complex societies. (C) 2009 Elsevier Inc. All rights reserved.",2009,10.1016/j.jaa.2009.07.004,Anthropology; Archaeology,WOS:000271436700002,Courtney,No,,No,,Sierra Nevada,NA,,,,,,NA,,,,,Micah,No,No,No,CA,
1103,"Koppes, Michele N.; Montgomery, David R.",The relative efficacy of fluvial and glacial erosion over modern to orogenic timescales,NATURE GEOSCIENCE,English,Article,,WASHINGTON-STATE; RATES; SEDIMENT; EXHUMATION; INCISION; HIMALAYA; UPLIFT; RIVER; EQUILIBRIUM; DENUDATION,"Since the late nineteenth century, it has been debated whether rivers or glaciers are more effective agents of erosion(1). The dramatic landscapes associated with glaciated terrain have often led to the argument that glaciers are more erosive than rivers, and recent studies have documented the topographic signature of an ice-controlled limit of mountain height known as the 'glacial buzz-saw'(2,3). Here we present a new global compilation of erosion rates, which questions the conventional view of glaciers and erosion. In regions of rapid tectonic uplift, erosion rates from rivers and glaciers both range from 1 to over 10 mm yr(-1), indicating that both are capable of generating erosion rates matching or exceeding the highest rates of rock uplift. Moreover, a comparison of erosion rates over timescales ranging from 10(1) to 10(7) years indicates that glacial erosion tends to decrease by one to two orders of magnitude over glacial cycles, whereas fluvial erosion rates show no apparent dependence on time. We conclude that tectonics controls rates of both fluvial and glacial erosion over millennial and longer timescales and that the highest rates of erosion (>10 mm yr(-1)) generally result from a transient response to disturbance by volcanic eruptions, climate change and modern agriculture.",2009,10.1038/NGEO616,Geology,WOS:000270062200017,Courtney,No,No,No,,,NA,,,,,,NA,,,,,Micah,No,Maybe,No,global,
1104,"Buffen, Aron M.; Thompson, Lonnie G.; Mosley-Thompson, Ellen; Huh, Kyung In","Recently exposed vegetation reveals Holocene changes in the extent of the Quelccaya Ice Cap, Peru",QUATERNARY RESEARCH,English,Article,Quelccaya Ice Cap; Tropical glaciers; Glacier retreat; Climate change; 14C dating; Holocene; Peru; Andes; South America,GLACIER MELTWATER CONTRIBUTION; CLIMATE-CHANGE; LAKE TITICACA; TROPICAL PRECIPITATION; CORDILLERA BLANCA; STREAM DISCHARGE; ATACAMA DESERT; ALPINE ICEMAN; CORE RECORDS; PALEOCLIMATE,"Radiocarbon dating of well-preserved, in-place vegetation exposed by the retreating Quelccaya Ice Cap of southeastern Peru constrains the last time the ice cap's extent was smaller than at present. Seventeen plant samples from two sites along the central western margin collectively date to 4700 and 5100 cal yr BP and strongly indicate that current ice cap retreat is unprecedented over the past similar to 5 millennia. Seventeen vegetation samples interbedded in a nearby clastic sedimentary sequence suggest ice-free conditions at this site from similar to 5200 to at least similar to 7000 cal yr BP, and place minimum constraint on early- to mid-Holocene ice cap extent. (C) 2009 University of Washington. Published by Elsevier Inc. All rights reserved.",2009,10.1016/j.yqres.2009.02.007,Physical Geography; Geology,WOS:000269223500001,Courtney,No,,No,,"Quelccaya, Peru",NA,,,,,,NA,,,,,Micah,No,Yes,International,Peru,
