reviewer,title,paper_id,inclusion_IAM,extent,location,biome,discipline,concerns,notes1,notes2,projected,observed,new_data,huc6,topic
AM,Phenology and density-dependent dispersal predict patterns of mountain pine beetle (Dendroctonus ponderosae) impact,234,impacts,1500 - 25000 km2,"43.7873341,-114.4233269",forest: temperate,"forestry, biology/ecology",NA,NA,NA,no,no,yes,"0200, 0402","temperature, pests and disease, timber production/silviculture, forest ecology"
CMC,Modeling the effects of dispersal and patch size on predicted fisher (Pekania [Martes] pennanti) distribution in the US Rocky Mountains,236,impacts,40000 km2 - PNW,"Idaho, Montana",forest: temperate,biology/ecology,NA,NA,Loarie et al. 2009 looks helpful,yes,no,yes,"0101, 0102, 0103, 0602, 0603","temperature, precipitation, snow, terrestrial wildlife, species range shifts, forest ecology"
PE,Numerical simulation of the impact of sediment supply and streamflow variations on channel grain sizes and Chinook salmon habitat in mountain drainage networks,237,impacts,100 - 1500 km2,"44.9273211,-115.4322933",freshwater: streams and rivers,"hydrology, biology/ecology",NA,NA,NA,no,no,yes,0602,"streamflow/stream forecasting, river geomorphology and restoration, non-anadromous fish, aquatic habitat, management, wildfire"
AM,Variability Common to First Leaf Dates and Snowpack in the Western Conterminous United States,238,impacts,western us,Western United States,"alpine/tundra, grassland: temperate, forest: temperate, desert: semi-arid desert",meteorology and climatology,NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, snow, forest ecology, other"
DH,Will Future Climate Favor More Erratic Wildfires in the Western United States?,239,impacts,western us,Not Washington,forest: temperate,meteorology and climatology,NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900","temperature, precipitation, species range shifts, wildfire, management, carbon cycle"
AM,Rapid increases and time-lagged declines in amphibian occupancy after wildfire.,24,impacts,1500 - 25000 km2,"48.5838247,-114.0040341","forest: temperate, freshwater: wetlands",biology/ecology,NA,NA,NA,no,no,yes,0102,"temperature, precipitation, aquatic habitat, species range shifts, wildfire, terrestrial wildlife"
AM,Increasing synchrony of high temperature and low flow in western North American streams: double trouble for coldwater biota?,240,impacts,western us,Western United States,freshwater: streams and rivers,"hydrology, biology/ecology",NA,NA,NA,no,yes,no,"0102, 0603, 0703, 0800, 0900","temperature, streamflow/stream forecasting, water quality, water quantity, aquatic habitat"
MF,Aquatic insect assemblages associated with subalpine stream segment types in relict glaciated headwaters,241,impacts,100 - 1500 km2,"47.4666484,-121.5966868",freshwater: ponds and lakes,"biology/ecology, ecology",NA,NA,NA,no,no,yes,0800,"temperature, streamflow/stream forecasting, aquatic habitat, water quality"
CMC,"Spatial variability of the response to climate change in regional groundwater systems - Examples from simulations in the Deschutes Basin, Oregon",242,impacts,1500 - 25000 km2,"44.618651, -121.269384",n/a (not biome specific or all biomes - see codebook),hydrology,NA,NA,groundwater and climate change in mountain landscapes,yes,no,no,0703,"temperature, precipitation, snow, groundwater, water quantity, streamflow/stream forecasting"
AM,Pest outbreak distribution and forest management impacts in a changing climate in British Columbia,243,impacts,40000 km2 - PNW,British Columbia,forest: temperate,forestry,NA,NA,NA,yes,no,no,"kooteney, okanagan, columbia","temperature, precipitation, pests and disease, timber production/silviculture, forest ecology, policy, management, economics"
DH,A Stochastic Conceptual Modeling Approach for Examining the Effects of Climate Change on Streamflows in Mountain Basins,245,impacts,25000 - 40000 km2,"46.5190971,-116.3006258",n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology",NA,NA,NA,yes,no,no,0603,"temperature, precipitation, snow, streamflow/stream forecasting, management"
AM,Sensitivity of the snowcover energetics in a mountain basin to variations in climate,246,impacts,1 - 100 km2,"43.0685889,-116.7725145",n/a (not biome specific or all biomes - see codebook),hydrology,NA,NA,NA,no,no,no,0501,"temperature, precipitation, snow, streamflow/stream forecasting"
AM,"Interactive effects of wildfire, forest management, and isolation on amphibian and parasite abundance.",25,impacts,1500 - 25000 km2,"48.6675611,-114.1138973",forest: temperate,biology/ecology,"I think for the purposes of this form, this paper is essentially indistinguishable from another paper by the same author - but they are different papers.",NA,NA,no,no,yes,0102,"aquatic habitat, terrestrial wildlife, wildfire, forest ecology"
AM,"Implications of climate-driven variability and trends for the hydrologic assessment of the Reynolds Creek Experimental Watershed, Idaho",251,impacts,100 - 1500 km2,"43.164088,-116.7549127",forest: temperate,hydrology,NA,NA,NA,no,no,no,0501,"temperature, precipitation, snow, streamflow/stream forecasting, forest ecology"
DH,"Spatial-temporal analysis of species range expansion: the case of the mountain pine beetle, Dendroctonus ponderosae",252,impacts,25000 - 40000 km2,"51.4499981,-116.3008429",forest: temperate,forestry,NA,NA,NA,no,no,no,"kooteney, columbia","temperature, species invasion, pests and disease, species range shifts, forest ecology, management"
AM,Freshwater Ecosystems and Resilience of Pacific Salmon: Habitat Management Based on Natural Variability,253,adaptation,pacific northwest,Pacific Salmon Range,freshwater: streams and rivers,policy or management,"Not really spatially explicit, so a little tough in our form",NA,NA,no,no,no,"0102, 0103, 0200, 0300, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, columbia, okanagan","temperature, streamflow/stream forecasting, water quality, water quantity, salmon/anadromous fish, aquatic habitat, aquatic habitat, policy, management, restoration, community resilience"
MF,"Impact of climate change on north cascade alpine glaciers, and alpine runoff",254,impacts,100 - 1500 km2,NA,alpine/tundra,hydrology,NA,NA,NA,no,yes,no,"0200, 0300","glaciers, streamflow/stream forecasting"
CMC,Integrating climate change into forest management in South-Central British Columbia: An assessment of landscape vulnerability and development of a climate-smart framework,255,adaptation,25000 - 40000 km2,British Columbia,forest: temperate,biology/ecology,Framework,NA,NA,yes,no,no,okanagan,"temperature, precipitation, snow, streamflow/stream forecasting, groundwater, water quality, water quantity, terrestrial wildlife, species invasion, pests and disease, species range shifts, wildfire, timber production/silviculture, forest ecology, community resilience, soils, policy, management, carbon cycle"
AM,A tree and climate assessment tool for modelling ecosystem response to climate change,256,impacts,100 - 1500 km2,"50.2067, -119.4800",forest: temperate,biology/ecology,NA,NA,NA,yes,no,no,okanagan,"temperature, timber production/silviculture, forest ecology, management, species range shifts"
DH,Influence of fire regimes on lodgepole pine stand age and density across the Yellowstone National Park (USA) landscape,258,impacts,1500 - 25000 km2,"44.4199695,-110.669788",forest: temperate,forestry,NA,NA,NA,no,no,yes,0401,"temperature, precipitation, wildfire, forest ecology, soils, management"
AM,"Atmospheric, climatic, and ecological controls on extreme wildfire years in the northwestern United States",259,impacts,pacific northwest,"Oregon, Idaho, Wyoming",forest: temperate,biology/ecology,NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, wildfire, timber production/silviculture, forest ecology, management, drought, climate oscillations, climate variability, NA"
MF,Post-fire aspen seedling recruitment across the Yellowstone (USA) Landscape,260,impacts,1500 - 25000 km2,NA,forest: temperate,biology/ecology,NA,NA,NA,no,no,yes,0401,"species range shifts, wildfire, timber production/silviculture, forest ecology, management"
CMC,"Effects of environment and grazing disturbance on tree establishment in meadows of the central Cascade Range, Oregon, USA
",265,impacts,1500 - 25000 km2,"48.7333217,-120.8079693","grassland: temperate, forest: temperate",biology/ecology,"The Three Sisters Wilderness Area/Biosphere Reserve. In this study, we reconstruct the temporal and spatial patterns of tree invasion at 17 sites in the Three Sisters Wilderness Area/Biosphere Reserve (central Cascade Range, Oregon, USA) – sites that span broad gradients in physical environment (montane to subalpine zones, hydric to xeric soils), vegetation (graminoid-, herb-, and shrub-dominated meadows), and disturbance (minimal to intensive grazing by sheep",NA,"Meadows are conspicuous and dynamic features of the forested mountain landscapes of the western United States. In the mountains of the Pacific Northwest, meadows occupy various elevations and topographic positions: montane ridge-tops, south-facing hill-slopes, basins, valleys and other poorly drained topography, and the vast parkland of the subalpine zone (Franklin & Dyrness 1988).",no,yes,yes,0900,"temperature, precipitation, snow, water quantity, species invasion, species range shifts, forest ecology, soils, dendrochronology"
AM,EFFECT OF CLIMATE CHANGE ON HYDROLOGIC REGIME OF TWO CLIMATICALLY DIFFERENT WATERSHEDS,266,impacts,1500 - 2500 km2,NA,n/a (not biome specific or all biomes - see codebook),hydrology,couldn't get paper,NA,NA,NA,NA,NA,columbia,"temperature, precipitation, snow, glaciers, streamflow/stream forecasting"
AM,Thermal limits to salmonid distributions in the rocky mountain region and potential habitat loss due to global warming: A geographic information system (GIS) approach,267,impacts,western us,"Idaho, Wyoming, Montana, Rocky Mountains",freshwater: streams and rivers,biology/ecology,NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0401, 0402, 0602, 0603","temperature, streamflow/stream forecasting, river geomorphology and restoration, salmon/anadromous fish, aquatic habitat, aquatic habitat, species range shifts"
MF,The cold-water climate shield: delineating refugia for preserving salmonid fishes through the 21st century,268,impacts,pacific northwest,NA,freshwater: streams and rivers,biology/ecology,NA,NA,NA,yes,no,no,"0102, 0103, 0200, 0300, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900","temperature, streamflow/stream forecasting, salmon/anadromous fish, aquatic habitat, aquatic habitat, species range shifts, management"
CMC,Representative regional models of post-disturbance forest carbon accumulation: Integrating inventory data and a growth and yield model,269,impacts,40000 km2 - PNW,"Idaho, Montana",forest: temperate,forestry,NA,"pest invasion, wildfire, disease, harvest effect C stores",NA,no,no,no,"0101, 0102, 0103, 0401, 0402, 0501, 0601, 0602, 0603","temperature, precipitation, species invasion, pests and disease, species range shifts, wildfire, timber production/silviculture, forest ecology, other, management"
AM,"Modeling cold tolerance in the mountain pine beetle, Dendroctonus ponderosae",27,impacts,25000 - 40000 km2,Idaho,forest: temperate,biology/ecology,NA,NA,NA,no,no,yes,"0402, 0501","temperature, pests and disease, timber production/silviculture, forest ecology"
AM,Pyrogenic carbon controls across a soil catena in the Pacific Northwest,270,mitigation,40000 km2 - PNW,"44.51444, -122.256111","grassland: temperate, forest: temperate","geology, pedology",Could almost say this isn't a climate change paper...,NA,NA,no,no,yes,"0701, 0702, 0703, 0900","temperature, precipitation, wildfire, soils, carbon cycle"
AM,"Climate, fire size, and biophysical setting control fire severity and spatial pattern in the northern Cascade Range, USA",271,impacts,25000 - 40000 km2,"48.419398,-120.8737337",forest: temperate,biology/ecology,NA,NA,NA,no,no,no,0200,"temperature, precipitation, wildfire, forest ecology"
AM,"Climate, weather, and recent mountain pine beetle outbreaks in the western United States",274,impacts,western us,Western United States,forest: temperate,"forestry, biology/ecology",NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, pests and disease, timber production/silviculture, forest ecology"
MF,Climate change and stream temperature projections in the Columbia River basin: habitat implications of spatial variation in hydrologic drivers,275,impacts,pacific northwest,NA,freshwater: streams and rivers,engineering,NA,NA,NA,yes,no,yes,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, streamflow/stream forecasting, aquatic habitat, precipitation, other"
CMC,Assessing possible shifts in wildfire regimes under a changing climate in mountainous landscapes,276,impacts,40000 km2 - PNW,British Columbia,"alpine/tundra, forest: temperate",forestry,Canadian National Fire Database,Could provide a helpful way of thinking about space in Canada. --no consensus about drought and wildfire relationships in a warmer world.,NA,yes,no,no,"kooteney, columbia, okanagan","temperature, precipitation, species range shifts, wildfire, drought, forest ecology, management"
AM,Charred forests increase snowmelt: Effects of burned woody debris and incoming solar radiation on snow ablation,277,impacts,1 - 100 km2,"44.358718,-122.0531577",forest: temperate,meteorology and climatology,NA,NA,NA,no,no,yes,"0703, 0900","temperature, snow, wildfire, forest ecology"
AM,Sensitivity of salmonid freshwater life history in western US streams to future climate conditions,278,impacts,pacific northwest,"Washington, Oregon, Idaho",freshwater: streams and rivers,biology/ecology,NA,NA,NA,yes,no,yes,"0102, 0103, 0200, 0300, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900","temperature, snow, streamflow/stream forecasting, water quality, water quantity, salmon/anadromous fish, aquatic habitat"
DH,Anticipating Stream Ecosystem Responses to Climate Change: Toward Predictions that Incorporate Effects Via Land-Water Linkages,279,impacts,western us,Western United States,freshwater: streams and rivers,hydrology,Really not sure about how to deal with this sort of conceptual modeling data. no scale is really applicable????,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, snow, streamflow/stream forecasting, water quality, water quantity, non-anadromous fish, aquatic habitat, terrestrial wildlife, pests and disease, wildfire, forest ecology"
AM,Application of a land class hydrological model to climatic change.,28,impacts,40000 km2 - PNW,"50.1547841,-116.0882144",forest: temperate,hydrology,NA,NA,NA,yes,no,no,kooteney,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, soils, carbon cycle, forest ecology"
AM,History of Pacific Northwest Heat Waves: Synoptic Pattern and Trends,280,impacts,40000 km2 - PNW,"Washington, Oregon",n/a (not biome specific or all biomes - see codebook),meteorology and climatology,"Washington, Oregon only",NA,NA,no,no,no,"0800, 0900","temperature, community resilience"
MF,Novel genomic resources for a climate change sensitive mammal: characterization of the American pika transcriptome,281,impacts,1 - 100 km2,NA,alpine/tundra,biology/ecology,NA,NA,NA,no,no,yes,"0703, 0800, 0900","temperature, terrestrial wildlife, species range shifts, microbiology"
mf,characterizing the thermal suitability of instream habitat for salmonids: a cautionary example from the rocky mountains,282,impacts,1500 - 2500 km2,"boise river basin; 43.8,-116.0603081",freshwater: streams and rivers,"biology/ecology, ecology",NA,NA,NA,no,no,no,0501,"temperature, water quality, non-anadromous fish, aquatic habitat"
tl,potential effects of climate change on streambed scour and risks to salmonid survival in snow-dominated mountain basins,283,impacts,1500 - 25000 km2,na/not appropriate for point data,freshwater: streams and rivers,"meteorology and climatology, hydrology, geology, biology/ecology, ecology",a little unclear whether just ecology or ecology and biology should be noted,from abstract: our approach can be used to prioritize management strategies according to relative risk to different species or spatial distributions of risk and can be used to predict temporal shifts in the spatial distribution of suitable spawning habitats.,"from abstract: a general framework is presented to examine this issue, using a series of physical models that link climate change, streamflow, and channel morphology to predict the magnitude and spatial distribution of streambed scour and consequent risk to salmonid embryos at basin scales. the approach is demonstrated for a mountain catchment in the northern rocky mountains, usa.",yes,no,no,0602,"temperature, precipitation, snow, streamflow/stream forecasting, river geomorphology and restoration, salmon/anadromous fish, aquatic habitat, non-anadromous fish, aquatic habitat, management"
cc,oregon hydrologic landscapes: a classification framework,284,impacts,40000 km2 - PNW,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),hydrology,NA,watershed classification scheme for oregon,NA,no,no,no,"0601, 0701, 0502, 0702, 0501, 0200, 0703, 0800, 0900, 1002","temperature, precipitation, snow, streamflow/stream forecasting, lacustrine systems, groundwater, water quality, water quantity, river geomorphology and restoration, soils"
mf,"glacier change of the columbia icefield, canadian rocky mountains, 1919-2009",285,impacts,100 - 1500 km2,"46.735751,-117.0095872",alpine/tundra,"hydrology, geology",NA,NA,NA,no,yes,no,columbia,"temperature, glaciers"
mf,climate and streamflow trends in the columbia river basin: evidence for ecological and engineering resilience to climate change,286,impacts,40000 km2 - PNW,this study includes a case study map with more than 5 study locations over large extent,n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology, policy or management",NA,NA,NA,no,yes,no,"0102, 0200, 0402, 0501, 0502, 0601, 0602, 0900","temperature, precipitation, streamflow/stream forecasting"
mf,landscape-scale analysis of aboveground tree carbon stocks affected by mountain pine beetles in idaho,287,impacts,1 - 100 km2,"44.3,-115.1021887",forest: temperate,"forestry, biology/ecology",NA,NA,NA,no,no,yes,0602,"pests and disease, carbon cycle, remote sensing"
tl,"climatic, landform, microtopographic, and overstory canopy controls of tree invasion in a subalpine meadow landscape, oregon cascades, usa",288,impacts,point,"jefferson park; 44.6889305,-121.8345545",forest: temperate,biology/ecology,site is subalpine meadow-tundra alpine not really appropriate;,"from discussion: ""we propose that regional climate in the form of snow strongly influences temporal patterns of tree invasion in this system, while snow depth mediated by micro-topography and overstory vegetation within the land-scape context of larger landforms shapes the spatial patterns of tree invasion, resulting in complex tree invasion responses to climate over time.""","from abstract: ""the importance of snow, uncertain climate change impacts on snow, and mediation of snow by interacting and context depen-dent factors in complex mountain terrain poses substantial hurdles for understanding how these eco-tones may respond to future climate conditions.""",no,yes,yes,0900,"temperature, precipitation, snow, species invasion, forest ecology, soils"
mf,"perspectives on climate change, mountain hydrology, and water resources in the oregon cascades, usa",289,adaptation,pacific northwest,"willamette river; 44.8324362,-124.0572886",n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology, anthropology/sociology",NA,NA,NA,no,yes,no,0900,"temperature, precipitation, snow, streamflow/stream forecasting, water quality, water quantity, aquatic habitat, terrestrial wildlife, community resilience, policy, management"
AM,"Relative impact of anthropogenic modifications versus climate change on the natural flow regimes of rivers in the Northern Rocky Mountains, United States.",29,impacts,40000 km2 - PNW,"46.44435,-114.2282207",n/a (not biome specific or all biomes - see codebook),hydrology,NA,NA,"""direct basin anthropogenic modifications such as damming, irrigation, and urbanization have caused a decrease in the difference between the minimum and maximum annual discharges and a decrease in the daily variations of flows across the Northern Rocky Mountains. In general, direct anthropogenic modifications of the river basins have altered the flow regimes to a much greater extent than climate change.""",no,yes,no,"0101, 0102, 0103, 0501, 0602, 0603","temperature, streamflow/stream forecasting, water quantity, agriculture, alternative energy, other"
mf,modeling interannual variability in snow-cover development and melt for a semiarid mountain catchment,290,impacts,1 - 100 km2,"reynolds creek experimental watershed; 43.238183,-116.8531838","forest: temperate, desert: semi-arid desert",hydrology,NA,NA,NA,no,yes,no,"0501, 0501, 0501","precipitation, snow, streamflow/stream forecasting, water quantity, soils"
pe,small soil storage capacity limits benefit of winter snowpack to upland vegetation,291,impacts,1 - 100 km2,"dry creek experimental watershed; 43.7302536,-116.8469864","forest: temperate, desert: semi-arid desert","hydrology, geology",NA,NA,NA,no,no,yes,0501,"temperature, precipitation, snow, streamflow/stream forecasting, river geomorphology and restoration, groundwater, water quantity, soils"
mf,"estimates of future flow, including extremes, of the columbia river headwaters",292,impacts,1500 - 2500 km2,"donald, bc; 51.5053566,-117.2075727",n/a (not biome specific or all biomes - see codebook),hydrology,NA,NA,NA,yes,yes,no,columbia,"temperature, precipitation, snow, glaciers, streamflow/stream forecasting, water quality, soils"
mf,changes in spring snowpack for selected basins in the united states for different climate-change scenarios,293,impacts,western us,study includes one case study point in the crb and many others across the country or international,n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology","this option: ""study includes one case study point in the crb and many others across the country or international"" maybe should be moved to spatial extent?",NA,NA,yes,no,no,"0102, 0300","temperature, precipitation, snow, streamflow/stream forecasting, water quantity"
mf,"climate determines upper, but not lower, altitudinal range limits of pacific northwest conifers",294,impacts,1 - 100 km2,this study includes a case study map with more than 5 study locations over large extent,forest: temperate,biology/ecology,is about tree adaptation,NA,NA,no,no,yes,0800,"temperature, precipitation, snow, species range shifts, forest ecology, dendrochronology"
mf,"influences of the biophysical environment on blister rust and mountain pine beetle, and their interactions, in whitebark pine forests",295,impacts,40000 km2 - PNW,NA,forest: temperate,"forestry, biology/ecology",NA,NA,NA,no,no,yes,"0601, 0602, 0703","temperature, precipitation, pests and disease, forest ecology, dendrochronology"
mf,modeling the effects of developmental variation on insect phenology,296,impacts,point,"sawtooth national recreation area; 44.1274464,-122.8263493",forest: temperate,biology/ecology,about mountain pine beetle adaptation,NA,NA,no,no,yes,0602,"temperature, pests and disease, entomology, timber production/silviculture, management, mathematics"
mf,effects of climate change and wildfire on stream temperatures and salmonid thermal habitat in a mountain river network,297,impacts,1500 - 2500 km2,"north fork boise river; 44.1274464,-122.8263493",freshwater: streams and rivers,biology/ecology,NA,NA,NA,no,yes,yes,0501,"temperature, snow, streamflow/stream forecasting, river geomorphology and restoration, water quality, water quantity, salmon/anadromous fish, aquatic habitat, wildfire, forest ecology"
am,on glacier retreat and drought cycles in the rocky mountains of montana and canada,298,impacts,1500 - 2500 km2,na/not appropriate for point data,alpine/tundra,meteorology and climatology,NA,NA,NA,no,yes,no,"0101, 0102, kooteney","temperature, precipitation, glaciers, climate oscillations"
mf,optimized flood control in the columbia river basin for a global warming scenario,299,adaptation,pacific northwest,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),"hydrology, policy or management",NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, management"
AM,"Genetic architecture and phenotypic plasticity of thermally-regulated traits in an eruptive species, Dendroctonus ponderosae",30,impacts,western us,"44.14157,-115.1736914",forest: temperate,biology/ecology,Climate change connection is a little tenuous.,NA,NA,no,no,yes,0602,"temperature, precipitation, pests and disease, species range shifts, timber production/silviculture, forest ecology"
sh,modeling tamarisk (tamarix spp.) habitat and climate change effects in the northwestern united states,300,impacts,pacific northwest,na/not appropriate for point data,"grassland: temperate, forest: temperate, desert: semi-arid desert",biology/ecology,NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, species invasion, species range shifts, forest ecology, management"
mf,mountain pine beetle and forest carbon feedback to climate change,301,impacts,40000 km2 - PNW,na/not appropriate for point data,forest: temperate,forestry,NA,NA,NA,yes,no,no,"kooteney, okanagan, columbia","temperature, pests and disease, species range shifts, wildfire, timber production/silviculture, management, carbon cycle, carbon cycle"
am,anticipated climate warming effects on bull trout habitats and populations across the interior columbia river basin,302,impacts,pacific northwest,na/not appropriate for point data,freshwater: streams and rivers,"biology/ecology, ecology",NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, streamflow/stream forecasting, water quality, non-anadromous fish, aquatic habitat, species range shifts"
mf,mountain hydrology of the western united states,304,adaptation,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),hydrology,NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, groundwater, management"
pe,flow regime alterations under changing climate in two river basins: implications for freshwater ecosystems,307,impacts,100 - 1500 km2,"47.1935566,-123.1729634",freshwater: streams and rivers,"hydrology, biology/ecology",NA,NA,NA,yes,no,no,0300,"temperature, precipitation, snow, streamflow/stream forecasting, water quality, water quantity, river geomorphology and restoration, salmon/anadromous fish, non-anadromous fish, aquatic habitat, management"
am,declining mountain snowpack in western north america,308,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology",NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","temperature, precipitation, snow, climate oscillations"
mf,fire-induced erosion and millennialscale climate change in northern ponderosa pine forests,309,impacts,25000 - 40000 km2,"boise river, 43.8207316,-117.0960299; yellowstone, 44.3496074,-110.7519439",forest: temperate,"forestry, biology/ecology",NA,NA,NA,no,yes,yes,"0401, 0501","temperature, precipitation, wildfire, timber production/silviculture, forest ecology, dendrochronology"
AM,"Climate change impacts on water management and irrigated agriculture in the Yakima River Basin, Washington, USA",31,impacts,25000 - 40000 km2,"46.268226,-119.314407","grassland: temperate, forest: temperate",hydrology,NA,NA,NA,yes,no,no,0300,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, agriculture, economics"
mf,characteristics of the western united states snowpack from snowpack telemetry (snotel) data,310,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology",NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, snow"
am,"carbon implications of current and future effects of drought, fire and management on pacific northwest forests",311,mitigation,pacific northwest,na/not appropriate for point data,forest: temperate,"forestry, biology/ecology",NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","temperature, precipitation, timber production/silviculture, forest ecology, management, carbon cycle"
mf,projected future vegetation changes for the northwest united states and southwest canada at a fine spatial resolution using a dynamic global vegetation model,312,impacts,western us,na/not appropriate for point data,"alpine/tundra, grassland: temperate, forest: temperate, desert: semi-arid desert",biology/ecology,NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","temperature, precipitation, species range shifts, forest ecology, management, botany"
mf,sensitivity of soil water availability to changing snowmelt timing in the western us,313,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),hydrology,NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","precipitation, snow, streamflow/stream forecasting, groundwater, water quantity, soils"
am,snow cover variability in a forest ecotone of the oregon cascades via modis terra products,314,impacts,40000 km2 - PNW,na/not appropriate for point data,forest: temperate,hydrology,NA,NA,NA,no,no,no,0900,"temperature, precipitation, snow, climate oscillations"
mf,"epiphytic macrolichen indication of air quality and climate in interior forested mountains of the pacific northwest, usa",315,impacts,pacific northwest,na/not appropriate for point data,forest: temperate,biology/ecology,NA,NA,NA,no,no,yes,"0101, 0102, 0103, 0200, 0601, 0602, 0603, 0701, 0702, 0703, 0800","temperature, precipitation, species range shifts, forest ecology, pollutants, botany"
mf,mountain landscapes offer few opportunities for high-elevation tree species migration,317,impacts,western us,na/not appropriate for point data,"alpine/tundra, forest: temperate",biology/ecology,NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, species range shifts, forest ecology"
am,"a spatiotemporal pattern analysis of historical mountain pine beetle outbreaks in british columbia, canada",319,impacts,40000 km2 - PNW,na/not appropriate for point data,forest: temperate,"biology/ecology, ecology",NA,NA,NA,no,no,no,"kooteney, okanagan, columbia","temperature, species invasion, pests and disease, species range shifts, forest ecology"
mf,bull trout trends in abundance and probabilities of persistence in idaho,321,impacts,40000 km2 - PNW,this study includes a case study map with more than 5 study locations over large extent,"freshwater: ponds and lakes, freshwater: streams and rivers",biology/ecology,NA,NA,NA,no,no,yes,"0101, 0102, 0103, 0603, 0601, 0602, 0502, 0501, 0401, 0402","temperature, precipitation, streamflow/stream forecasting, water quality, water quantity, non-anadromous fish, aquatic habitat"
mf,population connectivity and genetic diversity of american marten (martes americana) in the united states northern rocky mountains in a climate change context,324,impacts,40000 km2 - PNW,na/not appropriate for point data,forest: temperate,"meteorology and climatology, biology/ecology",NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0603","temperature, precipitation, snow, terrestrial wildlife, species range shifts, forest ecology, management"
