Timestamp,Your Name,Title of paper: please copy-paste from the spreadsheet.,"Paper ID: in column ""final_id""","Is this paper in the Columbia River Basin, and does it primarily address climate change impacts, adaptation, or mitigation? If the answer is ""None of these,"" leave the rest of the answers blank.","Does this study make a quantitative estimate of climate change impacts on natural or human systems in the future? (equivalent to ""projected impacts"").","Does this study identify an environmental change or trend and discuss its attribution to  climate change? (equivalent to ""observed impacts."" This requires multiple decades of data.)",In what biome(s) is this research conducted?,What is the spatial extent (size of study area) of data in this paper?,"Select at least one option every time. Which HUC 6 watershed(s) did the study take place? IF it includes a whole state select the state, IF it includes ALL of the watersheds within the CRB select the appropriate box (US. vs. Canada vs. both). IF it is all of one state and part of another, select the whole state and then select the individual HUC6s from the other state. See codebook.","Enter place name and GPS points if they are easily identifiable (e.g., study includes point data). Separate multiple points with a semi-colon. See codebook for format details. Example: Wallowa Mountains; 45.180 , -117.480; Yellowstone National Park; 44.584418,-111.0758737",What type of data was used in this study?,What discipline(s) does this study address? (Check multiple boxes for interdisciplinary).,What topics does this study address?,List concerns or uncertainty when coding this paper.,Copy and paste or summarize content related to our research questions.,Copy and paste or summarize content related to research in mountainous environments.,Was new data collected for this study?
5/8/2018 10:43:01,AM,Recent bark beetle outbreaks have little impact on streamflow in the Western United States,401,Impacts,No,No,Forest: temperate,Western US and/or Western US plus Canada,"0102 - Pend Oreille (Glacier NP; Priest River Experimental Forest; Bitterroot Mt.s), 0200 - Upper Columbia, 0300 - Yakima, 0401 - Snake headwaters (Yellowstone NP and Tetons NP), 0602 - Salmon (includes Bitterroot Mt.s), 0603 - Clearwater (Includes Bitterroot Mt.s)","This study includes a case study map with more than 5 study locations over large extent, NA/Not appropriate for point data",NA,"Hydrology, Ecology","Temperature, Precipitation, Streamflow/stream forecasting, Water quantity, Pests and disease, Forest Ecology",NA,NA,NA,No
5/17/2018 13:44:54,AM,"Longitudinal changes in stream invertebrate assemblages of Grand Teton National Park, Wyoming",402,Impacts,No,No,Freshwater: streams and rivers,"100 km2 - 1,500 km2",0401 - Snake headwaters (Yellowstone NP and Tetons NP),"Grand Teton National Park; 43.7761852,-110.8281018",NA,Ecology,"Water quality, Aquatic habitat, Entomology, Aquatic invertebrates",NA,NA,NA,Yes
5/14/2018 15:36:01,MF,"Longitudinal changes in stream invertebrate assemblages of Grand Teton National Park, Wyoming",402,Impacts,No,No,Freshwater: streams and rivers,"1,500 km2 - 25,000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2)",0401 - Snake headwaters (Yellowstone NP and Tetons NP),"Grand Teton National Park; 43.8078298,-111.8091506",NA,Ecology,"Streamflow/stream forecasting, River geomorphology and restoration, Aquatic habitat, Entomology, Forest Ecology",NA,NA,NA,Yes
7/5/2018 14:27:28,CC,"Low genetic diversity, restricted dispersal, and elevation-specific patterns of population decline in American pikas in an atypical environment",403,Impacts,No,No,Grassland: temperate,"1,500 km2 - 25,000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2)",0800 - Lower Columbia (Southeast Mount Rainier),"Columbia River Gorge; 45.725890, -121.572201",NA,Biology,"Temperature, Precipitation, Terrestrial wildlife, Species range shifts",NA,NA,NA,Yes
5/15/2018 12:59:40,AM,"Low genetic diversity, restricted dispersal, and elevation-specific patterns of population decline in American pikas in an atypical environment",403,Impacts,No,No,"Grassland: temperate, Forest: temperate",1-100 km2 (HUC 12 is 100 km2),0800 - Lower Columbia (Southeast Mount Rainier),"Columbia River Gorge; 45.65000000,-121.76666667",NA,Ecology,"Terrestrial wildlife, Genetic diversity",NA,NA,NA,Yes
6/8/2018 9:24:04,AM,Climate Change Vulnerabilities and Adaptation Options for Forest Vegetation Management in the Northwestern USA,404,Adaptation,No,No,N/A (not biome specific or all biomes - see codebook),"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)","0101 - Kootenai, 0102 - Pend Oreille (Glacier NP; Priest River Experimental Forest; Bitterroot Mt.s), 0103 - Spokane (Mica Cr. Exp. Watershed), 0200 - Upper Columbia, 0502 - Middle Snake - Powder, 0601 - Lower Snake",NA/Not appropriate for point data,NA,"Policy or management, Ecology","Temperature, Precipitation, Pests and disease, Species range shifts, Wildfire, Forest Ecology, Policy, Management",NA,NA,NA,No
6/8/2018 6:12:47,SH,Climate Change Vulnerabilities and Adaptation Options for Forest Vegetation Management in the Northwestern USA,404,Adaptation,No,No,N/A (not biome specific or all biomes - see codebook),"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",All in CRB U.S. (if this is selected then do NOT select the states as well),NA/Not appropriate for point data,NA,Policy or management,"Temperature, Precipitation, Forest Ecology, Management",NA,NA,NA,No
6/14/2018 15:33:59,PE,"Complex Challenges of Maintaining Whitebark Pine in Greater Yellowstone under Climate Change: A Call for Innovative Research, Management, and Policy Approaches",405,Impacts,Yes,Yes,Forest: temperate,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)",0401 - Snake headwaters (Yellowstone NP and Tetons NP),"44.5844248,-111.0744954",NA,"Forestry, Policy or management","Temperature, Snow, Water quantity, Species Invasion, Pests and disease, Species range shifts, Wildfire, Forest Ecology, Soils, Policy, Management",NA,NA,NA,Yes
6/8/2018 8:50:36,AM,"Complex Challenges of Maintaining Whitebark Pine in Greater Yellowstone under Climate Change: A Call for Innovative Research, Management, and Policy Approaches",405,Adaptation,No,No,Forest: temperate,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)","0401 - Snake headwaters (Yellowstone NP and Tetons NP), 0402 - Upper Snake",NA/Not appropriate for point data,NA,"Policy or management, Ecology","Temperature, Pests and disease, Species range shifts, Wildfire, Forest Ecology, Policy, Management",NA,NA,NA,No
7/9/2018 10:32:55,AM,Assessing differences in snowmelt-dependent hydrologic projections using CMIP3 and CMIP5 climate forcing data for the western United States,406,Impacts,Yes,Yes,N/A (not biome specific or all biomes - see codebook),Western US and/or Western US plus Canada,"All CRB, both US and Canada (if this is selected then do NOT select the states as well)",NA/Not appropriate for point data,NA,"Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity",NA,NA,NA,No
5/10/2018 18:58:40,MF,Assessing differences in snowmelt-dependent hydrologic projections using CMIP3 and CMIP5 climate forcing data for the western United States.,406,Other reason this should be excluded from the corpus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,NA,NA,NA
5/10/2018 12:00:16,MF,Assessing differences in snowmelt-dependent hydrologic projections using CMIP3 and CMIP5 climate forcing data for the western United States,406,Impacts,Yes,No,N/A (not biome specific or all biomes - see codebook),Western US and/or Western US plus Canada,"All CRB, both US and Canada (if this is selected then do NOT select the states as well)",This study includes a case study map with more than 5 study locations over large extent,NA,"Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow, Streamflow/stream forecasting, Soils",NA,NA,NA,No
5/17/2018 13:50:00,AM,"Get Real: Climate Change and All That ""It' Entails",407,Adaptation,No,No,N/A (not biome specific or all biomes - see codebook),"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",All in CRB Canada,NA/Not appropriate for point data,NA,Anthropology/sociology,"Pests and disease, Attitudes and Beliefs, Humanities; critical theory",Not really spatially explicit - just about bark beetles in BC (and other topics),NA,NA,No
5/14/2018 15:42:52,MF,"Get Real: Climate Change and All That ""It' Entails",407,Impacts,No,No,N/A (not biome specific or all biomes - see codebook),"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES), Western US and/or Western US plus Canada","All in CRB Canada, All in CRB U.S. (if this is selected then do NOT select the states as well)",NA/Not appropriate for point data,NA,Anthropology/sociology,"Pests and disease, Agriculture, Attitudes and Beliefs, Management",not quite sure about location - given that it is a review of US agriculture and BC bark beetle outbreak. Kind of a weird paper to classify,NA,NA,No
7/5/2018 14:45:48,CC,Projected major fire and vegetation changes in the Pacific Northwest of the conterminous United States under selected CMIP5 climate futures,408,Impacts,Yes,No,N/A (not biome specific or all biomes - see codebook),"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)","All Idaho, All Washington, All Oregon",NA/Not appropriate for point data,NA,Ecology,"Temperature, Precipitation, Terrestrial wildlife, Wildfire, Mathematics, vegetation modeling",NA,NA,NA,No
5/15/2018 13:02:14,AM,Projected major fire and vegetation changes in the Pacific Northwest of the conterminous United States under selected CMIP5 climate futures,408,Impacts,Yes,No,N/A (not biome specific or all biomes - see codebook),"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",All in CRB U.S. (if this is selected then do NOT select the states as well),NA/Not appropriate for point data,NA,Ecology,"Temperature, Precipitation, Wildfire, Forest Ecology, Management",NA,NA,NA,No
6/8/2018 9:28:44,AM,Snowpack sensitivity to perturbed climate in a cool mid-latitude mountain catchment,409,Impacts,Yes,No,"Grassland: temperate, Forest: temperate",Point or plot scale,"0501 - Middle Snake - Boise (Reynolds Cr. Exp. WS., Dry Cr. Exp. WS.)","Reynolds Mountain East; 42.989752,-116.7096607",NA,Hydrology,"Temperature, Precipitation, Snow",NA,NA,NA,No
6/8/2018 6:16:23,SH,Snowpack sensitivity to perturbed climate in a cool mid-latitude mountain catchment,409,Impacts,No,Yes,"Forest: temperate, Desert: semi-arid desert",Point or plot scale,"0501 - Middle Snake - Boise (Reynolds Cr. Exp. WS., Dry Cr. Exp. WS.)","43.2379328,-116.8531839",NA,Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting",NA,NA,NA,Yes
6/14/2018 15:39:32,PE,"Complex history of isolation and gene flow in hoary, Olympic, and endangered Vancouver Island marmots",410,Not in the CRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,OLYMPIC PENN AND VANCOUVER IS ARE NOT IN CRB,NA,NA,NA
6/8/2018 9:02:27,AM,"Complex history of isolation and gene flow in hoary, Olympic, and endangered Vancouver Island marmots",410,Impacts,No,No,N/A (not biome specific or all biomes - see codebook),Western US and/or Western US plus Canada,"0102 - Pend Oreille (Glacier NP; Priest River Experimental Forest; Bitterroot Mt.s), 0200 - Upper Columbia, 0602 - Salmon (includes Bitterroot Mt.s), 0701 - Middle Columbia",NA/Not appropriate for point data,NA,Biology,Terrestrial wildlife,Borderline on climate change relevance,NA,NA,Yes
5/10/2018 12:04:44,MF,Forest structure and species traits mediate projected recruitment declines in western US tree species,411,Impacts,Yes,No,Forest: temperate,Western US and/or Western US plus Canada,All in CRB U.S. (if this is selected then do NOT select the states as well),NA/Not appropriate for point data,NA,Forestry,"Temperature, Precipitation, Species range shifts, Timber production/Silviculture, Forest Ecology, Management",NA,NA,NA,No
5/8/2018 10:47:33,AM,Forest structure and species traits mediate projected recruitment declines in western US tree species,411,Impacts,Yes,No,Forest: temperate,Western US and/or Western US plus Canada,All in CRB U.S. (if this is selected then do NOT select the states as well),NA/Not appropriate for point data,NA,Ecology,"Temperature, Forest Ecology, Actual evapotranspiration; climatic water deficit",NA,NA,NA,No
5/17/2018 13:59:37,AM,A Model for Mountain Pine Beetle Outbreaks in an Age-Structured Forest: Predicting Severity and Outbreak-Recovery Cycle Period,412,Impacts,Yes,No,Forest: temperate,Point or plot scale,"All CRB, both US and Canada (if this is selected then do NOT select the states as well)",NA/Not appropriate for point data,NA,Ecology,"Temperature, Pests and disease, Forest Ecology","Not spatially explicit, so the location answers are sort of weird/wrong.",NA,NA,No
5/14/2018 15:49:14,MF,A Model for Mountain Pine Beetle Outbreaks in an Age-Structured Forest: Predicting Severity and Outbreak-Recovery Cycle Period,412,Impacts,Yes,Yes,Forest: temperate,Western US and/or Western US plus Canada,"All CRB, both US and Canada (if this is selected then do NOT select the states as well)",NA/Not appropriate for point data,NA,Ecology,"Temperature, Pests and disease, Forest Ecology, Mathematics",NA,NA,NA,No
6/5/2018 11:16:17,CC,Indicators of Climate Change in Idaho: An Assessment Framework for Coupling Biophysical Change and Social Perception,413,Impacts,No,No,N/A (not biome specific or all biomes - see codebook),"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)",All Idaho,NA/Not appropriate for point data,NA,"Meteorology and Climatology, Policy or management",Since the paper is about climate indicators it seems appropriate to check all of the boxes...,NA,"A total of 100 surveys were completed, with respondent
demographics mirroring those in the total
population surveyed (Fig. 2). The top four concerns regarding
climate change impacts were water resource
availability (16% of respondents), extreme drought
(14%), changes in plant productivity (14%), and wildland
fire (10%; Fig. 2).",NA,Yes
4/11/2018 22:29:11,TL,Indicators of Climate Change in Idaho: An Assessment Framework for Coupling Biophysical Change and Social Perception,413,Impacts,No,Yes,"Alpine/tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert, Freshwater: streams and rivers","Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)",All Idaho,NA/Not appropriate for point data,NA,"Meteorology and Climatology, Hydrology, Anthropology/sociology, Policy or management, Ecology","Temperature, Precipitation, Snow, Climate Oscilations (ENSO, PDO), Streamflow/stream forecasting, Water quality, Water quantity, Salmon, Terrestrial wildlife, Wildfire, Attitudes and Beliefs, Management",NA,"From abstract: Here the development of an indicator-focused climate change assessment in Idaho is described. This interdisciplinary framework couples end users’ data needs with observed, biophysical changes at local to regional scales.","From abstract: Indicators displayed trends of varying likelihood over the analysis period, including increasing growing-season length, increasing annual temperature, increasing forest area burned, changing mountain bluebird and lilac phenology, increasing precipitation intensity, earlier center of timing of streamflow, and decreased 1 April snowpack; changes in volumetric streamflow, salmon migration dates, and stream temperature displayed the least likelihood.",No
6/8/2018 9:32:25,AM,Life-stage-specific physiology defines invasion extent of a riverine fish,414,Impacts,No,No,Freshwater: streams and rivers,"1,500 km2 - 25,000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2)",0702 - John Day,NA/Not appropriate for point data,NA,Ecology,"Water quality, Non-anadromous fish, Aquatic habitat, Species Invasion",NA,NA,NA,Yes
6/8/2018 6:20:43,SH,Life-stage-specific physiology defines invasion extent of a riverine fish,414,Impacts,No,Yes,Freshwater: streams and rivers,1-100 km2 (HUC 12 is 100 km2),0702 - John Day,"45.0499794,-121.148605",NA,Biology,"Temperature, Non-anadromous fish, Aquatic habitat",NA,NA,NA,Yes
6/19/2018 16:04:27,PE,Niche divergence of Abies grandis-Abies concolor hybrids,415,Impacts,No,No,Forest: temperate,Western US and/or Western US plus Canada,All in CRB U.S. (if this is selected then do NOT select the states as well),This study includes a case study map with more than 5 study locations over large extent,NA,Ecology,"Temperature, Precipitation, Species Invasion, Species range shifts, Forest Ecology",NA,NA,NA,No
6/8/2018 9:08:10,AM,Niche divergence of Abies grandis-Abies concolor hybrids,415,Impacts,No,No,Forest: temperate,Western US and/or Western US plus Canada,All in CRB U.S. (if this is selected then do NOT select the states as well),NA/Not appropriate for point data,NA,Biology,"Temperature, Precipitation, Species range shifts, Forest Ecology",NA,NA,NA,No
5/10/2018 12:11:49,MF,"Hydrologic modeling using elevationally adjusted NARR and NARCCAP regional climate-model simulations: Tucannon River, Washington",416,Impacts,No,No,N/A (not biome specific or all biomes - see codebook),"100 km2 - 1,500 km2",0601 - Lower Snake,"Tucannon River, 46.471094,-118.0869343",NA,Hydrology,"Temperature, Precipitation, Streamflow/stream forecasting",NA,NA,NA,No
5/8/2018 16:58:47,AM,"Hydrologic modeling using elevationally adjusted NARR and NARCCAP regional climate-model simulations: Tucannon River, Washington",416,Impacts,No,No,"Grassland: temperate, Forest: temperate","100 km2 - 1,500 km2",0601 - Lower Snake,"Tucannon River; 46.4739972,-117.6143571",NA,Hydrology,"Temperature, Precipitation, Streamflow/stream forecasting, Water quantity",NA,NA,NA,No
5/17/2018 15:09:26,AM,"Extinction debt in naturally contracting mountain meadows in the Pacific Northwest, USA: varying responses of plants and feeding guilds of nocturnal moths",417,Impacts,No,Yes,Grassland: temperate,1-100 km2 (HUC 12 is 100 km2),0900 - Willamette (HJ Andrews Experimental Forest),"HJ Andrews experimental forest; 44.2122196,-122.2574345",NA,Ecology,"Entomology, Meadow ecology",NA,NA,NA,Yes
5/14/2018 15:53:45,MF,"Extinction debt in naturally contracting mountain meadows in the Pacific Northwest, USA: varying responses of plants and feeding guilds of nocturnal moths",417,Impacts,No,Yes,Grassland: temperate,"100 km2 - 1,500 km2",0900 - Willamette (HJ Andrews Experimental Forest),"HJ Andrews experimental forest; 44.2122196,-122.2574345",NA,Ecology,"Temperature, Entomology, Wildfire, Timber production/Silviculture, Forest Ecology",NA,NA,NA,Yes
7/5/2018 14:22:40,CC,Streamflow simulation methods for ungauged and poorly gauged watersheds,418,Not about climate change,No,No,Freshwater: streams and rivers,"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",All in CRB Canada,"Illecillewaet; 50.989236, -118.152681",NA,Hydrology,"Temperature, Precipitation, Streamflow/stream forecasting, Mathematics","Methodological modeling paper validated across five watersheds globally, not much to do with CC",NA,NA,No
5/15/2018 16:03:21,AM,Streamflow simulation methods for ungauged and poorly gauged watersheds,418,Not about climate change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/8/2018 9:35:01,AM,"Forest as hazard, forest as victim: Community perspectives and disaster mitigation in the aftermath of Kelowna's 2003 wildfires",419,Adaptation,No,No,Forest: temperate,Point or plot scale,Okanagan (Canada),"Kelowna, BC; 49.8996081,-119.7349389",NA,Anthropology/sociology,"Wildfire, Community resilience (human), Attitudes and Beliefs, Policy, Management",NA,NA,NA,Yes
6/8/2018 6:25:04,SH,"Forest as hazard, forest as victim: Community perspectives and disaster mitigation in the aftermath of Kelowna's 2003 wildfires",419,Impacts,No,Yes,N/A (not biome specific or all biomes - see codebook),Point or plot scale,Okanagan (Canada),"49.8998293,-119.5948646",NA,Anthropology/sociology,"Wildfire, Attitudes and Beliefs, Natural Disasters",NA,NA,NA,Yes
6/14/2018 15:48:29,PE,"The importance of seasonal temperature and moisture patterns on growth of Douglas-fir in western Oregon, USA",420,Impacts,No,No,Forest: temperate,"100 km2 - 1,500 km2",0900 - Willamette (HJ Andrews Experimental Forest),"44.8527637,-123.7370338;44.4481794,-122.5821731;44.4108059,-122.054373;44.3567917,-122.2902182",NA,Forestry,"Temperature, Groundwater, Water quantity, Timber production/Silviculture, Dendrochronology, Soils, Management, Carbon Emissions",NA,NA,NA,Yes
6/8/2018 9:11:48,AM,"The importance of seasonal temperature and moisture patterns on growth of Douglas-fir in western Oregon, USA",420,Impacts,No,No,Forest: temperate,"1,500 km2 - 25,000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2)","0900 - Willamette (HJ Andrews Experimental Forest), 1002 - Northern Oregon Coastal","Moose Mountain, Oregon; 44.4481794,-122.3107765",NA,"Biology, Ecology","Temperature, Precipitation, Forest Ecology",NA,NA,NA,Yes
5/10/2018 12:16:41,MF,Glacier variability in the conterminous United States during the twentieth century,421,Impacts,No,Yes,Alpine/tundra,Western US and/or Western US plus Canada,"0200 - Upper Columbia, 0900 - Willamette (HJ Andrews Experimental Forest)",This study includes a case study map with more than 5 study locations over large extent,NA,Hydrology,"Temperature, Precipitation, Glaciers",NA,NA,NA,No
5/8/2018 17:02:04,AM,Glacier variability in the conterminous United States during the twentieth century,421,Impacts,No,Yes,Alpine/tundra,Western US and/or Western US plus Canada,All in CRB U.S. (if this is selected then do NOT select the states as well),NA/Not appropriate for point data,NA,Hydrology,"Temperature, Precipitation, Snow, Glaciers",NA,NA,NA,No
5/17/2018 15:12:47,AM,Changes in blister rust infection and mortality in whitebark pine over time,422,Impacts,No,No,Forest: temperate,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)","Kooteney (Canada), Columbia (Canada)",NA/Not appropriate for point data,NA,Ecology,"Pests and disease, Forest Ecology",Climate change connection is pretty weak.,NA,NA,Yes
5/14/2018 15:57:32,MF,Changes in blister rust infection and mortality in whitebark pine over time,422,Impacts,No,Yes,Forest: temperate,"1,500 km2 - 25,000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2)",Kooteney (Canada),"Kootenay R; 49.8033724,-118.7190788",NA,Ecology,"Temperature, Species Invasion, Pests and disease, Species range shifts, Wildfire, Timber production/Silviculture, Forest Ecology",NA,NA,NA,Yes
7/5/2018 14:50:13,CC,HYDROGEOMORPHIC CLASSIFICATION OF WASHINGTON STATE RIVERS TO SUPPORT EMERGING ENVIRONMENTAL FLOW MANAGEMENT STRATEGIES,423,Impacts,No,No,"Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers","Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)",All Washington,NA/Not appropriate for point data,NA,Hydrology,"Temperature, Precipitation, Snow, Glaciers, Streamflow/stream forecasting, Lacustrine Systems",NA,NA,NA,No
5/15/2018 16:08:03,AM,HYDROGEOMORPHIC CLASSIFICATION OF WASHINGTON STATE RIVERS TO SUPPORT EMERGING ENVIRONMENTAL FLOW MANAGEMENT STRATEGIES,423,Impacts,Yes,No,N/A (not biome specific or all biomes - see codebook),"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)",All Washington,NA/Not appropriate for point data,NA,Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting",NA,NA,NA,No
6/8/2018 9:44:05,AM,Frog population viability under present and future climate conditions: a Bayesian state-space approach,424,Impacts,Yes,No,Freshwater: ponds and lakes,Point or plot scale,0102 - Pend Oreille (Glacier NP; Priest River Experimental Forest; Bitterroot Mt.s),"Little Rock Creek, MT; 46.0242928,-114.4804859",NA,Ecology,"Precipitation, Snow, Lacustrine Systems, Aquatic habitat, Amphibians (frogs)",NA,NA,NA,Yes
6/8/2018 6:30:06,SH,Frog population viability under present and future climate conditions: a Bayesian state-space approach,424,Impacts,Yes,No,Freshwater: ponds and lakes,Point or plot scale,0602 - Salmon (includes Bitterroot Mt.s),"47.7294211,-114.9923372",NA,Biology,"Temperature, Precipitation, Snow, Water quantity, Aquatic habitat, Terrestrial wildlife",NA,NA,NA,Yes
6/27/2018 16:09:54,CC,Evaluating the sufficiency of protected lands for maintaining wildlife population connectivity in the U.S. northern Rocky Mountains,425,Impacts,No,No,"Alpine/tundra, Grassland: temperate, Forest: temperate","Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)","0102 - Pend Oreille (Glacier NP; Priest River Experimental Forest; Bitterroot Mt.s), 0401 - Snake headwaters (Yellowstone NP and Tetons NP), 0402 - Upper Snake, 0501 - Middle Snake - Boise (Reynolds Cr. Exp. WS., Dry Cr. Exp. WS.), 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon (includes Bitterroot Mt.s), 0603 - Clearwater (Includes Bitterroot Mt.s), All Montana",NA/Not appropriate for point data,NA,"Forestry, Ecology","Temperature, Precipitation, Species range shifts, Wildfire, Timber production/Silviculture, Forest Ecology, Management, Landscape connectivity",not really about climate change,NA,NA,No
6/11/2018 20:15:10,PE,Evaluating the sufficiency of protected lands for maintaining wildlife population connectivity in the U.S. northern Rocky Mountains,425,Impacts,No,No,N/A (not biome specific or all biomes - see codebook),"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)","0102 - Pend Oreille (Glacier NP; Priest River Experimental Forest; Bitterroot Mt.s), 0103 - Spokane (Mica Cr. Exp. Watershed), 0603 - Clearwater (Includes Bitterroot Mt.s)",NA/Not appropriate for point data,NA,biogeography,"Terrestrial wildlife, Species range shifts, Management",NA,NA,NA,No
5/15/2018 11:52:55,MF,Evolving while invading: rapid adaptive evolution in juvenile development time for a biological control organism colonizing a high-elevation environment,426,Impacts,No,No,Forest: temperate,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)",0900 - Willamette (HJ Andrews Experimental Forest),"Santiam Pass; 44.4191995,-121.8630463;  Willamette Valley; 44.964,-123.258",NA,"Biology, Ecology","Species Invasion, Species range shifts, Entomology, evolution",NA,NA,NA,Yes
4/25/2018 13:41:40,AM,Evolving while invading: rapid adaptive evolution in juvenile development time for a biological control organism colonizing a high-elevation environment,426,Impacts,No,No,Forest: temperate,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)",0900 - Willamette (HJ Andrews Experimental Forest),"Santiam Pass; 44.4191995,-121.8630463; Willamette Valley; 44.964,-123.258",NA,"Biology, Ecology","Temperature, Terrestrial wildlife, Entomology, Management",Climate change connection is weak.,NA,NA,Yes
6/30/2018 7:54:47,CC,Lapse Rate Adjustments of Gridded Surface Temperature Normals in an Area of Complex Terrain: Atmospheric Reanalysis versus Statistical Up-Sampling,427,Impacts,No,Yes,N/A (not biome specific or all biomes - see codebook),"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",All in CRB Canada,NA/Not appropriate for point data,NA,Meteorology and Climatology,"Temperature, Precipitation, Snow",methods paper. all of BC,NA,NA,No
5/14/2018 11:22:33,MF,Lapse Rate Adjustments of Gridded Surface Temperature Normals in an Area of Complex Terrain: Atmospheric Reanalysis versus Statistical Up-Sampling,427,Impacts,No,Yes,N/A (not biome specific or all biomes - see codebook),"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)",All in CRB Canada,This study includes a case study map with more than 5 study locations over large extent,NA,Meteorology and Climatology,"Temperature, lapse rate, statistics",NA,NA,NA,No
7/5/2018 16:07:58,CC,Population fragmentation and inter-ecosystem movements of grizzly bears in western Canada and the northern United States,428,Impacts,No,No,Forest: temperate,Western US and/or Western US plus Canada,All basins in the Rocky Mountains (including Canada),NA/Not appropriate for point data,NA,Policy or management,"Temperature, Precipitation, Terrestrial wildlife, Management, Grizzly Habitat",NA,NA,NA,No
5/9/2018 12:46:12,AM,Population fragmentation and inter-ecosystem movements of grizzly bears in western Canada and the northern United States,428,Impacts,No,No,N/A (not biome specific or all biomes - see codebook),"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)","0101 - Kootenai, 0102 - Pend Oreille (Glacier NP; Priest River Experimental Forest; Bitterroot Mt.s), Kooteney (Canada), Columbia (Canada)",NA/Not appropriate for point data,NA,Ecology,"Terrestrial wildlife, Species range shifts",NA,NA,NA,Yes
5/30/2018 10:05:28,CC,The influence of surface versus free-air decoupling on temperature trend patterns in the western United States,429,Impacts,No,Yes,N/A (not biome specific or all biomes - see codebook),Western US and/or Western US plus Canada,All in CRB U.S. (if this is selected then do NOT select the states as well),NA/Not appropriate for point data,NA,Meteorology and Climatology,"Temperature, Precipitation, Climate Oscilations (ENSO, PDO)",NA,NA,"Although this response is depressed
locally in cold air pooling locations in comparison with
exposed sites, there are other more regional factors which
can depress surface response, particularly on the continental
interior side of mountain ranges and along coastlines. p 12",No
5/16/2018 21:07:35,SH,The influence of surface versus free-air decoupling on temperature trend patterns in the western United States,429,Impacts,No,Yes,N/A (not biome specific or all biomes - see codebook),Western US and/or Western US plus Canada,All in CRB U.S. (if this is selected then do NOT select the states as well),NA/Not appropriate for point data,NA,Meteorology and Climatology,"Temperature, Precipitation, Snow",Entire West US--not just mountains,NA,NA,No
6/27/2018 15:35:33,CC,Conservation of caribou (Rangifer tarandus) in Canada: an uncertain future,430,Impacts,No,No,"Grassland: temperate, Forest: temperate",Western US and/or Western US plus Canada,All in CRB Canada,NA/Not appropriate for point data,NA,Ecology,"Temperature, Precipitation, Terrestrial wildlife, Species range shifts, Wildfire, Policy, Management",thought about selecting adaptation,review of caribou populations in Canada,NA,No
