title,abstract
"changes in glacier and alpine runoff in the north cascade range, washington, usa 1985-1993","From 1985 to 1993, the mean summer temperature was 1.1 degrees C above the long-term mean and the mean winter precipitation was 11% below the long-term mean at the eight Washington State Cascade Mountain weather stations. The effect of this climate fluctuation on glacier and alpine runoff has been examined in five North Cascade basins. From 1985 to 1993 the two basins with less than 1% glacier-covered area experienced mean 1 July to 30 September (late summer) runoff 36% below the long-term mean. The three moderately glaciated basins (3, 6 and 14% glaciated, respectively) experienced a 13% decline in late summer runoff for the same period. A significant change in late summer runoff has occurred in the North Cascades and this change is less pronounced in glacier basins. The cause of the change is decreased winter precipitation and earlier onset of spring melting of the alpine snowpack, followed by above average summer temperatures and an earlier summer melt of alpine snowpack. The smaller decrease in runoff in glacial basins is due to increased ablation and consequent glacier runoff due to high summer temperatures. However, glacier retreat is also reducing glacier runoff."
"tree mortality from drought, insects, and their interactions in a changing climate","Climate change is expected to drive increased tree mortality through drought, heat stress, and insect attacks, with manifold impacts on forest ecosystems. Yet, climate-induced tree mortality and biotic disturbance agents are largely absent from process-based ecosystem models. Using data sets from the western USA and associated studies, we present a framework for determining the relative contribution of drought stress, insect attack, and their interactions, which is critical for modeling mortality in future climates. We outline a simple approach that identifies the mechanisms associated with two guilds of insects - bark beetles and defoliators - which are responsible for substantial tree mortality. We then discuss cross-biome patterns of insect-driven tree mortality and draw upon available evidence contrasting the prevalence of insect outbreaks in temperate and tropical regions. We conclude with an overview of tools and promising avenues to address major challenges. Ultimately, a multitrophic approach that captures tree physiology, insect populations, and tree-insect interactions will better inform projections of forest ecosystem responses to climate change."
contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,"QuestionsMountain systems have high abiotic heterogeneity over local spatial scales, offering natural experiments for examining plant species invasions. We ask whether functional groupings explain non-native species spread into native vegetation and up elevation gradients. We examine whether non-native species distribution patterns are related to environmental variables after controlling for elevation and, thus, driven by niche processes. LocationThe Wallowa Mountains, northeast Oregon, USA. MethodsWe surveyed non-native plant species along three mountain roads and into the native habitat matrix to assess the extent of invasion success along distance from roadside and elevation gradients. We used GLM to predict single species occurrence probabilities, LMM to examine differences in distribution patterns among functional types, and pCCA to examine multivariate responses of the non-native community to ecological variables. ResultsProbability of occurrence of the eight focal invasive species was not significantly related to distance from the road, but declined with elevation. Non-native species with annual life history strategies were more restricted to lower elevations than perennial species. Non-native species considered invasive occurred at lower minimum elevations than naturalized species. Shifts in the species composition of the non-native plant community were related to changes in soil and climate variables. ConclusionsOur results suggest that invasive species have similar patterns of habitat associations and spread from roadsides to interior vegetation zones, whereas naturalized species partition environmental gradients in this semi-arid montane ecosystem. Furthermore, annual and invasive species groups occupy lower elevations and perennial and naturalized species groups have invaded further up the mountain roads and into the native vegetation. Thus, functional groupings may explain contrasting distribution patterns of non-native species and could be used to inform management strategies for non-native species."
the controversial management of fire in the national forests of idaho and western montana,"In Idaho and Montana just like in the rest of the U.S. Rocky Mountains, a part of the population wants to settle near forests perceived as environmental amenities. The regional net migration has been positive for about twenty-five years. Wildfires with variable intensity regularly destroy properties. Some of them kill people. Regionally, they are an important human, economic, political and environmental issue. Their significance is likely to increase due to global warming. A lot of these fires are ignited within the huge national forests of the montane zone ( 600 to 2,100 meters of elevation in the study area) dominated by Ponderosa pines and Douglas firs. Between the end of the conquest of the West and the 1970s, land uses have altered these forests and the fire regimes that affect them. For about four decades, managers have been involved in a partial and controversial restoration of pre-conquest fire regimes and forests they used to shape."
"managing for climate change on federal lands of the western united states: perceived usefulness of climate science, effectiveness of adaptation strategies, and barriers to implementation","Recent mandates in the United States require federal agencies to incorporate climate change science into land management planning efforts. These mandates target possible adaptation and mitigation strategies. However, the degree to which climate change is actively being considered in agency planning and management decisions is largely unknown. We explored the usefulness of climate change science for federal resource managers, focusing on the efficacy of potential adaptation strategies and barriers limiting the use of climate change science in adaptation efforts. Our study was conducted in the northern Rocky Mountains region of the western United States, where we interacted with 77 U.S. Forest Service and Bureau of Land Management personnel through surveys, semistructured interviews, and four collaborative workshops at locations across Idaho and Montana. We used a mixed-methods approach to evaluate managers' perceptions about adapting to and mitigating for climate change. Although resource managers incorporate general language about climate change in regional and landscape-level planning documents, they are currently not planning on-the-ground adaptation or mitigation projects. However, managers felt that their organizations were most likely to adapt to climate change through use of existing management strategies that are already widely implemented for other non climate-related management goals. These existing strategies, (e.g., thinning and prescribed burning) are perceived as more feasible than new climate-specific methods (e.g., assisted migration) because they already have public and agency support, accomplish multiple goals, and require less anticipation of the future timing and probability of climate change impacts. Participants reported that the most common barriers to using climate change information included a lack of management-relevant climate change science, inconsistent agency guidance, and insufficient time and resources to access, interpret, and apply current climate science information to management plans."
"debris flow initiation in proglacial gullies on mount rainier, washington","Effects of climate change, retreating glaciers, and changing storm patterns on debris flow hazards concern managers in the Cascade Range (USA) and mountainous areas worldwide. During an intense rainstorm in November 2006, seven debris flows initiated from proglacial gullies of separate basins on the flanks of Mount Rainier. Gully heads at glacier termini and widespread failure of gully walls imply that overland flow was transformed into debris flow along gullies. We characterized gully change and morphology, and assessed spatial distributions of debris flows to infer the processes and conditions for debris flow initiation. Slopes at gully heads were greater than similar to 0.35 m m(-1) (19 degrees) and exhibited a significant negative relationship with drainage area. A break in slope-drainage area trends among debris flow gullies also occurs at similar to 0.35 m m(-1), representing a possible transition to fluvial sediment transport and erosion. An interpreted hybrid model of debris flow initiation involves bed failure near gully heads followed by sediment recruitment from gully walls along gully lengths. Estimates of sediment volume loss from gully walls demonstrate the importance of sediment inputs along gullies for increasing debris flow volumes. Basin comparisons revealed significantly steeper drainage networks and higher elevations in debris flow-producing than non-debris flow-producing proglacial areas. The high slopes and elevations of debris flow-producing proglacial areas reflect positive slope-elevation trends for the Mount Rainier volcano. Glacier extent therefore controls the slope distribution in proglacial areas, and thus potential for debris flow generation. As a result, debris flow activity may increase as glacier termini retreat onto slopes inclined at angles above debris flow initiation thresholds. (C) 2014 Elsevier B.V. All rights reserved."
diversifying managed forests to increase resilience,"In British Columbia, Canada, a recent epidemic of mountain pine beetle (Dendroctonus ponderosae Hopkins, 1902) caused widespread forest mortality. This epidemic was due in part to the changing climate, and damage from pests and diseases is expected to increase in the future. Therefore, we used a historical retrospective approach as a proxy to evaluate management options on reducing the forest health damage that may occur under a future changing climate. We assessed two landscape-scale strategies, intended to increase tree species diversity, for the response in ecosystem resilience and compared the results with the business-as-usual strategy. The assessment was based on simulation modelling of the Merritt Timber Supply Area for 1980-2060. We applied a strategy to increase the harvest of the most dominant tree species, plant more diverse species, and increase natural regeneration. This strategy resulted in greater ecological resilience (higher diversity and growing stocks), higher harvest rates, and higher, more consistent net revenue over time than the business-as-usual strategy or the strategy that only employed a diversity of planting. A sensitivity analysis indicated a high level of robustness in the results. Our study showed that it may not be necessary to compromise economic viability to reduce forest health risks and consequently improve socio-ecological resilience."
an assessment of methods and remote-sensing derived covariates for regional predictions of 1 km daily maximum air temperature,"The monitoring and prediction of biodiversity and environmental changes is constrained by the availability of accurate and spatially contiguous climatic variables at fine temporal and spatial grains. In this study, we evaluate best practices for generating gridded, one-kilometer resolution, daily maximum air temperature surfaces in a regional context, the state of Oregon, USA. Covariates used in the interpolation include remote sensing derived elevation, aspect, canopy height, percent forest cover and MODIS Land Surface Temperature (LST). Because of missing values, we aggregated daily LST values as long term (2000-2010) monthly climatologies to leverage its spatial detail in the interpolation. We predicted temperature with three methods-Universal Kriging, Geographically Weighted Regression (GWR) and Generalized Additive Models (GAM)-and assessed predictions using meteorological stations over 365 days in 2010. We find that GAM is least sensitive to overtraining (overfitting) and results in lowest errors in term of distance to closest training stations. Mean elevation, LST, and distance to ocean are flagged most frequently as significant covariates among all daily predictions. Results indicate that GAM with latitude, longitude and elevation is the top model but that LST has potential in providing additional fine-grained spatial structure related to land cover effects. The study also highlights the need for more rigorous methods and data to evaluate the spatial structure and fine grained accuracy of predicted surfaces."
behavior and nutritional condition buffer a large-bodied endotherm against direct and indirect effects of climate,"Temporal changes in net energy balance of animals strongly influence fitness; consequently, natural selection should favor behaviors that increase net energy balance by buffering individuals against negative effects of environmental variation. The relative importance of behavioral responses to climate-induced variation in costs vs. supplies of energy, however, is uncertain, as is the degree to which such responses are mediated by current stores of energy. We evaluated relationships among behavior, nutritional condition (i.e., energy state), and spatiotemporal variation in costs vs. supplies of energy available to a large-bodied endotherm, the North American elk (Cervus elaphus), occupying two ecosystems with contrasting climates and energy landscapes: a temperate, montane forest and an arid, high-elevation desert. We hypothesized that during spring through autumn, behavioral responses to the energy landscape would be both context dependent (i.e., would vary as a function of the contrasting environmental conditions experienced by elk in the forest vs. the desert), and state dependent (i.e., would vary as a function of the energy balance of an individual). We tested several predictions derived from that hypothesis by combining output from a biophysical model of the thermal environment with data on forage quality, animal locations, and nutritional condition of individuals. At the population level, elk in the desert selected areas that reduced costs of thermoregulation over those that provided the highest-quality forage. In the forest, however, costs imposed by the thermal environment were less pronounced, and elk selected areas that increased access to high-quality forage over those that reduced costs of thermoregulation. At the individual level, nutritional condition did not influence strength of selection for low-cost areas or high-quality forage among elk in the forest. In the desert, however, strength of selection for low-cost areas (but not forage quality) was state dependent; individuals in the poorest condition at the end of winter showed the strongest selection for areas that reduced costs of thermoregulation during spring and summer, and also expended the least amount of energy on locomotion. Our results highlight the importance of understanding the roles of behavior and nutritional condition in buffering endotherms against direct and indirect effects of climate on fitness."
idiosyncratic responses of grizzly bear habitat to climate change based on projected food resource changes,"Climate change vulnerability assessments for species of conservation concern often use species distribution and ecological niche modeling to project changes in habitat. One of many assumptions of these approaches is that food web dependencies are consistent in time and environmental space. Species at higher trophic levels that rely on the availability of species at lower trophic levels as food may be sensitive to extinction cascades initiated by changes in the habitat of key food resources. Here we assess climate change vulnerability for Ursus arctos (grizzly bears) in the southern Canadian Rocky Mountains using projected changes to 17 of the most commonly consumed plant food items. We used presence-absence information from 7088 field plots to estimate ecological niches and to project changes in future distributions of each species. Model projections indicated idiosyncratic responses among food items. Many food items persisted or even increased, although several species were found to be vulnerable based on declines or geographic shifts in suitable habitat. These included Hedysarum alpinum (alpine sweet vetch), a critical spring and autumn root-digging resource when little else is available. Potential habitat loss was also identified for three fruiting species of lower importance to bears: Empetrum nigrum (crowberry), Vaccinium scoparium (grouseberry), and Fragaria virginiana (strawberry). A general trend towards uphill migration of bear foods may result in higher vulnerability to bear populations at low elevations, which are also those that are most likely to have human-bear conflict problems. Regardless, a wide diet breadth of grizzly bears, as well as wide environmental niches of most food items, make climate change a much lower threat to grizzly bears than other bear species such as polar bears and panda bears. We cannot exclude, however, future alterations in human behavior and land use resulting from climate change that may reduce survival rates."
"evidence of climate-induced range contractions in bull trout salvelinus conflentus in a rocky mountain watershed, us.a.","Many freshwater fish species are considered vulnerable to stream temperature warming associated with climate change because they are ectothermic, yet there are surprisingly few studies documenting changes in distributions. Streams and rivers in the U.S. Rocky Mountains have been warming for several decades. At the same time these systems have been experiencing an increase in the severity and frequency of wildfires, which often results in habitat changes including increased water temperatures. We resampled 74 sites across a Rocky Mountain watershed 17 to 20 years after initial samples to determine whether there were trends in bull trout occurrence associated with temperature, wildfire, or other habitat variables. We found that site abandonment probabilities (0.36) were significantly higher than colonization probabilities (0.13), which indicated a reduction in the number of occupied sites. Site abandonment probabilities were greater at low elevations with warm temperatures. Other covariates, such as the presence of wildfire, nonnative brook trout, proximity to areas with many adults, and various stream habitat descriptors, were not associated with changes in probability of occupancy. Higher abandonment probabilities at low elevation for bull trout provide initial evidence validating the predictions made by bioclimatic models that bull trout populations will retreat to higher, cooler thermal refuges as water temperatures increase. The geographic breadth of these declines across the region is unknown but the approach of revisiting historical sites using an occupancy framework provides a useful template for additional assessments."
"hydrologic landscape classification evaluates streamflow vulnerability to climate change in oregon, usa","Classification can allow for evaluations of the hydrologic functions of landscapes and their responses to stressors. Here we demonstrate the use of a hydrologic landscape (HL) approach to evaluate vulnerability to potential future climate change at statewide and basin scales in the state of Oregon. The HL classification has five components: climate, seasonality, aquifer permeability, terrain, and soil permeability. We evaluate changes when the 1971-2000 HL climate indices are recalculated using 2041-2070 simulation results from the ECHAM (European Centre HAMburg) and PCM (Parallel Climate Model) climate models with the A2, A1b, and B1 emission scenarios. Changes in climate class were modest (4-18%) statewide. However, there were major changes in seasonality class for five of the six realizations (excluding PCM_B1): Oregon shifts from being 13% snow-dominated to 4-6% snow-dominated under these five realizations, representing a 56-68% reduction in snowmelt-dominated area. At the basin scale, simulated changes for the Siletz Basin, in Oregon's Coast Range, include a small switch from very wet to wet climate, with no change in seasonality. However, there is a modest increase in fall and winter water due to increased precipitation. For the Sandy Basin, on the western slope of the Cascades, HL climate class does not change, but there are major changes in seasonality, especially for areas with low aquifer permeability, which experiences a 100% loss of spring seasonality. This would reduce summer baseflow, but effects could potentially be mitigated by streamflow buffering effects provided by groundwater in the high aquifer permeability portions of the upper Sandy. The Middle Fork John Day Basin (MFJD), in northeastern Oregon, is snowmelt-dominated. The basin experiences a net loss of wet and moist climate area, along with an increase in dry climate area. The MFJD also experiences major shifts from spring to winter seasonality, representing a 20-60% reduction in snowmelt-dominated area. Altered seasonality and/or magnitude of seasonal streamflows could potentially affect survival, growth and reproduction of salmonids in these watersheds, with the greatest effects projected for the MFJD. A major strength of the HL approach is that results can be applied to similarly classified, ungaged basins. Information resulting from such evaluations can help inform management responses to climate change at regional and basin scales without requiring detailed modeling efforts."
"determinants of moth diversity and community in a temperate mountain landscape: vegetation, topography, and seasonality","Macromoth diversity, abundance, and community structure in the topographically complex HJ Andrews Experimental Forest and LTER site was studied on the west slope of the Cascade Range, Oregon. Data on 493 macromoth species (62,221 individuals) was sampled eight times/year at 20 locations from 2004 to 2008 and examined using multivariate statistics and generalized additive models to determine the importance of topography and vegetation on moth community assembly and diversity. Significant differences exist between moth communities at lower and higher elevations. High-elevation moth communities are far more variable inter-annually, whether associated with high-elevation forests, meadows, or clearcuts. Low-elevation young and old gymnosperm forests and riparian forests are more stable and predictable communities having less inter-annual variability. High-elevation communities show more intra-annual variability than low-elevation communities. Low-elevation moth communities are more abundant than high-elevation communities and typically associated with the most common, abundant species of macromoths in the study. High-elevation communities, by contrast, are associated with less abundant, more evenly distributed species, as well as with rare moth species. Macromoth community structure and diversity were related to year or sample period and structural descriptions of vegetation communities, but not related to known host-plant diversity. High-elevation communities are threatened by contraction of montane meadows and climate change which, given the variability in high-elevation communities, could severely impact the biological diversity of the western Cascades landscape. Nocturnal macromoths represent an important potential indicator of ecosystem health and change."
the uneven response of different snow measures to human-induced climate warming,"The effect of human-induced climate warming on different snow measures in the western United States is compared by calculating the time required to achieve a statistically significant linear trend in the different measures, using time series derived from regionally downscaled global climate models. The measures examined include the water content of the spring snowpack, total cold-season snowfall, fraction of winter precipitation that falls as snow, length of the snow season, and fraction of cold-season precipitation retained in the spring snowpack, as well as temperature and precipitation. Various stakeholders may be interested in different sets of these variables. It is found that temperature and the fraction of winter precipitation that falls as snow exhibit significant trends first, followed in 5-10 years by the fraction of cold-season precipitation retained in the spring snowpack, and later still by the water content of the spring snowpack. Change in total cold-season snowfall is least detectable of all the measures, since it is strongly linked to precipitation, which has large natural variability and only a weak anthropogenic trend in the western United States. Averaging over increasingly wider areas monotonically increases the signal-to-noise ratio of the 1950-2025 linear trend from 0.15 to 0.37, depending on the snow measure."
tree species selection revisited for plantations in the interior cedar hemlock zone of southern british columbia,"We provide results from two trials comparing performance of species of known provenance planted on logged sites in the southern Interior Cedar Hemlock biogeoclimatic zone of southern British Columbia 20 and 26 years after establishment. The commonly used plantation species, lodgepole pine (Pinus contorta var. latifolia), interior spruce (a naturally occurring hybrid between Picea glauca and P. engelmannii) and Douglas-fir (Pseudotsuga menziesii var. glauca), survived as well as, but grew more slowly than, western larch (Larix occidentalis), western white pine (Pinus monticola) and ponderosa pine (Pinus ponderosa), and faster than western redcedar (Thuja plicata). Site index values were generally higher than published values for similar sites. Numerous pests affected all species in the trials. Mountain pine beetle (Dendroctonus ponderosae) caused heavy mortality in lodgepole pine in part of one trial, and Armillaria root disease caused widespread damage to western larch and Douglas-fir in the other trial. Western white pine from local seed sources were severely damaged by white pine blister rust (Cronartium ribicola) in both trials but a rust-resistant seed source used in one trial survived better. Frost damage reduced survival and growth of Douglas-fir in one trial and may have affected western white pine. Survival of two planted broadleaves (Betula papyrifera) and a hybrid of black cottonwood (Populus trichocarpa) and black poplar (Populus nigra) was severely reduced by drought. The results support ongoing efforts to broaden the number of species used in British Columbia reforestation programs."
influence of spatial temperature estimation method in ecohydrologic modeling in the western oregon cascades,"Most spatially explicit hydrologic models require estimates of air temperature patterns. For these models, empirical relationships between elevation and air temperature are frequently used to upscale point measurements or downscale regional and global climate model estimates of air temperature. Mountainous environments are particularly sensitive to air temperature estimates as spatial gradients are substantial, and air temperature plays a critical role in snow-related processes. We use a distributed, coupled ecohydrologic model to compare estimates of streamflow, snowmelt, transpiration, and net primary productivity (NPP) using five temperature interpolation approaches for a forested mountain basin that is dominated by a rain-snow zone in Western Oregon, USA. We compare model estimates using a standard adiabatic lapse rate of -6.5 degrees C km(-1); basin-specific lapse rates created using daily point observations at high, middle, and low elevations; and gridded temperature estimates from the Parameter-elevation Regressions on Independent Slopes Model (PRISM) derived at 800 and 50 m resolutions. We show that temperature interpolation strategies influence model calibration. Point-based estimates using a low-elevation station or 800 m PRISM grids result in significantly fewer parameter sets that model streamflow well, suggesting a bias in parameter selection due to errors in input data. The greatest postcalibration impact of temperature lapse rate estimates occurs for model estimates of NPP. The constant temperature lapse rate results in substantially reduced NPP estimates that are more sensitive to the interannual variation in climate forcing. Citation: Garcia, E. S., C. L. Tague, and J. S. Choate (2013), Influence of spatial temperature estimation method in ecohydrologic modeling in the Western Oregon Cascades, Water Resour. Res., 49, 1611-1624, doi:10.1002/wrcr.20140."
"climate change or climate cycles? snowpack trends in the olympic and cascade mountains, washington, usa","Climate change could significantly influence seasonal streamflow and water availability in the snowpack-fed watersheds of Washington, USA. Descriptions of snowpack decline often use linear ordinary least squares (OLS) models to quantify this change. However, the region's precipitation is known to be related to climate cycles. If snowpack decline is more closely related to these cycles, an OLS model cannot account for this effect, and thus both descriptions of trends and estimates of decline could be inaccurate. We used intervention analysis to determine whether snow water equivalent (SWE) in 25 long-term snow courses within the Olympic and Cascade Mountains are more accurately described by OLS (to represent gradual change), stationary (to represent no change), or step-stationary (to represent climate cycling) models. We used Bayesian information-theoretic methods to determine these models' relative likelihood, and we found 90 models that could plausibly describe the statistical structure of the 25 snow courses' time series. Posterior model probabilities of the 29 ""most plausible"" models ranged from 0.33 to 0.91 (mean = 0.58, s = 0.15). The majority of these time series (55 %) were best represented as step-stationary models with a single breakpoint at 1976/77, coinciding with a major shift in the Pacific Decadal Oscillation. However, estimates of SWE decline differed by as much as 35 % between statistically plausible models of a single time series. This ambiguity is a critical problem for water management policy. Approaches such as intervention analysis should become part of the basic analytical toolkit for snowpack or other climatic time series data."
multi-scale drivers of spatial variation in old-growth forest carbon density disentangled with lidar and an individual-based landscape model,"Forest ecosystems are the most important terrestrial carbon (C) storage globally, and presently mitigate anthropogenic climate change by acting as a large and persistent sink for atmospheric CO2. Yet, forest C density varies greatly in space, both globally and at stand and landscape levels. Understanding the multi-scale drivers of this variation is a prerequisite for robust and effective climate change mitigation in ecosystem management. Here, we used airborne light detection and ranging (Lidar) and a novel high-resolution simulation model of landscape dynamics (iLand) to identify the drivers of variation in C density for an old-growth forest landscape in Oregon, USA. With total ecosystem C in excess of 1 Gt ha(-1) these ecosystems are among the most C-rich globally. Our findings revealed considerable spatial variability in stand-level C density across the landscape. Notwithstanding the distinct environmental gradients in our mountainous study area only 55.3% of this variation was explained by environmental drivers, with radiation and soil physical properties having a stronger influence than temperature and precipitation. The remaining variation in C stocks was largely attributable to emerging properties of stand dynamics (that is, stand structure and composition). Not only were density- and size-related indicators positively associated with C stocks but also diversity in composition and structure, documenting a close link between biodiversity and ecosystem functioning. We conclude that the complexity of old-growth forests contributes to their sustained high C levels, a finding that is relevant to managing forests for climate change mitigation."
climate and weather influences on spatial temporal patterns of mountain pine beetle populations in washington and oregon,"Widespread outbreaks of mountain pine beetle in North America have drawn the attention of scientists, forest managers, and the public. There is strong evidence that climate change has contributed to the extent and severity of recent outbreaks. Scientists are interested in quantifying relationships between bark beetle population dynamics and trends in climate. Process models that simulate climate suitability for mountain pine beetle outbreaks have advanced our understanding of beetle population dynamics; however, there are few studies that have assessed their accuracy across multiple outbreaks or at larger spatial scales. This study used the observed number of trees killed by mountain pine beetles per square kilometer in Oregon and Washington, USA, over the past three decades to quantify and assess the influence of climate and weather variables on beetle activity over longer time periods and larger scales than previously studied. Influences of temperature and precipitation in addition to process model output variables were assessed at annual and climatological time scales. The statistical analysis showed that new attacks are more likely to occur at locations with climatological mean August temperatures >15 degrees C. After controlling for beetle pressure, the variables with the largest effect on the odds of an outbreak exceeding a certain size were minimum winter temperature (positive relationship) and drought conditions in current and previous years. Precipitation levels in the year prior to the outbreak had a positive effect, possibly an indication of the influence of this driver on brood size. Two-year cumulative precipitation had a negative effect, a possible indication of the influence of drought on tree stress. Among the process model variables, cold tolerance was the strongest indicator of an outbreak increasing to epidemic size. A weather suitability index developed from the regression analysis indicated a 2.5x increase in the odds of outbreak at locations with highly suitable weather vs. locations with low suitability. The models were useful for estimating expected amounts of damage (total area with outbreaks) and for quantifying the contribution of climate to total damage. Overall, the results confirm the importance of climate and weather on the spatial expansion of bark beetle outbreaks over time."
projecting future distributions of ecosystem climate niches: uncertainties and management applications,"Projecting future distributions of ecosystems or species climate niches has widely been used to assess the potential impacts of climate change. However, variability in such projections for the future periods, particularly the variability arising from uncertain future climates, remains a critical challenge for incorporating these projections into climate change adaptation strategies. We combined the use of a robust statistical modeling technique with a simple consensus approach consolidating projected outcomes for multiple climate change scenarios, and exemplify how the results could guide reforestation planning. Random Forest (RF) was used to model relationships between climate (1961-1990), described by 44 variables, and the geographic distribution of 16 major ecosystem types in British Columbia (BC), Canada. The model predicted current ecosystem distributions with high accuracy (mismatch rate = 4-16% for most ecosystem classes). It was then used to predict the distribution of ecosystem climate niches for the last decade (2001-2009) and project future distributions for 20 climate change scenarios. We found that geographic distributions of the suitable climate habitats for BC ecosystems have already shifted in 23% of BC since the 1970s. Consensus projections for future periods (2020s, 2050s, 2080s) indicated climates suitable for grasslands, dry forests, and moist continental cedar-hemlock forests would substantially expand; climate habitat for coastal rainforests would remain relatively stable; and habitat for boreal, subalpine and alpine ecosystems would decrease substantially. Using these consensus projections and data on the occurrence of Douglas-fir (Pseudotsuga menziesii [Mirb.] Franco) in BC ecosystems, we estimated a twofold increase in seedling demand for this frost-sensitive, commercially important timber species, suggesting managers could begin planning to expand seed inventories and seed orchard capacity to more widely plant this species on logged sites. The results of this work demonstrate the power of RF for building climate envelope models and illustrate the utility of consensus projections for incorporating uncertainty about future climate into management planning. It also emphasizes the immediate need for adapting natural resource management to a changing climate. (C) 2012 Elsevier B.V. All rights reserved."
climate effects on red alder growth in the pacific northwest of north america,"We investigated the effects of climate on the growth of red alder across a broad latitudinal gradient and over a wide range of growing conditions in the Pacific Northwest of North America (PNW). Data for this study came from a study established in 1988 that includes 31 research installations located between the Pacific Coast and the Cascade Mountains in Oregon, Washington, and British Columbia. The growth-climate model developed includes: summer heat moisture index (SHM), mean warmest month temperature (MWMT), spring precipitation (PPTsp), and initial height; and captures 78% of the variation in red alder volume increment. Based on this model, estimates of potential future growth were generated for three climate scenarios (i.e., cccma_cgcm3_A2-run4 'warm and wet' of the Canadian Centre for Climate Modeling and Analysis; and ukmo_hadcm3_B1-run1 'cool and moist' and ukmo_HadGEM1_A1B-run1 'hot and dry' of the Hadley Centre for Climate Prediction and Research). These projections indicate a potential increase in volume increment of up-to 12% by the 2080s. Range-wide maps were generated for the volume increment potential (VIP) for the reference normal period 1961-1990, for the 'warm and wet' climate scenario, and the 2050s time period, suggesting that climate change may cause a substantial shift in the range and productivity of red alder in the PNW. In addition, maps of the predicted VIP of red alder for the Campbell River District in BC were generated and indicate an overall increase in projected growth of red alder. This study provides evidence that climate change will likely lead to expansion of the range and potential increases in growth for red alder in conjunction with assisted migration of provenance in the PNW. While these results indicate potential increased opportunities for extension of the range of red alder and opportunities for its management, care must be taken to avoid planting alder on sites with high risk of damaging agents such as cold outflow winds, frost, or drought. (C) 2012 Elsevier B.V. All rights reserved."
spatial genetic structure of the mountain pine beetle (dendroctonus ponderosae) outbreak in western canada: historical patterns and contemporary dispersal,"Environmental change has a wide range of ecological consequences, including species extinction and range expansion. Many studies have shown that insect species respond rapidly to climatic change. A mountain pine beetle epidemic of record size in North America has led to unprecedented mortality of lodgepole pine, and a significant range expansion to the northeast of its historic range. Our goal was to determine the spatial genetic variation found among outbreak population from which genetic structure, and dispersal patterns may be inferred. Beetles from 49 sampling locations throughout the outbreak area in western Canada were analysed at 13 microsatellite loci. We found significant north-south population structure as evidenced by: (i) Bayesian-based analyses, (ii) north-south genetic relationships and diversity gradients; and (iii) a lack of isolation-by-distance in the northernmost cluster. The north-south structure is proposed to have arisen from the processes of postglacial colonization as well as recent climate-driven changes in population dynamics. Our data support the hypothesis of multiple sources of origin for the outbreak and point to the need for population specific information to improve our understanding and management of outbreaks. The recent range expansion across the Rocky Mountains into the jack/lodgepole hybrid and pure jack pine zones of northern Alberta is consistent with a northern British Columbia origin. We detected no loss of genetic variability in these populations, indicating that the evolutionary potential of mountain pine beetle to adapt has not been reduced by founder events. This study illustrates a rapid range-wide response to the removal of climatic constraints, and the potential for range expansion of a regional population."
"climate change impacts on spatial patterns in drought risk in the willamette river basin, oregon, usa","Climate change is likely to lead more frequent droughts in the Pacific Northwest (PNW) of America. Rising air temperature will reduce winter snowfall and increase earlier snowmelt, subsequently reducing summer flows. Longer crop-growing season caused by higher temperatures will lead to increases in evapotranspiration and irrigation water demand, which could exacerbate drought damage. However, the impacts of climate change on drought risk will vary over space and time. Thus, spatially explicit drought assessment can help water resource managers and planners to better cope with risk. This study seeks to identify possible drought-vulnerable regions in the Willamette River Basin of the PNW. In order to estimate drought risk in a spatially explicit way, relative Standardized Precipitation Index (rSPI) and relative Standardized Runoff Index (rSRI) were employed. Statistically downscaled climate simulations forcing two greenhouse gas emission scenarios, A1B and B1, were used to investigate the possible changes in drought frequency with 3-, 6-, 12-, and 24-month time scales. The results of rSPI and rSRI showed an increase in the short-term frequency of drought due to decreases in summer precipitation and snowmelt. However, long-term drought showed no change or a slight decreasing pattern due to increases in winter precipitation and runoff. According to the local index of spatial autocorrelation analysis, the Willamette Valley region was more vulnerable (hot spot) to drought risk than the mountainous regions of the Western Cascades and the High Cascades (cold spot). Although the hydrology of the Western Cascades and the High Cascades will be affected by climate change, these regions will remain relatively water-rich. This suggests that improving the water transfer system could be a reasonable climate adaptation option. Additionally, these results showed that the spatial patterns of drought risk change were affected by drought indices, such that appropriate drought index selection will be important in future studies of climate impacts on spatial drought risk."
