Timestamp,Your Name,Title of paper: please copy-paste from the spreadsheet.,"Paper ID: in column ""final_id""","Is this paper in the Columbia River Basin, and does it most address climate change impacts, adaptation, or mitigation? If the answer is ""None of these"", leave the rest of the answers blank.","If this paper addresses impacts then select the type of impact. If not, skip the question.","What is the spatial resolution of data in this paper? (i.e., minimum unit of observation)",What is the spatial extent of data in this paper? ,"Where was the study conducted? Please copy-paste coordinates of your best approximation of the study location in google maps. If you click something besides ""other"", then no need to fill out HUCs.",In what biome(s) is this research conducted? ,"If the paper has a smaller spatial extent than the Pacific Northwest, what HUC 6 watersheds was the study in? (Select watershed if in Canada; leave out the starting ""17"").",What type of data was used in this study?,What discipline(s) does this study address? (Check multiple boxes for interdisciplinary).,What topics does this study address? ,List concerns or uncertainty when coding this paper. ,Copy and paste or summarize content related to our research questions. ,Copy and paste or summarize content related to research in mountainous environments. 
2/16/2018 13:57:03,AM,Large carbon release legacy from bark beetle outbreaks across Western United States,75,Impacts,,1-900 m2 (1-30m; Landsat size or smaller),Western US and/or Western US plus Canada,Western United States,Forest: temperate,,Gridded or polygons,Forestry,"Temperature, Pests and disease, Timber production/Silviculture, Forest Ecology, Carbon Emissions","Considered putting this as a mitigation paper, though I think it's still impacts. ",,
1/29/2018 11:28:32,DH,Large carbon release legacy from bark beetle outbreaks across Western United States,75,Impacts,Observed impacts,900m2 - 1km2,Western US and/or Western US plus Canada,Western United States,Forest: temperate,,"Points in an observation network (e.g. SNOTEL), Point data NOT collected specifically for this study",Forestry,"Temperature, Precipitation, Water quantity, Species Invasion, Pests and disease, Range Shifts, Timber production/Silviculture, Forest Ecology, Management",,,
1/29/2018 10:40:23,DH,Forest Development and Carbon Dynamics after Mountain Pine Beetle Outbreaks,76,Impacts,"Observed impacts, Climate change implications",Point or plot scale,Western US and/or Western US plus Canada,Western United States,Forest: temperate,,"Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Forestry,"Temperature, Precipitation, Snow, Species Invasion, Pests and disease, Range Shifts, Wildfire, Forest Ecology, Management",Kick out of corpus.... general tree survey and review.....,,
2/3/2018 10:34:35,PE,Forest Development and Carbon Dynamics after Mountain Pine Beetle Outbreaks,76,None of these or not in the CRB,,,,,,,,,,"Not about climate change. All ""mountain"" references are about beetles",,
1/9/2018 9:42:43,AM,Effects of temperature and precipitation on snowpack variability in the Central Rocky Mountains as a function of elevation,77,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","48.968258,-116.2385066",Forest: temperate,"0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane",Points in an observation network (e.g. SNOTEL),"Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow",,,Find that temperature controls snowpack at lower elevations; precip controls snowpack at higher elevations. 
1/11/2018 15:28:37,DH,Effects of temperature and precipitation on snowpack variability in the Central Rocky Mountains as a function of elevation,77,Impacts,Observed impacts,Point or plot scale,100 km2 - 500 km2 (HUC 12 is 100 km2),"48.6912956,-116.3308097","Forest: temperate, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers","0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane, 0603 - Clearwater",Points in an observation network (e.g. SNOTEL),Meteorology and Climatology,"Temperature, Precipitation, Snow, Groundwater, Water quantity, Soils",,,
1/27/2018 16:40:13,DH,Relative effects of climate change and wildfires on stream temperatures: a simulation modeling approach in a Rocky Mountain watershed,78,Impacts,Projected impacts,Point or plot scale,500 km2 - 1500 km2 (HUC 10 is 587 km2),"45.8076963,-113.9564769","Alpine/tundra, Forest: temperate",0102 - Pend Oreille,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Forestry,"Temperature, Precipitation, Snow, Water quality, Water quantity, Wildfire, Forest Ecology, Community resilience (human), Soils, Policy, Management",,,
1/30/2018 10:42:56,MF,Relative effects of climate change and wildfires on stream temperatures: a simulation modeling approach in a Rocky Mountain watershed,78,Impacts,"Projected impacts, Climate change implications",Point or plot scale,500 km2 - 1500 km2 (HUC 10 is 587 km2),"45.9402119,-114.1357838","Forest: temperate, Freshwater: streams and rivers",0102 - Pend Oreille,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Hydrology,"Temperature, Precipitation, River geomorphology and restoration, Water quality, Water quantity, Salmon, Non-anadromous fish, Aquatic habitat, Wildfire, Management",,,
1/27/2018 16:00:07,DH,Cattle grazing in semiarid forestlands: Habitat selection during periods of drought,79,Impacts,Projected impacts,Point or plot scale,>10km2 - 100km2 (smaller than HUC 12),"Oregon, 45.2331833,-118.5685822","Grassland: temperate, Forest: temperate","0601 - Lower Snake, 0701 - Middle Columbia","Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Biology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quality, Water quantity, Agriculture, Community resilience (human), Attitudes and Beliefs, Soils, Management",,,
1/29/2018 16:00:18,MF,Cattle grazing in semiarid forestlands: Habitat selection during periods of drought,79,Impacts,"Observed impacts, Climate change implications",Point or plot scale,100 km2 - 500 km2 (HUC 12 is 100 km2),"45.2331994,-118.5598274","Grassland: temperate, Forest: temperate","0601 - Lower Snake, 0701 - Middle Columbia",Point data collected specifically for this study,"Ecology, Rangeland Science","Temperature, Precipitation, Range Shifts, Agriculture, Management",,,
2/16/2018 14:28:01,AM,Sensitivity of summer stream temperatures to climate variability in the Pacific Northwest,80,Impacts,Climate change implications,Point or plot scale,"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)","Washington, Oregon",Freshwater: streams and rivers,"0102 - Pend Oreille, 0200 - Upper Columbia, 0300 - Yakima, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0701 - Middle Columbia, 0702 - John Day, 0703 - Deschutes, 0800 - Lower Columbia, 0900 - Willamette, 1002 - Northern Oregon Coastal",Points in an observation network (e.g. SNOTEL),Hydrology,"Temperature, Precipitation, Streamflow/stream forecasting, Water quality, Water quantity",,,
1/5/2018 0:21:10,MF,Sensitivity of summer stream temperatures to climate variability in the Pacific Northwest,80,Impacts,Observed impacts,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",,"Alpine tundra, Forest: temperate, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers","0101 - Kootenai, 0103 - Spokane, 0200 - Upper Columbia, 0300 - Yakima, 0401 - Snake headwaters, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0603 - Clearwater, 0701 - Middle Columbia, 0702 - John Day, 0703 - Deschutes, 0800 - Lower Columbia, 0900 - Willamette, 1002 - Northern Oregon Coastal","Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Hydrology,"Temperature, Water quality",I classified stream temperature as a water quality issue,,"Our results show that virtually all cold streams are insensitive, while warmer streams may or may not be sensitive, although there is a general trend of increasing sensitivity with increasing stream temperature."
2/4/2018 20:56:09,CMC,Multiscale Relationships Between Alpine Treeline Elevation and Hypothesized Environmental Controls in the Western United States,81,Impacts,Climate change implications,Point or plot scale,Western US and/or Western US plus Canada,26 mountainous sites across the western US. Mostly in Natl Parks,"Alpine/tundra, Forest: temperate",,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Geography,"Temperature, Precipitation, Timber production/Silviculture, Forest Ecology, Alpine treeline ecotone",Good reference for a broad study of western US mountains,,Table 1 includes a list of GPS points for all major mountain ranges in the western US
1/16/2018 11:16:38,DH,Multiscale Relationships Between Alpine Treeline Elevation and Hypothesized Environmental Controls in the Western United States,81,Impacts,Climate change implications,Point or plot scale,Western US and/or Western US plus Canada,Western United States,"Alpine tundra, Forest: temperate",,Points in an observation network (e.g. SNOTEL),Meteorology and Climatology,"Temperature, Precipitation, Snow, Glaciers, Range Shifts, Forest Ecology, Management",,,
2/16/2018 14:05:49,AM,What is the importance of climate model bias when projecting the impacts of climate change on land surface processes?,82,Impacts,Projected impacts,>10km2 - 100km2 (smaller than HUC 12),"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)","Columbia River Basin, 44.2331787,-122.2112381","Alpine/tundra, Grassland: temperate, Forest: temperate",0900 - Willamette,Gridded or polygons,"Meteorology and Climatology, Hydrology, Forestry","Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quality, Water quantity, Timber production/Silviculture, Agriculture, Carbon Emissions","Spatial issue a little tough - it has an analysis that extends over the CRB, but also more detailed analysis at HJ Andrews. I coded for both. ",,
1/29/2018 11:36:27,DH,What is the importance of climate model bias when projecting the impacts of climate change on land surface processes?,82,Impacts,Projected impacts,>10km2 - 100km2 (smaller than HUC 12),"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",Columbia River Basin,"Alpine/tundra, Grassland: temperate, Forest: temperate, Forest: boreal (N of 50 degrees), Desert: semi-arid desert, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers",,Gridded or polygons,Meteorology and Climatology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Groundwater, Water quality, Water quantity, Forest Ecology, Agriculture, Community resilience (human), Attitudes and Beliefs, Soils, Policy",,,
1/29/2018 10:45:25,DH,Stochastic Method for Examining Vulnerability of Hydropower Generation and Reservoir Operations to Climate Change: Case Study of the Dworshak Reservoir in Idaho,83,Impacts,Projected impacts,Point or plot scale,"1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2), 25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)","46.5190971,-116.3028145","Alpine/tundra, Forest: temperate, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers",0603 - Clearwater,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)","Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quality, Water quantity, Forest Ecology, Policy, Management",,,
2/3/2018 10:39:34,PE,Stochastic Method for Examining Vulnerability of Hydropower Generation and Reservoir Operations to Climate Change: Case Study of the Dworshak Reservoir in Idaho,83,Impacts,Climate change implications,,,"46.5190971,-116.3028198",,,,,,No online access on 2/03/18,,
1/9/2018 9:51:10,AM,"Exotic Plant Colonization and Occupancy Within Riparian Areas of the Interior Columbia River and Upper Missouri River Basins, USA",84,Impacts,Climate change implications,Point or plot scale,"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",Columbia River Basin,Freshwater: streams and rivers,,"Point data collected specifically for this study, Point data NOT collected specifically for this study",Ecology,"Temperature, Precipitation, Species Invasion, Wildfire",Climate change connection is pretty loose. ,,
1/11/2018 15:38:54,DH,"Exotic Plant Colonization and Occupancy Within Riparian Areas of the Interior Columbia River and Upper Missouri River Basins, USA",84,Impacts,Projected impacts,Point or plot scale,"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",Idaho,"Alpine tundra, Grassland: temperate, Forest: temperate, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers","0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane, 0200 - Upper Columbia, 0401 - Snake headwaters, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon, 0603 - Clearwater, 0701 - Middle Columbia","Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Ecology,"Temperature, Precipitation, Streamflow/stream forecasting, Species Invasion, Pests and disease, Range Shifts, Wildfire, Timber production/Silviculture, Agriculture, Soils, Management",,,
1/27/2018 16:43:36,DH,Changes in Snow Mass Balance in the Canadian Rocky Mountains Caused by CO2 Rise: Regional Atmosphere Model Results,85,Impacts,Projected impacts,>1km2 - 10km2 (city of Moscow is 2.6 km2),Western US and/or Western US plus Canada,"Western United States, British Columbia","Alpine/tundra, Grassland: temperate, Forest: temperate, Forest: boreal (N of 50 degrees), Desert: semi-arid desert, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers",,Gridded or polygons,Meteorology and Climatology,"Temperature, Precipitation, Snow, Glaciers, Streamflow/stream forecasting, Water quality, Water quantity, Soils, Management",,,
1/30/2018 10:48:41,MF,Changes in Snow Mass Balance in the Canadian Rocky Mountains Caused by CO2 Rise: Regional Atmosphere Model Results,85,Impacts,Projected impacts,>1km2 - 10km2 (city of Moscow is 2.6 km2),Western US and/or Western US plus Canada,"Western United States, British Columbia","Alpine/tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers",,Gridded or polygons,"Meteorology and Climatology, Hydrology","Snow, Streamflow/stream forecasting, Water quantity, Carbon Emissions",,,
1/4/2018 23:55:04,MF,"An Overview of the Columbia Basin Climate Change Scenarios Project: Approach, Methods, and Summary of Key Results",86,Impacts,Projected impacts,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",Columbia River Basin,"Alpine tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers",,Review,Climate Change,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, River geomorphology and restoration, Groundwater, Water quantity","I don't think the boreal forest biome is in the CRB. I had a hard time selecting a discipline so I added climate change, since it's a focused review about climate change ",,"Results from the study show profound changes in spring snowpack and fundamental shifts from snow and mixed-rain-and-snow to rain-dominant behaviour across most of the domain. Associated shifts in streamflow timing from spring and summer to winter are also evident in basins with significant snow accumulation in winter (for the current climate). Potential evapotranspiration increases over most of the PNW in summer because of rising temperatures; however, actual evapotranspiration is reduced in all but a few areas of the domain because evapotranspiration is mostly water limited in summer, and summer precipitation decreases in the simulations. Simulated widespread increases in soil moisture recharge in fall and winter in areas with significant snow accumulation in winter (for the current climate) support hypotheses of increased landslide risk and sediment transport in winter in the future. Simulations of floods and extreme low flows increase in intensity for most of the river sites included in the study. The largest increases in flooding are in mixed-rain-and-snow basins whose current mid-winter temperatures are within a few degrees of freezing."
2/3/2018 18:50:39,PE,"An Overview of the Columbia Basin Climate Change Scenarios Project: Approach, Methods, and Summary of Key Results",86,,,,,,,,,,,Not online,,
1/10/2018 18:04:44,AM,Effect of crown class and habitat type on climate-growth relationships of ponderosa pine and Douglas-fir,87,Impacts,Climate change implications,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"48.6599282,-117.6229706",Forest: temperate,"0102 - Pend Oreille, 0200 - Upper Columbia","Gridded, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study","Forestry, Ecology","Temperature, Precipitation, Forest Ecology, Dendrochronology",,,
1/5/2018 0:49:36,MF,Effect of crown class and habitat type on climate-growth relationships of ponderosa pine and Douglas-fir,87,Impacts,Observed impacts,Point or plot scale,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)",,,"0102 - Pend Oreille, 0103 - Spokane, 0200 - Upper Columbia","Gridded, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Forestry,"Temperature, Precipitation, Timber production/Silviculture, Forest Ecology, Dendrochronology, Management",silviculture is a type of management ,,
1/27/2018 16:07:50,DH,Postfire Downy Brome (Bromus tectorum) Invasion at High Elevations in Wyoming,88,None of these or not in the CRB,,,,,,,,,,"Lander, WY........",,
1/29/2018 16:02:19,MF,Postfire Downy Brome (Bromus tectorum) Invasion at High Elevations in Wyoming,88,None of these or not in the CRB,,,,,,,,,,,,
2/4/2018 21:01:28,CMC,Uncertainties in Hydrologic and Climate Change Impact Analyses in Headwater Basins of British Columbia,89,None of these or not in the CRB,,,,,,,,,,"Interesting paper about hydrology but, from fig 1, no points are within the CRB","In British Columbia (BC), there are few examples
of uncertainty analysis for climate impacts studies on
hydrology. Examining the impacts of climate change
on hydrology and basin water budgets within British
Columbia is uniquely difficult owing to ubiquitous nival
or mixed-nival watershed regimes across the province,
which might be a reason why uncertainty analysis has yet
to be undertaken",
1/16/2018 11:20:53,DH,Uncertainties in Hydrologic and Climate Change Impact Analyses in Headwater Basins of British Columbia,89,None of these or not in the CRB,,,,,,,,,,"specifically defined as out of the crb, only in the fraser, peace, and coast of BC...",,
2/16/2018 14:15:10,AM,SECONDARY CONTROLS OF ALPINE TREELINE ELEVATIONS IN THE WESTERN USA,90,Impacts,Climate change implications,Point or plot scale,Western US and/or Western US plus Canada,Western United States,Alpine/tundra,,"Gridded or polygons, Point data NOT collected specifically for this study","Ecology, Geography","Temperature, Precipitation, Forest Ecology, Treeline","Not sure whether to call this forested or alpine biome. Also, climate change connection is a little slim. ",,
1/29/2018 11:42:07,DH,SECONDARY CONTROLS OF ALPINE TREELINE ELEVATIONS IN THE WESTERN USA,90,Impacts,Climate change implications,Point or plot scale,Western US and/or Western US plus Canada,Western United States,"Alpine/tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers",,"Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Forestry,"Temperature, Precipitation, Snow, Water quantity, Soils",,,
1/30/2018 15:11:21,DH,SECONDARY CONTROLS OF ALPINE TREELINE ELEVATIONS IN THE WESTERN USA,90,Impacts,"Observed impacts, Climate change implications",Point or plot scale,Western US and/or Western US plus Canada,Western United States,"Alpine/tundra, Forest: temperate","0102 - Pend Oreille, 0200 - Upper Columbia, 0402 - Upper Snake, 0602 - Salmon, 0701 - Middle Columbia","Points in an observation network (e.g. SNOTEL), Point data NOT collected specifically for this study",Forestry,"Temperature, Precipitation, Snow, Water quantity, Range Shifts",,,
1/29/2018 10:51:42,DH,"Area change of glaciers in the Canadian Rocky Mountains, 1919 to 2006",91,Impacts,Observed impacts,1-900 m2 (1-30m; Landsat size or smaller),"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","British Columbia, 52.172142,-117.0682955",Alpine/tundra,Columbia (Canada),"Gridded or polygons, Point data collected specifically for this study, Point data NOT collected specifically for this study, Policy data","Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow, Glaciers, Attitudes and Beliefs, Management",,,
2/3/2018 11:01:39,PE,"Area change of glaciers in the Canadian Rocky Mountains, 1919 to 2006",91,Impacts,Climate change implications,Point or plot scale,1-900 m2 (1-30m; Landsat size or smaller),"52.1944999,-117.3928927",,Columbia (Canada),"Point data collected specifically for this study, areal photos",Meteorology and Climatology,"Temperature, Precipitation, Glaciers",,,
1/9/2018 9:56:42,AM,A Landsat time series approach to characterize bark beetle and defoliator impacts on tree mortality and surface fuels in conifer forests,92,Impacts,Climate change implications,Point or plot scale,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)","45.3736141,-121.7047059,15",Forest: temperate,"0703 - Deschutes, 0900 - Willamette","Gridded, Point data collected specifically for this study",Ecology,"Pests and disease, Forest Ecology",Tempting to toss this one out as not climate change related enough,,
1/11/2018 15:45:25,DH,A Landsat time series approach to characterize bark beetle and defoliator impacts on tree mortality and surface fuels in conifer forests,92,Impacts,Observed impacts,Point or plot scale,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)","45.3736141,-121.7047059,15z","Alpine tundra, Forest: temperate","0200 - Upper Columbia, 0702 - John Day, 0703 - Deschutes, 0900 - Willamette","Gridded, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Forestry,"Temperature, Precipitation, Pests and disease, Timber production/Silviculture, Forest Ecology, Soils",,,
1/27/2018 16:48:06,DH,Influence of the PNA on declining mountain snowpack in the Western United States,93,Impacts,Observed impacts,>10km2 - 100km2 (smaller than HUC 12),Western US and/or Western US plus Canada,Western United States,"Alpine/tundra, Grassland: temperate, Forest: temperate, Forest: boreal (N of 50 degrees), Desert: semi-arid desert, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers",,Gridded or polygons,Meteorology and Climatology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity, Forest Ecology, Management",,,
1/30/2018 10:54:40,MF,Influence of the PNA on declining mountain snowpack in the Western United States,93,Impacts,"Observed impacts, Climate change implications",Point or plot scale,Western US and/or Western US plus Canada,Western United States,"Alpine/tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers",,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)","Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow, Water quantity, Oceanic Oscillations",,,
1/18/2018 12:25:13,DH,Density-dependent population dynamics of mountain pine beetle in thinned and unthinned stands,94,Impacts,Observed impacts,Point or plot scale,"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)","Wyoming, British Columbia, Montana","Alpine/tundra, Forest: temperate","0102 - Pend Oreille, 0401 - Snake headwaters, Kooteney (Canada)",Point data NOT collected specifically for this study,Forestry,"Temperature, Species Invasion, Pests and disease, Timber production/Silviculture, Forest Ecology",,,
1/5/2018 8:51:43,MF,Density-dependent population dynamics of mountain pine beetle in thinned and unthinned stands,94,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","50.9769367,-115.9613989; 48.5416196,-115.4351781;  47.5832638,-115.6018355; 44.3027172,-110.6196531",Forest: temperate,"0101 - Kootenai, 0102 - Pend Oreille, 0401 - Snake headwaters","Point data collected specifically for this study, Point data NOT collected specifically for this study",Forestry,"Pests and disease, Timber production/Silviculture, Forest Ecology",,,
1/5/2018 9:01:05,MF,"Effects of wildfire on stream temperatures in the Bitterroot River Basin, Montana",95,Impacts,Climate change implications,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"46.861588,-114.1367885","Forest: temperate, Freshwater: streams and rivers",0102 - Pend Oreille,"Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Forestry,"Temperature, Water quality, Wildfire, Forest Ecology",I will consistently refer to water temperature as water quality.,,
2/3/2018 11:43:59,PE,"Effects of wildfire on stream temperatures in the Bitterroot River Basin, Montana",95,Impacts,Observed impacts,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"45.9165842,-114.3018074",Forest: temperate,0701 - Middle Columbia,Gridded or polygons,Forestry,"Temperature, Aquatic habitat, Wildfire",,,
2/4/2018 21:05:20,CMC,Decline of planted lodgepole pine in the southern interior of british columbia,96,Impacts,Climate change implications,Point or plot scale,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)",British Columbia,"Alpine/tundra, Grassland: temperate, Forest: temperate",Columbia (Canada),"Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Forestry,"Temperature, Precipitation, Range Shifts, Timber production/Silviculture, Forest Ecology",,,
1/5/2018 9:09:38,MF,Decline of planted lodgepole pine in the southern interior of British Columbia,96,,"Observed impacts, Climate change implications",Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",British Columbia,Forest: temperate,"Kooteney (Canada), Columbia (Canada), Okanagan (Canada)","Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Forestry,"Temperature, Precipitation, Range Shifts, Timber production/Silviculture, Forest Ecology",,,
1/5/2018 9:19:05,MF,Prescribed Fire As a Means of Reducing Forest Carbon Emissions in the Western United States,97,Mitigation,,1-900 m2 (1-30m; Landsat size or smaller),Western US and/or Western US plus Canada,,"Alpine tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert","0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane, 0200 - Upper Columbia, 0300 - Yakima, 0401 - Snake headwaters, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon, 0603 - Clearwater, 0701 - Middle Columbia, 0702 - John Day, 0703 - Deschutes, 0800 - Lower Columbia, 0900 - Willamette, 1002 - Northern Oregon Coastal","Gridded, Points in an observation network (e.g. SNOTEL), polygons the size and shapes of fires","Meteorology and Climatology, Forestry","Wildfire, Forest Ecology, carbon emissions",,,
3/6/2018 19:49:35,SH,Prescribed Fire As a Means of Reducing Forest Carbon Emissions in the Western United States,97,Mitigation,,1-900 m2 (1-30m; Landsat size or smaller),Western US and/or Western US plus Canada,Western United States,Forest: temperate,,"Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data NOT collected specifically for this study","Meteorology and Climatology, Ecology","Wildfire, Carbon Emissions, carbon sequestration",,,
1/5/2018 9:36:31,MF,Growth responses of three coexisting conifer species to climate across wide geographic and climate ranges in Yukon and British Columbia,98,Impacts,"Observed impacts, Climate change implications",Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","50.2354869,-119.9004645",Forest: temperate,Okanagan (Canada),"Gridded, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Geography,"Temperature, Precipitation, Range Shifts, Dendrochronology, Management",,,
2/3/2018 19:01:23,PE,Growth responses of three coexisting conifer species to climate across wide geographic and climate ranges in Yukon and British Columbia,98,Impacts,"Observed impacts, Climate change implications",Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","50.3597927,-121.3000754","Alpine/tundra, Forest: boreal (N of 50 degrees)",Okanagan (Canada),Point data collected specifically for this study,Forestry,"Temperature, Precipitation, Snow, Forest Ecology, Dendrochronology, Management",,,
1/27/2018 15:38:06,MF,Landsliding and Its Multiscale Influence on Mountainscapes,99,None of these or not in the CRB,,,,,,,,,,,,
1/24/2018 12:10:18,PE,Landsliding and Its Multiscale Influence on Mountainscapes,99,None of these or not in the CRB,,,,,,,,,,,,"""Mountains cover roughly 25% of Earth’s terrestrial
surface, yet they harbor a disproportionately large
number of unique species and human cultures (Price and
Butts 2000). Mountains also play an important, albeit poorly
understood, role in hydroclimatic and biogeochemical cycles
that directly or indirectly sustain the livelihood of many people
around the world (Schröter et al. 2005).  Among the
processes that continuously modify mountainscapes, land -
sliding stands out because of its severe and long-lasting negative
effects on natural and human-dominated ecosystems."" and ""There is mounting evidence that the frequency and magnitude
of landsliding is changing in many parts of the world
in response to climate change (Lateltin et al. 1997)."""
2/4/2018 21:13:02,CMC,"Spatial variation of snowmelt and sublimation in a high-elevation semi-desert basin of western Canada
",100,Impacts,Observed impacts,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"Fig 2 includes a long lists of points 50.235909, -119.164288","Grassland: temperate, Forest: temperate",Okanagan (Canada),"Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Geography,"Temperature, Precipitation, Snow, Water quantity, sublimation",,,
1/29/2018 14:12:10,AM,"Connecting phenological predictions with population growth rates for mountain pine beetle, an outbreak insect",101,Impacts,Climate change implications,900m2 - 1km2,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"44.083431,-114.9119987",Forest: temperate,0602 - Salmon,Gridded or polygons,Ecology,"Temperature, Pests and disease, Forest Ecology",,,
2/12/2018 9:05:30,SH,"Connecting phenological predictions with population growth rates for mountain pine beetle, an outbreak insect",101,Impacts,"Projected impacts, Climate change implications",Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"44.2106435,-114.9561151",Forest: temperate,0602 - Salmon,"Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study","Forestry, Ecology","Temperature, Pests and disease, Forest Ecology",,,
