Timestamp,name,title,paper_id,"Is this paper in the Columbia River Basin, and does it primarily address climate change impacts, adaptation, or mitigation?","Does this study make a quantitative estimate of climate change impacts on natural or human systems in the future? (equivalent to ""projected impacts"").","Does this study identify an environmental change or trend and discuss its attribution to  climate change? (equivalent to ""observed impacts."" This requires multiple decades of data.)",In what biome(s) is this research conducted?,What is the spatial extent (size of study area) of data in this paper?,Select at least one option every time. Which HUC 6 watershed(s) did the study take place?,"Enter place name and GPS points if they are easily identifiable (e.g., study includes point data).",What discipline(s) does this study address?,What topic(s) does this study address?,List concerns or uncertainty when coding this paper.,Copy and paste or summarize content related to our research questions.,Copy and paste or summarize content related to research in mountainous environments.,Was new data collected for this study?
6/7/2018 18:56:21,am,rethinking the longitudinal stream temperature paradigm: region-wide comparison of thermal infrared imagery reveals unexpected complexity of river temperatures,363,impacts,no,no,freshwater: streams and rivers,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","0200 - upper columbia, 0601 - lower snake, 0701 - middle columbia, 0702 - john day, 0703 - deschutes, 0800 - lower columbia (southeast mount rainier), 0900 - willamette (hj andrews experimental forest), 1002 - northern oregon coastal",this study includes a case study map with more than 5 study locations over large extent,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, groundwater, water quality, water quantity, aquatic habitat, management",NA,NA,NA,yes
6/19/2018 15:51:35,pe,rethinking the longitudinal stream temperature paradigm: region-wide comparison of thermal infrared imagery reveals unexpected complexity of river temperatures,363,impacts,no,no,freshwater: streams and rivers,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","0200 - upper columbia, 0601 - lower snake, 0701 - middle columbia, 0702 - john day, 0703 - deschutes, 0800 - lower columbia (southeast mount rainier), 0900 - willamette (hj andrews experimental forest), 1002 - northern oregon coastal",this study includes a case study map with more than 5 study locations over large extent,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, groundwater, water quality, water quantity, aquatic habitat, management",NA,NA,NA,yes
5/10/2018 10:53:23,mf,production and nutrient content of two shrub species related to fire in central idaho,364,impacts,no,no,forest: temperate,"100 km2 - 1,500 km2",0602 - salmon (includes bitterroot mt.s),"big creek idaho, 45.1271463,-115.3330342",ecology,"wildfire, timber production/silviculture, forest ecology, soils, foliar nutrients",NA,NA,NA,yes
8/11/2018 6:08:23,cc,production and nutrient content of two shrub species related to fire in central idaho,364,impacts,no,no,forest: temperate,"100 km2 - 1,500 km2",0602 - salmon (includes bitterroot mt.s),"big creek idaho, 45.1271463,-115.3330342",ecology,"wildfire, timber production/silviculture, forest ecology, soils, foliar nutrients",NA,NA,NA,yes
5/16/2018 15:06:50,am,multi-scale environmental filters and niche partitioning govern the distributions of riparian vegetation guilds,365,impacts,no,no,freshwater: streams and rivers,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","0200 - upper columbia, all idaho, all oregon",na/not appropriate for point data,ecology,"temperature, precipitation, river geomorphology and restoration, aquatic habitat, forest ecology, timber production/silviculture",NA,NA,NA,yes
7/9/2018 11:57:06,cc,multi-scale environmental filters and niche partitioning govern the distributions of riparian vegetation guilds,365,impacts,no,no,freshwater: streams and rivers,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","0200 - upper columbia, all idaho, all oregon",na/not appropriate for point data,ecology,"temperature, precipitation, river geomorphology and restoration, aquatic habitat, forest ecology, timber production/silviculture",NA,NA,NA,yes
6/5/2018 18:16:38,am,"adapting transportation to climate change on federal lands in washington state, usa",367,adaptation,yes,no,forest: temperate,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0200 - upper columbia, 0300 - yakima, 0701 - middle columbia",na/not appropriate for point data,policy or management,"temperature, precipitation, pests and disease, wildfire, timber production/silviculture, forest ecology, community resilience (human), management",NA,NA,NA,yes
6/11/2018 13:13:41,sh,"adapting transportation to climate change on federal lands in washington state, usa",367,adaptation,yes,no,forest: temperate,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0200 - upper columbia, 0300 - yakima, 0701 - middle columbia",na/not appropriate for point data,policy or management,"temperature, precipitation, pests and disease, wildfire, timber production/silviculture, forest ecology, community resilience (human), management",NA,NA,NA,yes
6/14/2018 14:54:30,pe,elevation-dependent responses of streamflow to climate warming,368,impacts,no,no,n/a (not biome specific or all biomes - see codebook),"25,000 km2 - 40,000km2 (huc 6 is 27,443 km2)",0602 - salmon (includes bitterroot mt.s),na/not appropriate for point data,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, management",NA,NA,"we expect that streamflow
records from mainstem channels limit our ability to (1)
isolate and map the diversity of precipitation and streamflow
conditions that exist within mountain watersheds, (2) clearly
understand how precipitation phase influences local
streamflow characteristics; and (3) make accurate predictions
of how changes in the snowline elevation will affect
streamflow patterns and water resource availability in
different elevation zones in mountainous topography.",no
6/7/2018 18:59:30,am,elevation-dependent responses of streamflow to climate warming,368,impacts,no,no,n/a (not biome specific or all biomes - see codebook),"25,000 km2 - 40,000km2 (huc 6 is 27,443 km2)",0602 - salmon (includes bitterroot mt.s),na/not appropriate for point data,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, management",NA,NA,NA,no
5/15/2018 12:36:28,am,validation and sensitivity test of the distributed hydrology soil-vegetation model (dhsvm) in a forested mountain watershed,371,impacts,no,no,forest: temperate,1-100 km2 (huc 12 is 100 km2),0103 - spokane (mica cr. exp. watershed),"mica creek experimental watershed; 47.155168,-116.278098",hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, soils, mathematics",climate change connection is pretty weak.,NA,NA,no
7/5/2018 14:34:25,cc,validation and sensitivity test of the distributed hydrology soil-vegetation model (dhsvm) in a forested mountain watershed,371,impacts,no,no,forest: temperate,1-100 km2 (huc 12 is 100 km2),0103 - spokane (mica cr. exp. watershed),"mica creek experimental watershed; 47.155168,-116.278098",hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, soils, mathematics",NA,NA,NA,no
6/11/2018 13:17:14,sh,sensitivity of snowpack storage to precipitation andtemperature using spatial and temporal analog models,372,impacts,yes,no,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, climate oscilations (enso, pdo)",NA,NA,NA,no
6/5/2018 18:19:09,am,sensitivity of snowpack storage to precipitation andtemperature using spatial and temporal analog models,372,impacts,yes,no,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, climate oscilations (enso, pdo)",NA,NA,NA,no
5/7/2018 16:05:24,am,early indicators of change: divergent climate envelopes between tree life stages imply range shifts in the western united states,374,impacts,no,yes,forest: temperate,western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,ecology,"temperature, precipitation, species range shifts, timber production/silviculture, forest ecology",NA,NA,NA,no
5/10/2018 10:59:41,mf,early indicators of change: divergent climate envelopes between tree life stages imply range shifts in the western united states,374,impacts,no,yes,forest: temperate,western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,forestry,"temperature, precipitation, species range shifts, timber production/silviculture, forest ecology",NA,NA,NA,no
5/14/2018 14:30:49,mf,a 100-year conservation experiment: impacts on forest carbon stocks and fluxes,375,mitigation,no,no,forest: temperate,"25,000 km2 - 40,000km2 (huc 6 is 27,443 km2)","kooteney (canada), columbia (canada)","glacier national park of canda; 51.335289,-117.5319482; yoho national park; 51.4666667,-116.585522; kootenay national park; 50.9769367,-115.9613989;","forestry, ecology","wildfire, timber production/silviculture, forest ecology, management, carbon emissions, carbon cycle",NA,NA,NA,no
5/16/2018 16:21:00,am,a 100-year conservation experiment: impacts on forest carbon stocks and fluxes,375,mitigation,no,no,forest: temperate,"25,000 km2 - 40,000km2 (huc 6 is 27,443 km2)","kooteney (canada), columbia (canada)","glacier national park of canda; 51.335289,-117.5319482; yoho national park; 51.4666667,-116.585522; kootenay national park; 50.9769367,-115.9613989;","forestry, ecology","wildfire, timber production/silviculture, forest ecology, management, carbon emissions, carbon cycle",NA,NA,NA,no
5/15/2018 12:40:39,am,"tree growth and climate in the pacific northwest, north america: a broad-scale analysis of changing growth environments",376,impacts,yes,no,forest: temperate,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","all washington, all oregon",na/not appropriate for point data,ecology,"temperature, precipitation, forest ecology, dendrochronology, species range shifts",NA,NA,NA,no
7/5/2018 14:54:12,cc,"tree growth and climate in the pacific northwest, north america: a broad-scale analysis of changing growth environments",376,impacts,yes,no,forest: temperate,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","all washington, all oregon",na/not appropriate for point data,ecology,"temperature, precipitation, forest ecology, dendrochronology, species range shifts",NA,NA,NA,no
5/7/2018 16:12:03,am,"impacts of dams on flow regimes in three headwater subbasins of the columbia river basin, united states",379,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), 0501 - middle snake - boise (reynolds cr. exp. ws., dry cr. exp. ws.)","payette river; 44.0787971,-115.6394286; columbia falls; 48.371128,-114.2093926","hydrology, policy or management","temperature, precipitation, streamflow/stream forecasting, management",NA,NA,NA,no
5/10/2018 11:16:08,mf,"impacts of dams on flow regimes in three headwater subbasins of the columbia river basin, united states",379,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), 0501 - middle snake - boise (reynolds cr. exp. ws., dry cr. exp. ws.)","payette river; 44.0787971,-115.6394286; columbia falls; 48.371128,-114.2093926","hydrology, policy or management","temperature, precipitation, streamflow/stream forecasting, management",NA,NA,NA,no
5/16/2018 16:24:08,am,"factors influencing legacy pollutant accumulation in alpine osprey: biology, topography, or melting glaciers?",380,impacts,no,no,alpine/tundra,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",all in crb canada,na/not appropriate for point data,"environmental chemistry and toxicology, ecology","temperature, precipitation, species range shifts, snow, glaciers, lacustrine systems, terrestrial wildlife, persistent organic pollutants",NA,NA,NA,yes
5/14/2018 14:33:26,mf,"factors influencing legacy pollutant accumulation in alpine osprey: biology, topography, or melting glaciers?",380,impacts,no,no,alpine/tundra,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",all in crb canada,na/not appropriate for point data,"environmental chemistry and toxicology, ecology","temperature, precipitation, species range shifts, snow, glaciers, lacustrine systems, terrestrial wildlife, persistent organic pollutants",NA,NA,NA,yes
6/5/2018 18:23:15,am,modeling lodgepole and jack pine vulnerability to mountain pine beetle expansion into the western canadian boreal forest,382,impacts,yes,yes,forest: temperate,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",all in crb canada,na/not appropriate for point data,ecology,"temperature, precipitation, pests and disease, wildfire, forest ecology, dendrochronology, species range shifts",NA,NA,NA,no
6/11/2018 13:22:17,sh,modeling lodgepole and jack pine vulnerability to mountain pine beetle expansion into the western canadian boreal forest,382,impacts,yes,yes,forest: temperate,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",all in crb canada,na/not appropriate for point data,ecology,"temperature, precipitation, pests and disease, wildfire, forest ecology, dendrochronology, species range shifts",NA,NA,NA,no
6/7/2018 19:30:16,am,a grid-based approach for simulating stream temperature,383,impacts,no,no,freshwater: streams and rivers,"25,000 km2 - 40,000km2 (huc 6 is 27,443 km2)",0602 - salmon (includes bitterroot mt.s),na/not appropriate for point data,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quality, water quantity, soils, management",NA,NA,NA,no
6/14/2018 15:14:09,pe,a grid-based approach for simulating stream temperature,383,impacts,no,no,freshwater: streams and rivers,"25,000 km2 - 40,000km2 (huc 6 is 27,443 km2)",0602 - salmon (includes bitterroot mt.s),na/not appropriate for point data,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quality, water quantity, soils, management",NA,NA,NA,no
5/7/2018 16:25:06,am,survival and population size of a resident bird species are declining as temperature increases,384,impacts,no,yes,forest: temperate,1-100 km2 (huc 12 is 100 km2),0402 - upper snake,"south hills twin falls idaho, 42.5526152,-114.4847676","biology, ecology","temperature, precipitation, terrestrial wildlife, pests and disease, forest ecology, species range shifts",had to estimate location; no map,NA,NA,yes
5/10/2018 11:33:14,mf,survival and population size of a resident bird species are declining as temperature increases,384,impacts,no,yes,forest: temperate,1-100 km2 (huc 12 is 100 km2),0402 - upper snake,"south hills twin falls idaho, 42.5526152,-114.4847676","biology, ecology","temperature, precipitation, terrestrial wildlife, pests and disease, forest ecology, species range shifts",NA,NA,NA,yes
5/16/2018 16:27:20,am,climate change could alter the distribution of mountain pine beetle outbreaks in western canada,385,impacts,yes,no,forest: temperate,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",all in crb canada,this study includes a case study map with more than 5 study locations over large extent,ecology,"temperature, precipitation, pests and disease, species range shifts, forest ecology",NA,NA,NA,no
5/14/2018 14:36:52,mf,climate change could alter the distribution of mountain pine beetle outbreaks in western canada,385,impacts,yes,no,forest: temperate,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",all in crb canada,this study includes a case study map with more than 5 study locations over large extent,ecology,"temperature, precipitation, pests and disease, species range shifts, forest ecology",NA,NA,NA,no
5/15/2018 12:55:19,mf,enhanced sediment delivery in a changing climate in semi-arid mountain basins: implications for water resource management and aquatic habitat in the northern rocky mountains,386,impacts,yes,yes,freshwater: streams and rivers,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0501 - middle snake - boise (reynolds cr. exp. ws., dry cr. exp. ws.), 0502 - middle snake - powder, 0601 - lower snake, 0602 - salmon (includes bitterroot mt.s), 0603 - clearwater (includes bitterroot mt.s)",na/not appropriate for point data,"hydrology, geology","temperature, precipitation, climate oscilations (enso, pdo), streamflow/stream forecasting, river geomorphology and restoration, water quality, soils, management",NA,NA,NA,no
6/8/2018 12:30:51,sh,enhanced sediment delivery in a changing climate in semi-arid mountain basins: implications for water resource management and aquatic habitat in the northern rocky mountains,386,impacts,yes,yes,freshwater: streams and rivers,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0501 - middle snake - boise (reynolds cr. exp. ws., dry cr. exp. ws.), 0502 - middle snake - powder, 0601 - lower snake, 0602 - salmon (includes bitterroot mt.s), 0603 - clearwater (includes bitterroot mt.s)",na/not appropriate for point data,"hydrology, geology","temperature, precipitation, climate oscilations (enso, pdo), streamflow/stream forecasting, river geomorphology and restoration, water quality, soils, management",NA,NA,NA,no
5/15/2018 12:46:11,am,simulations show decreasing carbon stocks and potential for carbon emissions in rocky mountain forests over the next century,387,impacts,yes,yes,forest: temperate,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0101 - kootenai, 0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), 0401 - snake headwaters (yellowstone np and tetons np), all idaho",this study includes a case study map with more than 5 study locations over large extent,ecology,"temperature, precipitation, snow, timber production/silviculture, forest ecology, carbon emissions, carbon cycle",NA,NA,NA,no
7/5/2018 14:41:49,cc,simulations show decreasing carbon stocks and potential for carbon emissions in rocky mountain forests over the next century,387,impacts,yes,yes,forest: temperate,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0101 - kootenai, 0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), 0401 - snake headwaters (yellowstone np and tetons np), all idaho",this study includes a case study map with more than 5 study locations over large extent,ecology,"temperature, precipitation, snow, timber production/silviculture, forest ecology, carbon emissions, carbon cycle",thought about checking mitigation instead of impacts,NA,NA,no
6/7/2018 19:34:26,am,deep groundwater mediates streamflow response to climate warming in the oregon cascades,389,impacts,yes,no,"forest: temperate, freshwater: streams and rivers","1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",0900 - willamette (hj andrews experimental forest),"hj andrews experimental forest; 44.2122196,-122.2574345; mckenzie river at clear lake; 44.3688333,-122.135513",hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, river geomorphology and restoration, groundwater, water quantity",NA,NA,NA,no
6/19/2018 15:58:39,pe,deep groundwater mediates streamflow response to climate warming in the oregon cascades,389,impacts,yes,no,"forest: temperate, freshwater: streams and rivers","1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",0900 - willamette (hj andrews experimental forest),"hj andrews experimental forest; 44.2122196,-122.2574345; mckenzie river at clear lake; 44.3688333,-122.135513",hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, river geomorphology and restoration, groundwater, water quantity",NA,NA,NA,no
5/7/2018 16:28:02,am,spatial patterns of forest characteristics in the western united states derived from inventories,390,impacts,no,no,forest: temperate,western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,"meteorology and climatology, forestry","temperature, precipitation, timber production/silviculture, forest ecology, carbon cycle",NA,NA,NA,no
5/10/2018 11:41:27,mf,spatial patterns of forest characteristics in the western united states derived from inventories,390,impacts,no,no,forest: temperate,western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,"meteorology and climatology, forestry","temperature, precipitation, timber production/silviculture, forest ecology, carbon cycle",NA,NA,NA,no
5/17/2018 13:28:27,am,"significance of trends toward earlier snowmelt runoff, columbia and missouri basin headwaters, western united states",391,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)",all idaho,na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, climate oscilations (enso, pdo)",NA,NA,NA,no
2018-07-11T15:27:34Z,sh,"significance of trends toward earlier snowmelt runoff, columbia and missouri basin headwaters, western united states",391,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)",all idaho,na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, climate oscilations (enso, pdo)",NA,NA,NA,no
2018-07-12T15:16:11Z,am,"significance of trends toward earlier snowmelt runoff, columbia and missouri basin headwaters, western united states",391,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)",all idaho,na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, climate oscilations (enso, pdo)",NA,NA,NA,no
5/15/2018 12:48:43,am,the structure of genetic diversity in engelmann spruce and a comparison with blue spruce,392,impacts,no,no,forest: temperate,western us and/or western us plus canada,"all crb, both us and canada (if this is selected then do not select the states as well)",na/not appropriate for point data,"biology, ecology","temperature, precipitation, species range shifts, forest ecology",NA,NA,NA,yes
7/5/2018 14:38:01,cc,the structure of genetic diversity in engelmann spruce and a comparison with blue spruce,392,impacts,no,no,forest: temperate,western us and/or western us plus canada,"all crb, both us and canada (if this is selected then do not select the states as well)",na/not appropriate for point data,"biology, ecology","temperature, precipitation, species range shifts, forest ecology",engelman spruce habitat,NA,NA,yes
6/11/2018 13:27:19,sh,development of scale-free climate data for western canada for use in resource management,393,impacts,yes,no,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,all in crb canada,na/not appropriate for point data,meteorology and climatology,"temperature, precipitation, snow, climate oscilations (enso, pdo), streamflow/stream forecasting, water quality, water quantity, aquatic habitat, species range shifts",NA,NA,NA,no
6/5/2018 18:26:13,am,development of scale-free climate data for western canada for use in resource management,393,impacts,yes,no,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,all in crb canada,na/not appropriate for point data,meteorology and climatology,"temperature, precipitation, snow, climate oscilations (enso, pdo), streamflow/stream forecasting, water quality, water quantity, aquatic habitat, species range shifts",NA,NA,NA,no
6/14/2018 15:21:35,pe,downscaling simulations of future global climate with application to hydrologic modelling,394,impacts,yes,no,n/a (not biome specific or all biomes - see codebook),"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",0300 - yakima,na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, groundwater, water quantity, mathematics",NA,NA,NA,no
6/7/2018 19:37:24,am,downscaling simulations of future global climate with application to hydrologic modelling,394,impacts,yes,no,n/a (not biome specific or all biomes - see codebook),"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",0300 - yakima,na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, groundwater, water quantity, mathematics",NA,NA,NA,no
5/9/2018 21:00:14,mf,genetic consequences of forest population dynamics influenced by historic climatic variability in the western usa,395,impacts,no,yes,forest: temperate,western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,ecology,"temperature, precipitation, snow, climate oscilations (enso, pdo), species invasion, species range shifts, forest ecology, management",NA,NA,NA,no
6/18/2018 11:22:38,pe,genetic consequences of forest population dynamics influenced by historic climatic variability in the western usa,395,impacts,no,yes,forest: temperate,western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,ecology,"temperature, precipitation, snow, climate oscilations (enso, pdo), species invasion, species range shifts, forest ecology, management",NA,NA,NA,no
5/8/2018 10:38:12,am,mid-century ensemble regional climate change scenarios for the western united states,396,impacts,yes,no,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,"all crb, both us and canada (if this is selected then do not select the states as well)",na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity",NA,NA,NA,no
5/10/2018 11:46:53,mf,mid-century ensemble regional climate change scenarios for the western united states,396,impacts,yes,no,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,"all crb, both us and canada (if this is selected then do not select the states as well)",na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity",NA,NA,NA,no
5/17/2018 13:30:50,am,climate change and the outbreak ranges of two north american bark beetles,397,impacts,yes,no,forest: temperate,western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,ecology,"temperature, precipitation, pests and disease, species range shifts, entomology, forest ecology",NA,NA,NA,no
5/14/2018 15:31:14,mf,climate change and the outbreak ranges of two north american bark beetles,397,impacts,yes,no,forest: temperate,western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,ecology,"temperature, precipitation, pests and disease, species range shifts, entomology, forest ecology",NA,NA,NA,no
5/15/2018 12:53:49,am,"assessment of climate change and freshwater ecosystems of the rocky mountains, usa and canada",398,impacts,no,no,"freshwater: ponds and lakes, freshwater: wetlands, freshwater: streams and rivers",western us and/or western us plus canada,all basins in the rocky mountains (including canada),na/not appropriate for point data,hydrology,"temperature, precipitation, snow, glaciers, climate oscilations (enso, pdo), streamflow/stream forecasting, lacustrine systems, river geomorphology and restoration, groundwater, water quality, water quantity, salmon/anadromous fish, non-anadromous fish, aquatic habitat",NA,NA,could be a good summary of projected climate change impacts on freshwater.,no
7/5/2018 14:13:59,cc,"assessment of climate change and freshwater ecosystems of the rocky mountains, usa and canada",398,impacts,no,no,"freshwater: ponds and lakes, freshwater: wetlands, freshwater: streams and rivers",western us and/or western us plus canada,all basins in the rocky mountains (including canada),na/not appropriate for point data,hydrology,"temperature, precipitation, snow, glaciers, climate oscilations (enso, pdo), streamflow/stream forecasting, lacustrine systems, river geomorphology and restoration, groundwater, water quality, water quantity, salmon/anadromous fish, non-anadromous fish, aquatic habitat",review paper; climate and hydrology in the rocky mountains.,NA,NA,no
6/5/2018 18:29:44,am,snowmelt rate dictates streamflow,399,impacts,no,no,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,"0101 - kootenai, 0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), 0103 - spokane, 0200 - upper columbia, 0300 - yakima, 0401 - snake headwaters (yellowstone np and tetons np), 0703 - deschutes, 0800 - lower columbia (southeast mount rainier), 0900 - willamette (hj andrews experimental forest)",na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, climate oscilations (enso, pdo), streamflow/stream forecasting",NA,NA,NA,no
6/11/2018 13:30:11,sh,snowmelt rate dictates streamflow,399,impacts,no,no,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,"0101 - kootenai, 0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), 0103 - spokane, 0200 - upper columbia, 0300 - yakima, 0401 - snake headwaters (yellowstone np and tetons np), 0703 - deschutes, 0800 - lower columbia (southeast mount rainier), 0900 - willamette (hj andrews experimental forest)",na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, climate oscilations (enso, pdo), streamflow/stream forecasting",NA,NA,NA,no
6/8/2018 8:41:03,am,scientific knowledge and knowledge needs in climate adaptation policy,400,adaptation,no,no,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)",all washington,na/not appropriate for point data,policy or management,"attitudes and beliefs, policy, management",NA,"this paper is very likely one to include in introduction/discussion - they do raise the question of what knowledge production paradigms best allow for adaptation - i don't know that our methods really take us there, but it would be worth thinking about whether we're able to say anything about that.",NA,no
6/14/2018 15:25:50,pe,scientific knowledge and knowledge needs in climate adaptation policy,400,adaptation,no,no,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)",all washington,na/not appropriate for point data,policy or management,"attitudes and beliefs, policy, management",NA,NA,"""mountain ecosystems around the world are recognized to be among the most vulnerable to the impacts of climate change. the need to develop sound adaptation strategies in these areas is growing. knowledge from the natural sciences has an important role to play in the development of adaptation strategies. however, the extent of and gaps in such knowledge have not been systematically investigated for mountain areas. ""  "" finally, in recognition of the trans- and interdisciplinary nature of climate change adaptation, we raise the question of which knowledge production paradigms are best able to deliver sustainable adaptations to growing environmental stressors in mountain regions.""",no
6/11/2018 14:48:44,sh,scientific knowledge and knowledge needs in climate adaptation policy,400,adaptation,no,no,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)",all washington,na/not appropriate for point data,policy or management,"attitudes and beliefs, policy, management",NA,NA,NA,no
5/8/2018 10:43:01,am,recent bark beetle outbreaks have little impact on streamflow in the western united states,401,impacts,no,no,forest: temperate,western us and/or western us plus canada,"0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), 0103 - spokane, 0200 - upper columbia, 0300 - yakima, 0401 - snake headwaters (yellowstone np and tetons np), 0602 - salmon (includes bitterroot mt.s), 0603 - clearwater (includes bitterroot mt.s), 0900 - willamette (hj andrews experimental forest)","this study includes a case study map with more than 5 study locations over large extent, na/not appropriate for point data","hydrology, ecology","temperature, precipitation, streamflow/stream forecasting, water quantity, pests and disease, forest ecology",NA,NA,NA,no
