reviewer,title,paper_id,inclusion_IAM,impacts,resolution,extent,location,biome,huc6,data_type,discipline,topic,concerns,notes1,notes2
cmc,"evidence of climate-induced range contractions in bull trout salvelinus conflentus in a rocky mountain watershed, u.s.a",175,impacts,"observed impacts, climate change implications",point or plot scale,500 km2 - 1500 km2 (huc 10 is 587 km2),"45.825158, -113.981747",freshwater: streams and rivers,0102 - pend oreille,"gridded or polygons, points in an observation network (e.g. snotel), point data collected specifically for this study",biology,"temperature, snow, water quality, non-anadromous fish, aquatic habitat, range shifts, streamflow/stream forecasting","****i think this study might be just out of the basin. our objective was to compare site-scale abandonment and colonization probabilities to determine whether they differed and if they were associated with landscape features such as wildfire occurrence and severity, habitat attributes including gradient, width, large wood, temperature, and elevation, and biotic variables such as proximity to strongholds of migratory adults and brook trout presence.","the northern rocky mountains, u.s.a. is undergoing climatemediated shifts e.g., reduced annual snowpack, earlier annual peak snowmelt, and winter precipitation switching from snow to rain, that are contributing to changes in hydrologic and thermal regimes [12], [13], [14]. summer water temperatures have increased up to 0.3uc/decade [15] and summer base flows are declining [16].",NA
am,"hydrologic landscape classification evaluates streamflow vulnerability to climate change in oregon, usa",176,impacts,projected impacts,900m2 - 1km2,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)",oregon,freshwater: streams and rivers,"0200 - upper columbia, 0501 - middle snake - boise, 0502 - middle snake - powder, 0601 - lower snake, 0701 - middle columbia, 0702 - john day, 0703 - deschutes, 0900 - willamette","gridded or polygons, points in an observation network (e.g. snotel)",hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, salmon, aquatic habitat, geology",NA,NA,NA
cmc,"determinants of moth diversity and community in a temperate mountain landscape: vegetation, topography, and seasonality",178,impacts,climate change implications,point or plot scale,100 km2 - 500 km2 (huc 12 is 100 km2),"44.230320, -122.179438",forest: temperate,0900 - willamette,"points in an observation network (e.g. snotel), point data collected specifically for this study",ecology,"temperature, precipitation, terrestrial wildlife, range shifts, forest ecology, snow, streamflow/stream forecasting, management",NA,NA,"high-elevation communities are threatened by contraction of montane meadows and climate change which, given the variability in high-elevation communities, could severely impact the biological diversity of the western cascades landscape"
cmc,the uneven response of different snow measures to human-induced climate warming,179,impacts,"observed impacts, projected impacts, climate change implications",1/8x1/8 degree over the western us,western us and/or western us plus canada,western united states,n/a (not biome specific or all biomes - see codebook),all in crb u.s.,gridded or polygons,meteorology and climatology,"temperature, precipitation, snow, water quantity",NA,relevant broad overview for our work as it is focused on mountain climate across the western us,"we regionally average the snow data into the eight mountain ranges shown in fig. 1. in mountainous regions, different locations can have very different climatological snow accumulation"
am,"glacier change in western north america: influences on hydrology, geomorphic hazards and water quality",18,impacts,"observed impacts, climate change implications",point or plot scale,western us and/or western us plus canada,western united states,alpine tundra,"all crb, both us and canada","points in an observation network (e.g. snotel), review",hydrology,"temperature, precipitation, glaciers, streamflow/stream forecasting, water quality, water quantity, aquatic habitat, geomorphic hazards",NA,NA,NA
mf,tree species selection revisited for plantations in the interior cedar hemlock zone of southern british columbia,180,adaptation,climate change implications,point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)",british columbia,forest: temperate,columbia (canada),point data collected specifically for this study,forestry,"pests and disease, range shifts, timber production/silviculture, forest ecology, management",NA,NA,NA
am,influence of spatial temperature estimation method in ecohydrologic modeling in the western oregon cascades,181,impacts,climate change implications,point or plot scale,>10km2 - 100km2 (smaller than huc 12),hj andrew experimental forest,forest: temperate,0900 - willamette,"gridded or polygons, points in an observation network (e.g. snotel)",geography,"temperature, streamflow/stream forecasting, water quantity, forest ecology, carbon emissions",NA,NA,NA
cmc,"climate change or climate cycles? snowpack trends in the olympic and cascade mountains, washington, usa",182,impacts,"observed impacts, climate change implications",point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","washington, oregon","alpine/tundra, forest: temperate","0200 - upper columbia, 0300 - yakima, 0701 - middle columbia, 0702 - john day, 0703 - deschutes","gridded or polygons, points in an observation network (e.g. snotel)",hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, management","we used intervention analysis to determine whether snow water equivalent (swe) in 25 long-term snow courses within the olympic and cascade
mountains are more accurately described by ols (to represent gradual change), stationary (to represent no change), or step-stationary (to represent climate cycling) models.","there are 95 official nrcs snow courses in washington; 25 of these are located in the western side of the state (i.e., the olympic or cascade mountains) that have been sampled annually for the 1 april reporting date for at least 40 years and have a period of record that extends at least up until the mid-2000s or later. mostly outside of basin.",NA
am,multi-scale drivers of spatial variation in old-growth forest carbon density disentangled with lidar and an individual-based landscape model,183,mitigation,NA,point or plot scale,>10km2 - 100km2 (smaller than huc 12),"44.2331797,-122.1936856",forest: temperate,0900 - willamette,"gridded or polygons, point data not collected specifically for this study, points in an observation network (e.g. snotel)","forestry, ecology","forest ecology, carbon emissions, carbon cycling; biogeochemistry",NA,NA,NA
am,climate and weather influences on spatial temporal patterns of mountain pine beetle populations in washington and oregon,184,impacts,climate change implications,900m2 - 1km2,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","washington, oregon",forest: temperate,"0103 - spokane, 0200 - upper columbia, 0300 - yakima, 0501 - middle snake - boise, 0502 - middle snake - powder, 0601 - lower snake, 0701 - middle columbia, 0702 - john day, 0703 - deschutes, 0800 - lower columbia, 0900 - willamette",gridded or polygons,ecology,"temperature, precipitation, pests and disease, range shifts, timber production/silviculture, forest ecology, management",NA,NA,NA
am,projecting future distributions of ecosystem climate niches: uncertainties and management applications,185,impacts,"projected impacts, climate change implications",1-900 m2 (1-30m; landsat size or smaller),"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",british columbia,"alpine/tundra, grassland: temperate, forest: temperate, forest: boreal (n of 50 degrees), freshwater: ponds and lakes, freshwater: wetlands, freshwater: streams and rivers",all in crb canada,gridded or polygons,forestry,"temperature, precipitation, snow, glaciers, streamflow/stream forecasting, terrestrial wildlife, range shifts, timber production/silviculture, community resilience (human), attitudes and beliefs, policy, management",NA,NA,NA
cmc,climate effects on red alder growth in the pacific northwest of north america,186,impacts,climate change implications; projected impacts,point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","washington, oregon",forest: temperate,"0200 - upper columbia, 0300 - yakima, 0701 - middle columbia, 0702 - john day, 0703 - deschutes, 0800 - lower columbia, 0900 - willamette","points in an observation network (e.g. snotel), point data collected specifically for this study, point data not collected specifically for this study, gcms",ecology,"temperature, precipitation, snow, range shifts, timber production/silviculture, forest ecology, management",NA,NA,NA
am,spatial genetic structure of the mountain pine beetle (dendroctonus ponderosae) outbreak in western canada: historical patterns and contemporary dispersal,187,impacts,observed impacts,point or plot scale,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",british columbia,forest: temperate,all in crb canada,point data collected specifically for this study,ecology,"temperature, precipitation,pests and disease, timber production/silviculture, forest ecology, genetic diversity, range shifts",NA,NA,NA
cmc,"climate change impacts on spatial patterns in drought risk in the willamette river basin, oregon, usa",188,impacts,"observed impacts, climate change implications",point or plot scale,1500 km2 - 25000 km2 (huc 8 is 1800 km2; latah county is 2800 km2),"oregon, 44.770073, -122.843332",n/a (not biome specific or all biomes - see codebook),0900 - willamette,"gridded or polygons, points in an observation network (e.g. snotel), point data not collected specifically for this study",meteorology and climatology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, agriculture","will climate change affect drought frequency in the wrb, and which regions are most vulnerable to these changes?; (2) are there any persistent spatial patterns of drought risk that are evident under different gcms, ghg emission scenarios, and drought indices?; (3) what is responsible for the disagreement in spatial patterns of drought?",NA,NA
am,what explains landscape patterns of tree mortality caused by bark beetle outbreaks in greater yellowstone?,189,impacts,climate change implications,point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","44.644303,-110.8598077",forest: temperate,0401 - snake headwaters,"gridded or polygons, point data collected specifically for this study",ecology,"pests and disease, timber production/silviculture, forest ecology, soils, topography",NA,NA,NA
am,grace storage-runoff hystereses reveal the dynamics of regional watersheds,19,impacts,climate change implications,1500 km2 - 25000 km2 (huc 8 is 1800 km2; latah county is 2800 km2; 1 degree by 1 degree is also in this category),"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",columbia river basin,n/a (not biome specific or all biomes - see codebook),"all crb, both us and canada","gridded, points in an observation network (e.g. snotel)",hydrology,"precipitation, snow, streamflow/stream forecasting, groundwater, water quantity",NA,NA,NA
cmc,"simulating the effects of climate change on population connectivity of american marten (martes americana) in the northern rocky mountains, usa",190,impacts,projected impacts,point or plot scale,1500 km2 - 25000 km2 (huc 8 is 1800 km2; latah county is 2800 km2),"the study area includes approximately 5500 km2 in northern idaho, northeastern washington and northwestern montana, as well as southern british columbia",forest: temperate,"0101 - kootenai, 0102 - pend oreille, kooteney (canada)",gridded,biology,"temperature, precipitation, snow, terrestrial wildlife, range shifts, forest ecology","the goal of this study is to predict the effects of future climate change on population connectivity and genetic characteristics of an american marten population in the u.s. northern rocky mountains. we evaluate: (1) changes in the extent, connectivity and pattern of marten habitat, (2) changes in allelic richness and expected heterozygosity, and (3) changes in the range of signiﬁcant positive genetic correlation within the northern idaho marten population under each future scenario.",there has been a proliferation in research about the potential effects of climate change on range shifts and population connectivity,"wasserman et al. (2010) found that gene ﬂow in american marten in northern idaho is primarily related to elevation, and that alternative hypotheses involving isolation by distance, geographical barriers, effects of canopy closure, roads, tree size class and an empirical habitat model are not supported"
am,"root architecture of riparian trees: river cut-banks provide natural hydraulic excavation, revealing that cottonwoods are facultative phreatophytes",191,impacts,climate change implications,point or plot scale,point or plot scale,"49.56166667, -114.98583333",forest: temperate,kooteney (canada),point data collected specifically for this study,ecology,"temperature, precipitation, streamflow/stream forecasting, groundwater, water quantity, forest ecology, riparian forest",a little unsure about extent; only one point in crb but quite a few outside used for comparison.,NA,NA
cmc,seasonal versus transient snow and the elevation dependence of climate sensitivity in maritime mountainous regions,193,impacts,observed impacts,point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","washington, oregon",n/a (not biome specific or all biomes - see codebook),0900 - willamette,"gridded or polygons, points in an observation network (e.g. snotel)",geography,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, seasonal differences","mostly west of the cascades. the 29 study watersheds, showing the distribution of rain‐, transient snow‐, and seasonal snow‐dominated zones, delineated from snotel and literature‐based values","in maritime mountainous regions, the phase of winter precipitation is elevation dependent, and in watersheds receiving both rain and snow, hydrologic impacts of climate change are less straightforward than in snowmelt‐dominated systems.","here, 29 pacific northwest watersheds illustrate how distribution of seasonal snow, transient snow, and winter rain mediates sensitivity to 20th century warming. watersheds with >50% of their area in the seasonal snow zone had significant (a ≤ 0.1) trends towards greater winter and lower summer discharge, while lower elevations had no consistent trends."
am,"investigating the influence of climate, site, location, and treatment factors on damage to young lodgepole pine in southern british columbia",195,impacts,climate change implications,point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)",british columbia,forest: temperate,"kooteney (canada), columbia (canada), okanagan (canada)","gridded, points in an observation network (e.g. snotel), point data collected specifically for this study",forestry,"temperature, precipitation, pests and disease, forest ecology, attitudes and beliefs",NA,NA,NA
am,isolation and introgression in the intermountain west: contrasting gene genealogies reveal the complex biogeographic history of the american pika (ochotona princeps),198,impacts,climate change implications,point or plot scale,western us and/or western us plus canada,western united states,alpine tundra,all in crb u.s.,point data not collected specifically for this study,ecology,"temperature, terrestrial wildlife, range shifts, population ecology",NA,NA,NA
mf,spatial variations of effective moisture in the western united states,199,impacts,observed impacts,point or plot scale,western us and/or western us plus canada,western united states,n/a (not biome specific or all biomes - see codebook),all in crb u.s.,points in an observation network (e.g. snotel),meteorology and climatology,"temperature, precipitation, geography, spatial analysis",NA,NA,NA
am,evaluating the temperature sensitivity of radial growth patterns from whitebark pine in the western canadian cordillera,2,impacts,"observed impacts, climate change implications",point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)",british columbia,forest: temperate,"0101 - kootenai, kooteney (canada), columbia (canada)","points in an observation network (e.g. snotel), point data collected specifically for this study",forestry,"temperature, pests and disease, forest ecology, dendrochronology",NA,NA,NA
am,"climate change, water rights, and water supply: the case of irrigated agriculture in idaho",20,impacts,"projected impacts, climate change implications",point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)",idaho,grassland: temperate,"0101 - kootenai, 0102 - pend oreille, 0401 - snake headwaters, 0402 - upper snake, 0501 - middle snake - boise, 0502 - middle snake - powder, 0601 - lower snake, 0602 - salmon, 0603 - clearwater","gridded or polygons, points in an observation network (e.g. snotel), secondary social data (e.g., census data, existing survey data), policy data",economics,"temperature, precipitation, streamflow/stream forecasting, agriculture, policy, management, water quantity",not clear that this is really about mountainous areas.,NA,NA
dh,climate-streamflow linkages in the north-central rocky mountains: implications for a changing climate,200,impacts,"projected impacts, climate change implications",point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","42.5386707,-113.8209769","alpine/tundra, grassland: temperate, freshwater: wetlands, freshwater: streams and rivers","0401 - snake headwaters, 0402 - upper snake, 0501 - middle snake - boise, 0502 - middle snake - powder, 0601 - lower snake","gridded, points in an observation network (e.g. snotel), point data collected specifically for this study, point data not collected specifically for this study","meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, groundwater, water quality, water quantity, management, forest ecology, dendrochronology","pin pointing the snake river is tough. i put it in burley, id",NA,NA
cmc,"climate and wildﬁre area burned in western u.s. ecoprovinces, 1916–2003
",201,impacts,"observed impacts, climate change implications",point or plot scale,NA,western united states,forest: temperate,all in crb u.s.,"gridded or polygons, points in an observation network (e.g. snotel)",meteorology and climatology,"temperature, precipitation, snow, wildfire",NA,the impacts of climate change on ﬁre regimes will therefore vary with the relative energy or water limitations of ecosystems.* previous research has frequently focused on the relatively short-term timescale of atmospheric events related to area burned by ﬁres,NA
mf,the effects of topography on forest soil characteristics in the oregon cascade mountains (usa): implications for the effects of climate change on soil properties,204,impacts,climate change implications,point or plot scale,>10km2 - 100km2 (smaller than huc 12),"44.181651,-122.2774021",forest: temperate,0900 - willamette,point data collected specifically for this study,forestry,"temperature, forest ecology, soils, management",NA,NA,NA
cmc,attribution of declining western u.s. snowpack to human effects,205,impacts,observed impacts,point or plot scale,western us and/or western us plus canada,western united states,n/a (not biome specific or all biomes - see codebook),all in crb u.s.,"gridded, points in an observation network (e.g. snotel), point data collected specifically for this study, point data not collected specifically for this study, policy data",meteorology and climatology,"temperature, precipitation, snow, water quantity","in short, temperature fluctuations have a larger effect in the warmer elevations near the freezing level, while changes in precipitation become more important at higher elevations where winter temperatures are far below freezing. in this work we focus on whether there is a detectable temperature-driven effect on western u.s. snowpack.",NA,"or the bands could be weighted by the amount of area they represent in the mountainous regions of the western united states, which would be a more traditional d–a approach since agreement or disagreement in a small fraction of the area (i.e., at high elevations)is less important than agreement or disagreement over a broad area. interesting section on methods for dealing with elevation effects."
am,phylogeography of iris missouriensis (iridaceae) based on nuclear and chloroplast markers,208,impacts,"observed impacts, climate change implications",point or plot scale,western us and/or western us plus canada,western united states,"grassland: temperate, forest: temperate","0102 - pend oreille, 0103 - spokane, 0300 - yakima, 0402 - upper snake, 0502 - middle snake - powder, 0701 - middle columbia, 0703 - deschutes","points in an observation network (e.g. snotel), point data not collected specifically for this study","biology, ecology","population ecology, range shifts, botany",this is on population genetics of iris species; not very well suited to our form.,NA,NA
mf,invasive pathogens at alpine treeline: consequences for treeline dynamics,209,impacts,climate change implications,point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","50.9769401,-115.9613989",forest: temperate,"kooteney (canada), columbia (canada)","point data collected specifically for this study, review",forestry,"temperature, precipitation, pests and disease, range shifts, timber production/silviculture, forest ecology",NA,NA,NA
cmc,"natural and anthropogenic inﬂuences on the scaling of discharge with drainage area for multiple watersheds
",210,impacts,climate change implications,point or plot scale,continental us,"john day, salmon, yellowstone",n/a (not biome specific or all biomes - see codebook),"0602 - salmon, 0702 - john day",points in an observation network (e.g. snotel),hydrology,"streamflow/stream forecasting, land use","continental us: five large main-stem rivers with a minimum of 60 years of continuous discharge records are selected to represent a wide geographic area spanning different drainage areas, land 
use, climate, and topography (fig. 1). the trunk channels of these rivers are undammed (figs. 2–6), with the exception of the wabash river, which has a dam located in the far upstream reach so that the trunk channel operates essentially dam free---also, i think the only reason that this paper made the corpus is because 'mountain' appears in reference list several times.",NA,NA
am,a projection of the effects of the climate change induced by increased co2 on extreme hydrologic events in the western us,214,impacts,projected impacts,500 km2 - 1500 km2 (huc 10 is 587 km2),western us and/or western us plus canada,western united states,"alpine/tundra, grassland: temperate, forest: temperate, desert: semi-arid desert",all in crb u.s.,"gridded or polygons, points in an observation network (e.g. snotel)","meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity",NA,NA,NA
cmc,"hydrologic regimes of forested, mountainous, headwater basins in new hampshire, north carolina, oregon, and puerto rico",216,impacts,climate change implications,point or plot scale,continental us. compares mountainous headwater streams across lter,"44.12, -122.12",forest: temperate,0900 - willamette,"points in an observation network (e.g. snotel), point data not collected specifically for this study",hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, groundwater, forest ecology, soils",NA,study to consult for more details about hj andrews,NA
mf,"twentieth-century fire patterns in the selway-bitterroot wilderness area, idaho/montana, and the gila/aldo leopold wilderness complex, new mexico",219,impacts,climate change implications,point or plot scale,100 km2 - 500 km2 (huc 12 is 100 km2),"45.8632713,-115.6931353","grassland: temperate, forest: temperate","0102 - pend oreille, 0602 - salmon, 0603 - clearwater","gridded, points in an observation network (e.g. snotel), point data collected specifically for this study, polygons (fires)",ecology,"wildfire, forest ecology, management",NA,NA,NA
am,radiative forcing of natural forest disturbances,22,impacts,climate change implications,"point or plot scale, 900m2 - 1km2",900m2 - 1km2,"43.93,-122.0401514",forest: temperate,0703 - deschutes,"gridded, point data not collected specifically for this study","forestry, biology","pests and disease, wildfire, timber production/silviculture, soils, carbon emissions, forest ecology, climate feedbacks",NA,NA,NA
dh,water resources implications of global warming: a us regional perspective,220,impacts,projected impacts,500 km2 - 1500 km2 (huc 10 is 587 km2),"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",columbia river basin,"alpine/tundra, grassland: temperate, forest: temperate, forest: boreal (n of 50 degrees), desert: semi-arid desert, freshwater: ponds and lakes, freshwater: wetlands, freshwater: streams and rivers","all crb, both us and canada","gridded or polygons, secondary social data (e.g., census data, existing survey data), policy data",hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, lacustrine systems, river geomorphology and restoration, groundwater, water quality, water quantity, salmon, non-anadromous fish, aquatic habitat, forest ecology, agriculture, community resilience (human), attitudes and beliefs, soils, policy, management",NA,NA,NA
am,effects of climate on radial growth of sub-alpine conifers in the north cascade mountains,221,impacts,climate change implications,point or plot scale,>1km2 - 10km2 (city of moscow is 2.6 km2),"48.7205407,-120.6785488",n/a (not biome specific or all biomes - see codebook),0200 - upper columbia,"points in an observation network (e.g. snotel), point data collected specifically for this study",forestry,"temperature, precipitation, snow, forest ecology, dendrochronology",NA,NA,NA
mf,landscape-level analysis of mountain goat population connectivity in washington and southern british columbia,223,impacts,climate change implications,point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","49.3448981,-119.5802477; 9.9500129,-117.3887548; 48.7174013,-121.4258917; 48.3600134,-121.0662548","alpine/tundra, grassland: temperate, forest: temperate","0200 - upper columbia, 0300 - yakima, kooteney (canada), okanagan (canada)","gridded or polygons, point data collected specifically for this study",ecology,"terrestrial wildlife, range shifts, forest ecology, fragmentation",NA,NA,NA
cmc,a coupled hierarchical modeling approach to simulating the geomorphic response of river systems to anthropogenic climate change,224,impacts,projected impacts,point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","washington, idaho, 46.453357, -117.926260; 47.507832, -115.991089; 45°45'06.1""n 115°16'55.7""; 45.751699, -115.282132",freshwater: streams and rivers,"0103 - spokane, 0601 - lower snake, 0603 - clearwater","gridded or polygons, points in an observation network (e.g. snotel), point data collected specifically for this study, point data not collected specifically for this study",geography,"temperature, precipitation, snow, streamflow/stream forecasting, river geomorphology and restoration","this paper describes the development and application of
a hierarchical modeling approach to investigate potential
climate-change impacts on the geomorphology of three
snowmelt-dominated rivers in the interior pacific northwest. --however, this study
does not explicitly account for climate-change impacts on
terrestrial sediment supply, and it should therefore be viewed
as a first step toward better understanding geomorphic implications
of climate change, with a focus on in-channel processes","there is little existing research,
however, on how future climate change is likely to affect
sediment transport and river morphology at the reach scale,
because of the difficulty in bridging the scales between global
climate change and highly local geomorphic processes, as well
in detecting a signal from relatively near-term climate change
on slow-responding geomorphic variables (castelltort and van
den driessche, 2003)",NA
pe,local variability mediates vulnerability of trout populations to land use and climate change,225,impacts,"projected impacts, climate change implications",NA,NA,NA,freshwater: streams and rivers,0702 - john day,NA,"hydrology, forestry, ecology","precipitation, streamflow/stream forecasting, water quality, non-anadromous fish, aquatic habitat, timber production/silviculture",the trask watershed is on the coast,NA,NA
am,"summer stream temperatures influence sculpin distributions and spatial partitioning in the upper clark fork river basin, montana",226,impacts,climate change implications,point or plot scale,1500 km2 - 25000 km2 (huc 8 is 1800 km2; latah county is 2800 km2),"46.857181,-114.1037187",freshwater: streams and rivers,0102 - pend oreille,"gridded or polygons, point data collected specifically for this study",ecology,"temperature, water quality, water quantity, non-anadromous fish, aquatic habitat",NA,NA,NA
dh,genetic diversity is related to climatic variation and vulnerability in threatened bull trout,227,impacts,"observed impacts, climate change implications",point or plot scale,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",columbia river basin,freshwater: streams and rivers,"all crb, both us and canada","points in an observation network (e.g. snotel), point data collected specifically for this study",ecology,"temperature, precipitation, snow, streamflow/stream forecasting, groundwater, water quality, water quantity, non-anadromous fish, aquatic habitat, timber production/silviculture, community resilience (human), management",NA,NA,NA
am,geographically variable response of dendroctonus ponderosae to winter warming in the western united states,228,impacts,"observed impacts, climate change implications",not stated explicitly; use usfs aerial detection survey,western us and/or western us plus canada,western united states,forest: temperate,all in crb u.s.,"gridded or polygons, points in an observation network (e.g. snotel), point data not collected specifically for this study","forestry, ecology","temperature, pests and disease, forest ecology",NA,NA,NA
mf,projected deglaciation of western canada in the twenty-first century,229,impacts,projected impacts,1-900 m2 (1-30m; landsat size or smaller),1500 km2 - 25000 km2 (huc 8 is 1800 km2; latah county is 2800 km2),british columbia,alpine tundra,all in crb canada,gridded or polygons,"meteorology and climatology, hydrology","temperature, precipitation, glaciers, sea level rise",NA,NA,NA
am,disruption of the 'disease triangle' by chemical and physical environmental change,23,impacts,"projected impacts, climate change implications",no data,no data,western united states,forest: temperate,"all crb, both us and canada",no data (example: conceptual modeling only),biology,"temperature, precipitation, streamflow/stream forecasting, pests and disease, community resilience (human), attitudes and beliefs, forest ecology",not sure such a conceptual paper really counts as being in the crb.,NA,NA
cmc,"a spatiotemporal pattern analysis of potential mountain pine beetle emergence in british columbia, canada",230,impacts,climate change implications,900m2 - 1km2,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)",british columbia,forest: temperate,all in crb canada,gridded or polygons,ecology,"temperature, precipitation, pests and disease, forest ecology",NA,NA,NA
pe,"cascading effects of feedbacks, disease, and climate change on alpine treeline dynamics",231,impacts,"projected impacts, climate change implications",point or plot scale,northern rocky mountains,northern rocky mountains,alpine tundra,"0101 - kootenai, 0102 - pend oreille, 0103 - spokane, 0401 - snake headwaters, 0402 - upper snake, 0602 - salmon, 0603 - clearwater, kooteney (canada), columbia (canada)",no data (example: conceptual modeling only),forestry,"pests and disease, forest ecology, management",agent based model,NA,NA
am,phenology and density-dependent dispersal predict patterns of mountain pine beetle (dendroctonus ponderosae) impact,234,impacts,climate change implications,point or plot scale,1500 km2 - 25000 km2 (huc 8 is 1800 km2; latah county is 2800 km2),"43.7873341,-114.4233269",forest: temperate,"0200 - upper columbia, 0402 - upper snake","gridded or polygons, points in an observation network (e.g. snotel), point data collected specifically for this study","forestry, ecology","temperature, pests and disease, timber production/silviculture, forest ecology",NA,NA,NA
cmc,modeling the effects of dispersal and patch size on predicted fisher (pekania [martes] pennanti) distribution in the us rocky mountains,236,impacts,projected impacts,point or plot scale,point or plot scale,"idaho, montana",forest: temperate,"0101 - kootenai, 0102 - pend oreille, 0103 - spokane, 0602 - salmon, 0603 - clearwater","gridded or polygons, point data collected specifically for this study, point data not collected specifically for this study",ecology,"temperature, precipitation, snow, terrestrial wildlife, range shifts, forest ecology",NA,NA,loarie et al. 2009 looks helpful
pe,numerical simulation of the impact of sediment supply and streamflow variations on channel grain sizes and chinook salmon habitat in mountain drainage networks,237,impacts,climate change implications,point or plot scale,100 km2 - 500 km2 (huc 12 is 100 km2),"44.9273211,-115.4322933",freshwater: streams and rivers,0602 - salmon,"points in an observation network (e.g. snotel), point data collected specifically for this study","hydrology, ecology","streamflow/stream forecasting, river geomorphology and restoration, non-anadromous fish, aquatic habitat, management, wildfire",NA,NA,NA
am,variability common to first leaf dates and snowpack in the western conterminous united states,238,impacts,climate change implications,point or plot scale,western us and/or western us plus canada,western united states,"alpine/tundra, grassland: temperate, forest: temperate, desert: semi-arid desert",all in crb u.s.,"gridded or polygons, points in an observation network (e.g. snotel)",meteorology and climatology,"temperature, precipitation, snow, forest ecology, phenology",NA,NA,NA
dh,will future climate favor more erratic wildfires in the western united states?,239,impacts,projected impacts,>10km2 - 100km2 (smaller than huc 12),western us and/or western us plus canada,not washington,forest: temperate,"0101 - kootenai, 0102 - pend oreille, 0103 - spokane, 0200 - upper columbia, 0401 - snake headwaters, 0402 - upper snake, 0501 - middle snake - boise, 0502 - middle snake - powder, 0601 - lower snake, 0602 - salmon, 0603 - clearwater, 0701 - middle columbia, 0702 - john day, 0703 - deschutes, 0800 - lower columbia, 0900 - willamette",gridded or polygons,meteorology and climatology,"temperature, precipitation, range shifts, wildfirewildfire, management, carbon emissions",NA,NA,NA
am,rapid increases and time-lagged declines in amphibian occupancy after wildfire,24,impacts,climate change implications,point or plot scale,1500 km2 - 25000 km2 (huc 8 is 1800 km2; latah county is 2800 km2),"48.5838247,-114.0040341","forest: temperate, freshwater: wetlands",0102 - pend oreille,"gridded, point data collected specifically for this study",biology,"temperature, precipitation, aquatic habitat, range shifts, wildfire,terrestrial wildlife",NA,NA,NA
am,increasing synchrony of high temperature and low flow in western north american streams: double trouble for coldwater biota?,240,impacts,observed impacts,point or plot scale,western us and/or western us plus canada,western united states,freshwater: streams and rivers,"0102 - pend oreille, 0603 - clearwater, 0703 - deschutes, 0800 - lower columbia, 0900 - willamette","gridded, points in an observation network (e.g. snotel)","hydrology, biology","temperature, streamflow/stream forecasting, water quality, water quantity, aquatic habitat",NA,NA,NA
mf,aquatic insect assemblages associated with subalpine stream segment types in relict glaciated headwaters,241,impacts,climate change implications,point or plot scale,500 km2 - 1500 km2 (huc 10 is 587 km2),"47.4666484,-121.5966868",freshwater: ponds and lakes,0800 - lower columbia,point data collected specifically for this study,"biology, ecology","temperature, streamflow/stream forecasting, aquatic habitat, water quality",NA,NA,NA
