reviewer,title,paper_id,inclusion_IAM,impacts,resolution,extent,location,biome,huc6,data_type,discipline,topic,concerns,notes1,notes2
CMC,"Analysis of long-term weather, snow, and avalanche data at Glacier National Park, B.C., Canada",61,Impacts,Observed impacts,Point or plot scale,>10km2 - 100km2 (smaller than HUC 12),"51.301050, -117.524327",Alpine/tundra,Columbia (Canada),"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Engineering,"Temperature, Precipitation, Snow, Glaciers, Streamflow/stream forecasting, Policy, Management, Avalanches",NA,NA,NA
DH,"Analysis of long-term weather, snow and avalanche data at Glacier National Park, BC, Canada",61,Impacts,Observed impacts,Point or plot scale,>10km2 - 100km2 (smaller than HUC 12),"51.2833325,-117.5254215",Alpine tundra,Columbia (Canada),"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Engineering,"Temperature, Precipitation, Snow, Glaciers, Streamflow/stream forecasting, Policy, Management, Avalanches",NA,NA,NA
DH,Do insect outbreaks reduce the severity of subsequent forest fires?,62,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","Washington, Oregon",Forest: temperate,"0103 - Spokane, 0200 - Upper Columbia, 0300 - Yakima, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0701 - Middle Columbia, 0702 - John Day, 0703 - Deschutes, 0800 - Lower Columbia, 0900 - Willamette","Points in an observation network (e.g. SNOTEL), Point data NOT collected specifically for this study","Forestry, Ecology","Temperature, Precipitation, Water quality, Species Invasion, Pests and disease, Range Shifts, Wildfire, Timber production/Silviculture, Forest Ecology, Agriculture, Policy, Management",NA,NA,NA
SH,Do insect outbreaks reduce the severity of subsequent forest fires?,62,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","Washington, Oregon",Forest: temperate,"0103 - Spokane, 0200 - Upper Columbia, 0300 - Yakima, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0701 - Middle Columbia, 0702 - John Day, 0703 - Deschutes, 0800 - Lower Columbia, 0900 - Willamette","Points in an observation network (e.g. SNOTEL), Point data NOT collected specifically for this study","Forestry, Ecology","Temperature, Precipitation, Water quality, Species Invasion, Pests and disease, Range Shifts, Wildfire, Timber production/Silviculture, Forest Ecology, Agriculture, Policy, Management",NA,NA,NA
DH,Recent Tree Mortality in the Western United States from Bark Beetles and Forest Fires,63,Impacts,Observed impacts,"Point or plot scale, 900m2 - 1km2",Western US and/or Western US plus Canada,"Western United States, 44.1401893,-114.5747983",Forest: temperate,0602 - Salmon,"Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data NOT collected specifically for this study",Forestry,"Temperature, Precipitation, Snow, Water quality, Terrestrial wildlife, Pests and disease, Range Shifts, Wildfire, Timber production/Silviculture, Forest Ecology, Policy, Management",NA,NA,NA
PE,Recent Tree Mortality in the Western United States from Bark Beetles and Forest Fires,63,Impacts,Observed impacts,900m2 - 1km2,Western US and/or Western US plus Canada,"44.1401893,-114.5748412",Forest: temperate,0602 - Salmon,"Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data NOT collected specifically for this study",Forestry,"Temperature, Precipitation, Snow, Water quality, Terrestrial wildlife, Pests and disease, Range Shifts, Wildfire, Timber production/Silviculture, Forest Ecology, Policy, Management",NA,NA,NA
AM,Implications of projected climate change for groundwater recharge in the western United States,64,Impacts,Projected impacts,Not enough information to say,Western US and/or Western US plus Canada,Western United States,N/A (not biome specific or all biomes - see codebook),All in CRB U.S.,"No data (example: conceptual modeling only), Review",Hydrology,"Temperature, Precipitation, Groundwater, Water quantity, Agriculture, Soils, Policy, Management",A little hard to understand their methods - but I think it's literature review plus conceptual modeling,NA,NA
DH,Implications of projected climate change for groundwater recharge in the western United States,64,Impacts,Projected impacts,Point or plot scale,Western US and/or Western US plus Canada,"45.9995759,-121.2426046",N/A (not biome specific or all biomes - see codebook),All in CRB U.S.,"No data (example: conceptual modeling only), Review",Hydrology,"Temperature, Precipitation, Groundwater, Water quantity, Agriculture, Soils, Policy, Management",NA,NA,NA
DH,"Predicting landscape sensitivity to present and future floods in the Pacific Northwest, USA",65,Impacts,Projected impacts,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","Washington, Oregon","Alpine/tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert","0103 - Spokane, 0200 - Upper Columbia, 0300 - Yakima, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0701 - Middle Columbia, 0702 - John Day, 0703 - Deschutes, 0800 - Lower Columbia, 0900 - Willamette","Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data NOT collected specifically for this study",Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, River geomorphology and restoration, Groundwater, Water quality, Water quantity, Salmon, Non-anadromous fish, Aquatic habitat, Agriculture, Community resilience (human), Attitudes and Beliefs, Soils, Policy, Management",NA,NA,NA
MF,"Predicting landscape sensitivity to present and future floods in the Pacific Northwest, USA",65,Impacts,Projected impacts,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","Washington, Oregon","Alpine/tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert","0103 - Spokane, 0200 - Upper Columbia, 0300 - Yakima, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0701 - Middle Columbia, 0702 - John Day, 0703 - Deschutes, 0800 - Lower Columbia, 0900 - Willamette","Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data NOT collected specifically for this study",Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, River geomorphology and restoration, Groundwater, Water quality, Water quantity, Salmon, Non-anadromous fish, Aquatic habitat, Agriculture, Community resilience (human), Attitudes and Beliefs, Soils, Policy, Management",NA,NA,NA
DH,The effects of climate change and extreme wildfire events on runoff erosion over a mountain watershed,66,Impacts,Projected impacts,NA,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"45.0873504,-114.9142197","Alpine/tundra, Forest: temperate, Freshwater: streams and rivers",0602 - Salmon,"Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data NOT collected specifically for this study",Hydrology,"Temperature, Precipitation, Streamflow/stream forecasting, Lacustrine Systems, River geomorphology and restoration, Water quality, Water quantity, Wildfire, Forest Ecology, Soils, Management",NA,NA,NA
MF,The effects of climate change and extreme wildfire events on runoff erosion over a mountain watershed,66,Impacts,Projected impacts,1-900 m2 (1-30m; Landsat size or smaller),1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"44.8977396,-115.5006286","Alpine/tundra, Forest: temperate, Freshwater: streams and rivers",0602 - Salmon,"Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data NOT collected specifically for this study",Hydrology,"Temperature, Precipitation, Streamflow/stream forecasting, Lacustrine Systems, River geomorphology and restoration, Water quality, Water quantity, Wildfire, Forest Ecology, Soils, Management",NA,NA,NA
CMC,Climate change impact on the roles of temperature and precipitation in western U.S. snowpack variability,67,Impacts,Projected impacts,Western US and/or Western US plus Canada,Western US and/or Western US plus Canada,Western United States,"Alpine/tundra, Forest: temperate",All in CRB U.S.,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Meteorology and Climatology,"Temperature, Precipitation, Snow, Glaciers, Streamflow/stream forecasting, Groundwater, Water quantity",paper focuses on 6 mountainous regions throughout the western US. Wasatch and Northern Rockies are in the CRB.,"Good lit rev: Seasonal snowfall in the mountainous regions of the western United States (U.S.) is a critical component of the annual water cycle as regional water supplies rely heavily on spring and summer melt from accumulated snowpack. Many studies have identiﬁed widespread declines in snowpack in western North America [Mote et al., 2005; Hamlet et al., 2005; Mote, 2006], and these changes have been linked to warming trends [Pederson et al., 2011; Kapnick and Hall, 2012; Pederson et al., 2013] and increasing freezing level elevations [Abatzoglou, 2011]. Additionally, approximately half of recent changes in western U.S. snowpack have been attributed to anthropogenic eﬀects [Pierce et al., 2008].",very mountain focused.
DH,Climate change impact on the roles of temperature and precipitation in western US snowpack variability,67,Impacts,Projected impacts,>1km2 - 10km2 (city of Moscow is 2.6 km2),Western US and/or Western US plus Canada,Western United States,"Alpine/tundra, Forest: temperate",All in CRB U.S.,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Meteorology and Climatology,"Temperature, Precipitation, Snow, Glaciers, Streamflow/stream forecasting, Groundwater, Water quantity",NA,NA,NA
DH,Testing the recent snow drought as an analog for climate warming sensitivity of Cascades snowpacks,68,Impacts,Observed impacts,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",Oregon,"Alpine/tundra, Forest: temperate","0703 - Deschutes, 0900 - Willamette",Points in an observation network (e.g. SNOTEL),"Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quality, Water quantity, Forest Ecology, Agriculture, Community resilience (human), Management",NA,NA,NA
SH,Testing the recent snow drought as an analog for climate warming sensitivity of Cascades snowpacks,68,Impacts,Observed impacts,1-900 m2 (1-30m; Landsat size or smaller),"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","44.1542012,-122.8601981; 44.6589015,-122.4269942","Alpine/tundra, Forest: temperate","0703 - Deschutes, 0900 - Willamette",Points in an observation network (e.g. SNOTEL),"Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quality, Water quantity, Forest Ecology, Agriculture, Community resilience (human), Management",NA,NA,NA
DH,Microclimate predicts within-season distribution dynamics of montane forest birds,69,Impacts,Climate change implications,Point or plot scale,>10km2 - 100km2 (smaller than HUC 12),"44.2122158,-122.2574345",Forest: temperate,0900 - Willamette,"Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Ecology,"Temperature, Water quality, Terrestrial wildlife, Range Shifts, Wildfire, Forest Ecology, Attitudes and Beliefs",NA,NA,NA
PE,Microclimate predicts within-season distribution dynamics of montane forest birds,69,Impacts,Climate change implications,Point or plot scale,>10km2 - 100km2 (smaller than HUC 12),"44.2122158,-122.2574398",Forest: temperate,0900 - Willamette,"Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Ecology,"Temperature, Water quality, Terrestrial wildlife, Range Shifts, Wildfire, Forest Ecology, Attitudes and Beliefs",NA,NA,NA
AM,A NEW METHOD COMPARING SNOWMELT TIMING WITH ANNUAL AREA BURNED,70,Impacts,Climate change implications,Not specified,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","45.2822236,-112.5880012",Forest: temperate,"0401 - Snake headwaters, 0402 - Upper Snake, 0603 - Clearwater, 0102 - Pend Oreille, 0103 - Spokane, 0602 - Salmon",Gridded or polygons,Ecology,"Temperature, Snow, Streamflow/stream forecasting, Terrestrial wildlife, Wildfire, Forest Ecology",NA,NA,NA
DH,A NEW METHOD COMPARING SNOWMELT TIMING WITH ANNUAL AREA BURNED,70,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","44.5169043,-111.5181449",Forest: temperate,"0401 - Snake headwaters, 0402 - Upper Snake, 0603 - Clearwater, 0102 - Pend Oreille, 0103 - Spokane, 0602 - Salmon",Gridded or polygons,Ecology,"Temperature, Snow, Streamflow/stream forecasting, Terrestrial wildlife, Wildfire, Forest Ecology",NA,NA,NA
DH,The relative influences of climate and competition on tree growth along montane ecotones in the Rocky Mountains,71,Impacts,Climate change implications,Point or plot scale,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)","45.8076973,-113.9477221",Forest: temperate,0102 - Pend Oreille,"Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Forestry,"Temperature, Precipitation, Range Shifts, Timber production/Silviculture, Forest Ecology, Dendrochronology, Management, Water quantity",NA,NA,NA
MF,The relative influences of climate and competition on tree growth along montane ecotones in the Rocky Mountains,71,Impacts,Climate change implications,Point or plot scale,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)","45.9698384,-114.1896695",Forest: temperate,0102 - Pend Oreille,"Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Forestry,"Temperature, Precipitation, Range Shifts, Timber production/Silviculture, Forest Ecology, Dendrochronology, Management, Water quantity",NA,NA,NA
AM,"Assessing the potential for pocket agriculture in mountainous regions: A case study in West Kootenay, British Columbia, Canada",72,Adaptation,NA,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"49.7666711,-117.4766163",Forest: temperate,Kooteney (Canada),"Gridded or polygons, Secondary social data (e.g., census data, existing survey data)",Agriculture,"Temperature, Precipitation, Streamflow/stream forecasting, Water quality, Water quantity, Agriculture, Community resilience (human), Attitudes and Beliefs, Soils, Policy, Management",NA,NA,NA
DH,"Assessing the potential for pocket agriculture in mountainous regions: A case study in West Kootenay, British Columbia, Canada",72,Adaptation,Projected impacts,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"British Columbia, 49.4954122,-117.3230094",Forest: temperate,Kooteney (Canada),"Gridded or polygons, Primary social data (e.g., interviews conducted for this study), Secondary social data (e.g., census data, existing survey data)",Agriculture,"Temperature, Precipitation, Streamflow/stream forecasting, Water quality, Water quantity, Agriculture, Community resilience (human), Attitudes and Beliefs, Soils, Policy, Management",NA,NA,NA
CMC,"Verbenone Decreases Whitebark Pine Mortality Throughout a Mountain Pine Beetle Outbreak
",73,Adaptation,NA,Point or plot scale,Point or plot scale,"44.288, -114.373",Forest: temperate,0602 - Salmon,"Gridded or polygons, Secondary social data (e.g., census data, existing survey data), Policy data",Forestry,"Temperature, Precipitation, Pests and disease, Timber production/Silviculture, Management, Forest Ecology",Checked adaptation because they were testing how trees responded to being sprayed with verberone,Nice lit review of the significant of White Pine in mountainous areas,NA
MF,Verbenone Decreases Whitebark Pine Mortaliiy Throughout a Mountain Pine Beetle Outbreak,73,Adaptation,NA,Point or plot scale,Point or plot scale,"44.9167071,-116.4191589",Forest: temperate,0602 - Salmon,Point data collected specifically for this study,Forestry,"Temperature, Precipitation, Pests and disease, Timber production/Silviculture, Management, Forest Ecology",NA,NA,NA
AM,The Importance of Biologically Relevant Microclimates in Habitat Suitability Assessments,74,Impacts,Climate change implications,Point or plot scale,>10km2 - 100km2 (smaller than HUC 12),"45.6969, -121.6528","Forest: temperate, Alpine tundra",0701 - Middle Columbia,Point data collected specifically for this study,Ecology,"Temperature, Precipitation, Snow, Terrestrial wildlife, Range Shifts",NA,NA,NA
DH,The Importance of Biologically Relevant Microclimates in Habitat Suitability Assessments,74,Impacts,Climate change implications,Point or plot scale,>10km2 - 100km2 (smaller than HUC 12),"45.3736141,-121.7047059","Forest: temperate, Alpine tundra",0701 - Middle Columbia,"Gridded, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Ecology,"Temperature, Precipitation, Snow, Terrestrial wildlife, Range Shifts",NA,NA,NA
AM,Large carbon release legacy from bark beetle outbreaks across Western United States,75,Impacts,Climate change implications,1-900 m2 (1-30m; Landsat size or smaller),Western US and/or Western US plus Canada,Western United States,Forest: temperate,All in CRB U.S.,Gridded or polygons,Forestry,"Temperature, Precipitation, Water quantity, Species Invasion, Pests and disease, Range Shifts, Timber production/Silviculture, Forest Ecology, Management, Carbon Emissions","Considered putting this as a mitigation paper, though I think it's still impacts.",NA,NA
DH,Large carbon release legacy from bark beetle outbreaks across Western United States,75,Impacts,Climate change implications,900m2 - 1km2,Western US and/or Western US plus Canada,Western United States,Forest: temperate,All in CRB U.S.,Gridded or polygons,Forestry,"Temperature, Precipitation, Water quantity, Species Invasion, Pests and disease, Range Shifts, Timber production/Silviculture, Forest Ecology, Management, Carbon Emissions",NA,NA,NA
DH,Forest Development and Carbon Dynamics after Mountain Pine Beetle Outbreaks,76,none of these or not in the CRB,NA,Point or plot scale,Western US and/or Western US plus Canada,Western United States,NA,NA,"Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Forestry,"Temperature, Precipitation, Snow, Species Invasion, Pests and disease, Range Shifts, Wildfire, Forest Ecology, Management",Kick out of corpus.... general tree survey and review.....,NA,NA
PE,Forest Development and Carbon Dynamics after Mountain Pine Beetle Outbreaks,76,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,Forestry,"Temperature, Precipitation, Snow, Species Invasion, Pests and disease, Range Shifts, Wildfire, Forest Ecology, Management","Not about climate change. All ""mountain"" references are about beetles",NA,NA
AM,Effects of temperature and precipitation on snowpack variability in the Central Rocky Mountains as a function of elevation,77,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","48.968258,-116.2385066",Forest: temperate,"0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane",Points in an observation network (e.g. SNOTEL),Meteorology and Climatology,"Temperature, Precipitation, Snow, Groundwater, Water quantity, Soils",NA,NA,Find that temperature controls snowpack at lower elevations; precip controls snowpack at higher elevations.
DH,Effects of temperature and precipitation on snowpack variability in the Central Rocky Mountains as a function of elevation,77,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","48.6912956,-116.3308097",Forest: temperate,"0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane",Points in an observation network (e.g. SNOTEL),Meteorology and Climatology,"Temperature, Precipitation, Snow, Groundwater, Water quantity, Soils",NA,NA,NA
DH,Relative effects of climate change and wildfires on stream temperatures: a simulation modeling approach in a Rocky Mountain watershed,78,Impacts,"Projected impacts, Climate change implications",Point or plot scale,500 km2 - 1500 km2 (HUC 10 is 587 km2),"45.8076963,-113.9564769","Forest: temperate, Freshwater: streams and rivers",0102 - Pend Oreille,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Forestry,"Temperature, Precipitation, Snow, Water quality, Water quantity, Wildfire, Forest Ecology, Community resilience (human), Soils, Policy, Management, River geomorphology and restoration, Salmon, Non-anadromous fish, Aquatic habitat",NA,NA,NA
MF,Relative effects of climate change and wildfires on stream temperatures: a simulation modeling approach in a Rocky Mountain watershed,78,Impacts,"Projected impacts, Climate change implications",Point or plot scale,500 km2 - 1500 km2 (HUC 10 is 587 km2),"45.9402119,-114.1357838","Forest: temperate, Freshwater: streams and rivers",0102 - Pend Oreille,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Forestry,"Temperature, Precipitation, Snow, Water quality, Water quantity, Wildfire, Forest Ecology, Community resilience (human), Soils, Policy, Management, River geomorphology and restoration, Salmon, Non-anadromous fish, Aquatic habitat",NA,NA,NA
DH,Cattle grazing in semiarid forestlands: Habitat selection during periods of drought,79,Impacts,Climate change implications,Point or plot scale,>10km2 - 100km2 (smaller than HUC 12),"Oregon, 45.2331833,-118.5685822","Grassland: temperate, Forest: temperate","0601 - Lower Snake, 0701 - Middle Columbia","Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Biology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quality, Water quantity, Agriculture, Community resilience (human), Attitudes and Beliefs, Soils, Management, Range shifts",NA,NA,NA
MF,Cattle grazing in semiarid forestlands: Habitat selection during periods of drought,79,Impacts,Climate change implications,Point or plot scale,>10km2 - 100km2 (smaller than HUC 12),"45.2331994,-118.5598274","Grassland: temperate, Forest: temperate","0601 - Lower Snake, 0701 - Middle Columbia","Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Biology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quality, Water quantity, Agriculture, Community resilience (human), Attitudes and Beliefs, Soils, Management, Range shifts",NA,NA,NA
AM,Sensitivity of summer stream temperatures to climate variability in the Pacific Northwest,80,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","Washington, Oregon",Freshwater: streams and rivers,"0103 - Spokane, 0200 - Upper Columbia, 0300 - Yakima, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0701 - Middle Columbia, 0702 - John Day, 0703 - Deschutes, 0800 - Lower Columbia, 0900 - Willamette","Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Hydrology,"Temperature, Precipitation, Streamflow/stream forecasting, Water quality, Water quantity",NA,NA,NA
MF,Sensitivity of summer stream temperatures to climate variability in the Pacific Northwest,80,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",NA,Freshwater: streams and rivers,"0103 - Spokane, 0200 - Upper Columbia, 0300 - Yakima, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0701 - Middle Columbia, 0702 - John Day, 0703 - Deschutes, 0800 - Lower Columbia, 0900 - Willamette","Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Hydrology,"Temperature, Precipitation, Streamflow/stream forecasting, Water quality, Water quantity",I classified stream temperature as a water quality issue,NA,"Our results show that virtually all cold streams are insensitive, while warmer streams may or may not be sensitive, although there is a general trend of increasing sensitivity with increasing stream temperature."
CMC,Multiscale Relationships Between Alpine Treeline Elevation and Hypothesized Environmental Controls in the Western United States,81,Impacts,Climate change implications,Point or plot scale,Western US and/or Western US plus Canada,26 mountainous sites across the western US. Mostly in Natl Parks,"Alpine/tundra, Forest: temperate",All in CRB U.S.,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Geography,"Temperature, Precipitation, Snow, Glaciers, Range Shifts, Forest Ecology, Management, Timber production/Silviculture, Alpine treeline ecotone",Good reference for a broad study of western US mountains,NA,Table 1 includes a list of GPS points for all major mountain ranges in the western US
DH,Multiscale Relationships Between Alpine Treeline Elevation and Hypothesized Environmental Controls in the Western United States,81,Impacts,Climate change implications,Point or plot scale,Western US and/or Western US plus Canada,Western United States,"Alpine/tundra, Forest: temperate",All in CRB U.S.,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Geography,"Temperature, Precipitation, Snow, Glaciers, Range Shifts, Forest Ecology, Management, Timber production/Silviculture, Alpine treeline ecotone",NA,NA,NA
AM,What is the importance of climate model bias when projecting the impacts of climate change on land surface processes?,82,Impacts,Projected impacts,>10km2 - 100km2 (smaller than HUC 12),"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)","Columbia River Basin, 44.2331787,-122.2112381",N/A (not biome specific or all biomes - see codebook),"All CRB, both US and Canada",Gridded or polygons,Meteorology and Climatology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Groundwater, Water quality, Water quantity, Forest Ecology, Agriculture, Community resilience (human), Attitudes and Beliefs, Soils, Policy, Carbon Emissions","Spatial issue a little tough - it has an analysis that extends over the CRB, but also more detailed analysis at HJ Andrews. I coded for both.",NA,NA
DH,What is the importance of climate model bias when projecting the impacts of climate change on land surface processes?,82,Impacts,Projected impacts,>10km2 - 100km2 (smaller than HUC 12),"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",Columbia River Basin,N/A (not biome specific or all biomes - see codebook),"All CRB, both US and Canada",Gridded or polygons,Meteorology and Climatology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Groundwater, Water quality, Water quantity, Forest Ecology, Agriculture, Community resilience (human), Attitudes and Beliefs, Soils, Policy, Carbon Emissions",NA,NA,NA
DH,Stochastic Method for Examining Vulnerability of Hydropower Generation and Reservoir Operations to Climate Change: Case Study of the Dworshak Reservoir in Idaho,83,Impacts,Projected impacts,Point or plot scale,"1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2), 25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)","46.5190971,-116.3028145",N/A (not biome specific or all biomes - see codebook),0603 - Clearwater,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)","Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quality, Water quantity, Forest Ecology, Policy, Management",NA,NA,NA
PE,Stochastic Method for Examining Vulnerability of Hydropower Generation and Reservoir Operations to Climate Change: Case Study of the Dworshak Reservoir in Idaho,83,Impacts,Projected impacts,NA,"1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2), 25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)","46.5190971,-116.3028198",N/A (not biome specific or all biomes - see codebook),0603 - Clearwater,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)","Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quality, Water quantity, Forest Ecology, Policy, Management",No online access on 2/03/18,NA,NA
AM,"Exotic Plant Colonization and Occupancy Within Riparian Areas of the Interior Columbia River and Upper Missouri River Basins, USA",84,Impacts,Climate change implications,Point or plot scale,"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",Columbia River Basin,"Grassland: temperate, Forest: temperate, Desert: semi-arid desert","0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane, 0200 - Upper Columbia, 0401 - Snake headwaters, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon, 0603 - Clearwater, 0701 - Middle Columbia","Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Ecology,"Temperature, Precipitation, Streamflow/stream forecasting, Species Invasion, Pests and disease, Range Shifts, Wildfire, Timber production/Silviculture, Agriculture, Soils, Management",Climate change connection is pretty loose.,NA,NA
DH,"Exotic Plant Colonization and Occupancy Within Riparian Areas of the Interior Columbia River and Upper Missouri River Basins, USA",84,Impacts,Climate change implications,Point or plot scale,"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",Idaho,"Grassland: temperate, Forest: temperate, Desert: semi-arid desert","0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane, 0200 - Upper Columbia, 0401 - Snake headwaters, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon, 0603 - Clearwater, 0701 - Middle Columbia","Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Ecology,"Temperature, Precipitation, Streamflow/stream forecasting, Species Invasion, Pests and disease, Range Shifts, Wildfire, Timber production/Silviculture, Agriculture, Soils, Management",NA,NA,NA
DH,Changes in Snow Mass Balance in the Canadian Rocky Mountains Caused by CO2 Rise: Regional Atmosphere Model Results,85,Impacts,Projected impacts,>1km2 - 10km2 (city of Moscow is 2.6 km2),Western US and/or Western US plus Canada,"Western United States, British Columbia",N/A (not biome specific or all biomes - see codebook),"All CRB, both US and Canada",Gridded or polygons,Meteorology and Climatology,"Temperature, Precipitation, Snow, Glaciers, Streamflow/stream forecasting, Water quality, Water quantity, Soils, Management, Carbon Emissions",NA,NA,NA
