reviewer,title,paper_id,inclusion_IAM,projected,observed,biome,extent,huc6,location,discipline,topic,concerns,notes1,notes2,new_data
mf,reconstructing historical snow depth surfaces to evaluate changes in critical demographic rates and habitat components of snow-dependent and snow-restricted species,331,impacts,no,no,"alpine/tundra, forest: temperate","larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)",all idaho,na/not appropriate for point data,"hydrology, ecology","temperature, precipitation, snow, terrestrial wildlife,species range shifts",NA,NA,NA,no
am,reconstructing historical snow depth surfaces to evaluate changes in critical demographic rates and habitat components of snow-dependent and snow-restricted species,331,impacts,no,no,"alpine/tundra, forest: temperate","larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)",all idaho,na/not appropriate for point data,"hydrology, ecology","temperature, precipitation, snow, terrestrial wildlife,species range shifts",NA,sort of a rare paper - looking at snow-wildlife interactions.,NA,no
am,"modeling effects of climate change and fire management on western white pine (pinus monticola) in the northern rocky mountains, usa",333,impacts,yes,no,forest: temperate,"100 km2 - 1,500 km2",0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s),"lake mcdonald watershed; 48.5838247,-114.0040341",ecology,"temperature, precipitation, species range shifts, wildfire, forest ecology",NA,NA,NA,no
sh,"modeling effects of climate change and fire management on western white pine (pinus monticola) in the northern rocky mountains, usa",333,impacts,yes,no,forest: temperate,"100 km2 - 1,500 km2",0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s),"lake mcdonald watershed; 48.5838247,-114.0040341",ecology,"temperature, precipitation, species range shifts, wildfire, forest ecology",NA,NA,NA,no
am,twenty years after the 1988 yellowstone fires: lessons about disturbance and ecosystems,334,impacts,no,no,"forest: temperate, freshwater: ponds and lakes, freshwater: streams and rivers","larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0401 - snake headwaters (yellowstone np and tetons np), 0402 - upper snake",na/not appropriate for point data,ecology,"water quality, aquatic habitat, terrestrial wildlife, wildfire, forest ecology, soils, management",NA,NA,NA,no
pe,twenty years after the 1988 yellowstone fires: lessons about disturbance and ecosystems,334,impacts,no,no,"forest: temperate, freshwater: ponds and lakes, freshwater: streams and rivers","larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0401 - snake headwaters (yellowstone np and tetons np), 0402 - upper snake",na/not appropriate for point data,ecology,"water quality, aquatic habitat, terrestrial wildlife, wildfire, forest ecology, soils, management",NA,NA,NA,no
mf,continued warming could transform greater yellowstone fire regimes by mid-21st century,335,impacts,yes,no,forest: temperate,"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)","0401 - snake headwaters (yellowstone np and tetons np), 0402 - upper snake","yellowstone national park; 44.584418,-111.0758737",ecology,"temperature, precipitation, water quantity, wildfire, forest ecology, management, natural disasters",NA,NA,NA,no
pe,continued warming could transform greater yellowstone fire regimes by mid-21st century,335,impacts,yes,no,forest: temperate,"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)","0401 - snake headwaters (yellowstone np and tetons np), 0402 - upper snake","yellowstone national park; 44.584418,-111.0758737",ecology,"temperature, precipitation, water quantity, wildfire, forest ecology, management, natural disasters",NA,NA,NA,no
mf,the unusual nature of recent snowpack declines in the north american cordillera,336,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","0101 - kootenai, 0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), 0103 - spokane, 0200 - upper columbia, 0401 - snake headwaters (yellowstone np and tetons np), 0402 - upper snake, 0601 - lower snake, 0602 - salmon (includes bitterroot mt.s), 0603 - clearwater (includes bitterroot mt.s)",na/not appropriate for point data,hydrology,"temperature, precipitation, snow, climate oscilations (enso, pdo), dendrochronology",NA,NA,NA,no
am,the unusual nature of recent snowpack declines in the north american cordillera,336,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","0101 - kootenai, 0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), 0103 - spokane, 0200 - upper columbia, 0401 - snake headwaters (yellowstone np and tetons np), 0402 - upper snake, 0601 - lower snake, 0602 - salmon (includes bitterroot mt.s), 0603 - clearwater (includes bitterroot mt.s)",na/not appropriate for point data,hydrology,"temperature, precipitation, snow, climate oscilations (enso, pdo), dendrochronology",NA,NA,NA,no
am,interspecies synchrony in salmonid densities associated with large-scale bioclimatic conditions in central idaho,337,impacts,no,no,freshwater: streams and rivers,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0602 - salmon (includes bitterroot mt.s), 0603 - clearwater (includes bitterroot mt.s)",this study includes a case study map with more than 5 study locations over large extent,"biology, ecology","temperature, precipitation, climate oscilations (enso, pdo), streamflow/stream forecasting, salmon/anadromous fish, non-anadromous fish, aquatic habitat, management",NA,NA,NA,no
mf,interspecies synchrony in salmonid densities associated with large-scale bioclimatic conditions in central idaho,337,impacts,no,no,freshwater: streams and rivers,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0602 - salmon (includes bitterroot mt.s), 0603 - clearwater (includes bitterroot mt.s)",this study includes a case study map with more than 5 study locations over large extent,"biology, ecology","temperature, precipitation, climate oscilations (enso, pdo), streamflow/stream forecasting, salmon/anadromous fish, non-anadromous fish, aquatic habitat, management",NA,NA,NA,no
mf,a process-based approach to estimate lodgepole pine (pinus contorta dougl.) distribution in the pacific northwest under climate change,338,impacts,yes,no,forest: temperate,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","all crb, both us and canada (if this is selected then do not select the states as well)",na/not appropriate for point data,ecology,"temperature, precipitation, species range shifts, timber production/silviculture, forest ecology, dendrochronology, soils",NA,NA,NA,no
am,a process-based approach to estimate lodgepole pine (pinus contorta dougl.) distribution in the pacific northwest under climate change,338,impacts,yes,no,forest: temperate,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","all crb, both us and canada (if this is selected then do not select the states as well)",na/not appropriate for point data,ecology,"temperature, precipitation, species range shifts, timber production/silviculture, forest ecology, dendrochronology, soils",NA,NA,NA,no
am,observations and modeling of aboveground tree carbon stocks and fluxes following a bark beetle outbreak in the western united states,339,impacts,no,no,forest: temperate,point or plot scale,0402 - upper snake,"sawtooth national recreation area; 43.7873341,-114.4233322",ecology,"pests and disease, forest ecology, carbon cycle, wildfire",study area map is extremely imprecise (a star on idaho in the middle of a map of conus),NA,NA,yes
cc,observations and modeling of aboveground tree carbon stocks and fluxes following a bark beetle outbreak in the western united states,339,impacts,no,no,forest: temperate,point or plot scale,0402 - upper snake,"sawtooth mountains; 43.948609, -114.991340",ecology,"pests and disease, forest ecology, carbon cycle, wildfire",NA,NA,NA,yes
sh,"groundwater level responses in temperate mountainous terrain: regime classification, and linkages to climate and streamflow",340,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",all in crb canada,this study includes a case study map with more than 5 study locations over large extent,hydrology,"precipitation, snow, streamflow/stream forecasting, groundwater, water quantity",NA,NA,NA,no
am,"groundwater level responses in temperate mountainous terrain: regime classification, and linkages to climate and streamflow",340,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",all in crb canada,this study includes a case study map with more than 5 study locations over large extent,hydrology,"precipitation, snow, streamflow/stream forecasting, groundwater, water quantity",NA,NA,NA,no
am,local atmospheric decoupling in complex topography alters climate change impacts,341,impacts,yes,no,forest: temperate,1-100 km2 (huc 12 is 100 km2),0900 - willamette (hj andrews experimental forest),"hj andrews experimental forest; 44.2122196,-122.2574345",meteorology and climatology,"temperature, precipitation, species range shifts, forest ecology",NA,NA,NA,no
pe,local atmospheric decoupling in complex topography alters climate change impacts,341,impacts,yes,no,forest: temperate,1-100 km2 (huc 12 is 100 km2),0900 - willamette (hj andrews experimental forest),"hj andrews experimental forest; 44.2122196,-122.2574345",meteorology and climatology,"temperature, precipitation, species range shifts, forest ecology",NA,NA,"this study suggests that for mountainous regions, local variation in temperature increase is likely to be less spatially coherent than the temperature increase predicted by global and regional models. this has implications for impacts on ecosystems and biodiversity. while locations subject to frequent cold air pooling are not likely to escape regionally increasing temperatures, our analysis in oregon suggests that they may act as refugia (pearson, 2006) against the amplified temperature trends and variations that we predict will occur on adjacent hill slopes and crests if anti‐cyclonic conditions become more frequent .",no
am,"forest ecosystems, disturbance, and climatic change in washington state, usa",342,impacts,yes,yes,forest: temperate,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)",all washington,na/not appropriate for point data,"forestry, ecology","temperature, precipitation, pests and disease, species range shifts, wildfire, timber production/silviculture, forest ecology",NA,NA,"lots of info here about impacts of climate change on forests in washington state, if we need that for writing. spatial patterns of productivity will change, species composition will change, increase in fire and mountain pine beetle.",no
mf,"forest ecosystems, disturbance, and climatic change in washington state, usa",342,impacts,yes,yes,forest: temperate,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)",all washington,na/not appropriate for point data,"forestry, ecology","temperature, precipitation, pests and disease, species range shifts, wildfire, timber production/silviculture, forest ecology",NA,NA,NA,no
mf,surface temperature lapse rates over complex terrain: lessons from the cascade mountains,343,impacts,yes,no,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0200 - upper columbia, 0300 - yakima, 0701 - middle columbia, 0800 - lower columbia (southeast mount rainier)",na/not appropriate for point data,meteorology and climatology,"temperature, streamflow/stream forecasting",NA,NA,NA,yes
am,surface temperature lapse rates over complex terrain: lessons from the cascade mountains,343,impacts,yes,no,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0200 - upper columbia, 0300 - yakima, 0701 - middle columbia, 0800 - lower columbia (southeast mount rainier)",na/not appropriate for point data,meteorology and climatology,"temperature, streamflow/stream forecasting",NA,NA,NA,yes
cc,a new look at snowpack trends in the cascade mountains,344,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0200 - upper columbia, 0300 - yakima, 0701 - middle columbia, 0703 - deschutes, 0800 - lower columbia (southeast mount rainier), 0900 - willamette (hj andrews experimental forest)","na/not appropriate for point data, cascade mountains","meteorology and climatology, hydrology","temperature, precipitation, snow, climate oscilations (enso, pdo), streamflow/stream forecasting",NA,NA,NA,no
am,a new look at snowpack trends in the cascade mountains,344,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0200 - upper columbia, 0300 - yakima, 0701 - middle columbia, 0703 - deschutes, 0800 - lower columbia (southeast mount rainier), 0900 - willamette (hj andrews experimental forest)",na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, climate oscilations (enso, pdo), streamflow/stream forecasting",NA,NA,NA,no
am,"relationship between fire, climate oscillations, and drought in british columbia, canada, 1920-2000",345,impacts,no,no,n/a (not biome specific or all biomes - see codebook),"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",all in crb canada,na/not appropriate for point data,ecology,"temperature, precipitation, snow, climate oscilations (enso, pdo), wildfire",NA,NA,NA,no
sh,"relationship between fire, climate oscillations, and drought in british columbia, canada, 1920-2000",345,impacts,no,no,n/a (not biome specific or all biomes - see codebook),"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",all in crb canada,na/not appropriate for point data,ecology,"temperature, precipitation, snow, climate oscilations (enso, pdo), wildfire",NA,NA,NA,no
am,spatial patterns of glaciers in response to spatial patterns in regional climate,346,impacts,no,no,alpine/tundra,western us and/or western us plus canada,"all in crb canada, all washington",na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, glaciers, climate oscilations (enso, pdo)",NA,NA,NA,no
pe,spatial patterns of glaciers in response to spatial patterns in regional climate,346,impacts,no,no,alpine/tundra,western us and/or western us plus canada,"all in crb canada, all washington",na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, glaciers, climate oscilations (enso, pdo)",NA,NA,NA,no
am,"distribution, rarity and habitats of three aquatic lichens on federal land in the us pacific northwest",347,impacts,no,no,freshwater: streams and rivers,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0200 - upper columbia, 0300 - yakima, 0701 - middle columbia, 0702 - john day, 0703 - deschutes, 0800 - lower columbia (southeast mount rainier), 0900 - willamette (hj andrews experimental forest)",this study includes a case study map with more than 5 study locations over large extent,ecology,"temperature, precipitation, streamflow/stream forecasting, water quality, aquatic habitat, forest ecology, management",NA,NA,NA,yes
mf,"distribution, rarity and habitats of three aquatic lichens on federal land in the us pacific northwest",347,impacts,no,no,freshwater: streams and rivers,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0200 - upper columbia, 0300 - yakima, 0701 - middle columbia, 0702 - john day, 0703 - deschutes, 0800 - lower columbia (southeast mount rainier), 0900 - willamette (hj andrews experimental forest)",this study includes a case study map with more than 5 study locations over large extent,ecology,"temperature, precipitation, streamflow/stream forecasting, water quality, aquatic habitat, forest ecology, management",NA,NA,NA,yes
am,a mechanistic assessment of nutrient flushing at the catchment scale,349,impacts,no,no,"forest: temperate, freshwater: streams and rivers",1-100 km2 (huc 12 is 100 km2),0900 - willamette (hj andrews experimental forest),"hj andrews experimental forest; 44.2122196,-122.2574345","hydrology, engineering","temperature, precipitation, streamflow/stream forecasting, groundwater, water quality, water quantity, forest ecology, soils, carbon cycle",climate change connection is pretty weak.,NA,NA,yes
cc,a mechanistic assessment of nutrient flushing at the catchment scale,349,impacts,no,no,"forest: temperate, freshwater: streams and rivers",1-100 km2 (huc 12 is 100 km2),0900 - willamette (hj andrews experimental forest),"hj andrews experimental forest; 44.2122196,-122.2574345","hydrology, engineering","temperature, precipitation, streamflow/stream forecasting, groundwater, water quality, water quantity, forest ecology, soils, carbon cycle",only loosely connected to climate change. didn't understand most of the technical pieces.,NA,NA,yes
pe,a comparison of snotel and ghcn/cru surface temperatures with free-air temperatures at high elevations in the western united states: data compatibility and trends,351,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,meteorology and climatology,"temperature, precipitation, snow, water quantity",NA,NA,"climate changes in mountain regions are of interest for a host of reasons (barry 1990; beniston et al. 1997; giorgi et al. 1997), not least of which are environmental concerns such as glacier retreat (thompson 2000). partly because of the variable surface/free-air temperature contrast, changes in climate in mountain regions are extremely difficult to model. the western united states is an area of complex topography, much of which is at high elevation. it is also among the most intensively monitored mountainous area in the world and is the focus of many specific issues including water resources (dettinger and cayan 1995), snowpack (mote 2003), wildfires (swetnam and betancourt 1990), and frozen ground (clow et al. 2003).",no
am,a comparison of snotel and ghcn/cru surface temperatures with free-air temperatures at high elevations in the western united states: data compatibility and trends,351,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,meteorology and climatology,"temperature, precipitation, snow, water quantity",NA,NA,NA,no
mf,a method for estimating vulnerability of douglas-fir growth to climate change in the northwestern us,352,impacts,no,no,forest: temperate,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), 0200 - upper columbia","north cascades national park, 48.7169483,-121.7060398; idaho panhandle national forest, 47.9546368,-116.2824043;  glacier national park, 48.6598091,-114.126031",ecology,"temperature, precipitation, climate oscilations (enso, pdo), forest ecology, dendrochronology",NA,NA,NA,yes
am,a method for estimating vulnerability of douglas-fir growth to climate change in the northwestern us,352,impacts,no,no,forest: temperate,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), 0200 - upper columbia","north cascades national park; 48.7169466,-121.4265826; glacier national park; 48.6587828,-114.4076579",ecology,"temperature, precipitation, climate oscilations (enso, pdo), forest ecology, dendrochronology",no map; just description,NA,NA,yes
mf,columbia river flow and drought since 1750,353,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","all in crb canada, all washington, all oregon",this study includes a case study map with more than 5 study locations over large extent,ecology,"temperature, precipitation, forest ecology, streamflow/stream forecasting, dendrochronology",NA,NA,NA,no
am,columbia river flow and drought since 1750,353,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","all in crb canada, all washington, all oregon",this study includes a case study map with more than 5 study locations over large extent,ecology,"temperature, precipitation, forest ecology, streamflow/stream forecasting, dendrochronology",NA,NA,NA,no
mf,vegetation sensitivity to global anthropogenic carbon dioxide emissions in a topographically complex region,354,impacts,yes,no,"grassland: temperate, forest: temperate, desert: semi-arid desert",western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,"meteorology and climatology, ecology","temperature, precipitation, species range shifts, timber production/silviculture, carbon emissions",NA,NA,NA,no
am,vegetation sensitivity to global anthropogenic carbon dioxide emissions in a topographically complex region,354,impacts,yes,no,"grassland: temperate, forest: temperate, desert: semi-arid desert",western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,"meteorology and climatology, ecology","temperature, precipitation, species range shifts, timber production/silviculture, carbon emissions",NA,NA,NA,no
mf,the role of climate and vegetation change in shaping past and future fire regimes in the northwestern us and the implications for ecosystem management,355,impacts,yes,yes,forest: temperate,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,"forestry, ecology","temperature, precipitation, species range shifts, wildfire, dendrochronology, forest ecology, management",NA,NA,NA,no
am,the role of climate and vegetation change in shaping past and future fire regimes in the northwestern us and the implications for ecosystem management,355,impacts,yes,yes,forest: temperate,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,"forestry, ecology","temperature, precipitation, species range shifts, wildfire, dendrochronology, forest ecology, management",NA,NA,NA,no
am,belowground carbon pools and processes in different age stands of douglas-fir,356,impacts,no,no,forest: temperate,point or plot scale,0800 - lower columbia (southeast mount rainier),"wind river research facility; 45.8292819,-122.1115534",forestry,"temperature, precipitation, forest ecology, soils, carbon cycle","not really impacts, but not exactly mitigation either...",NA,NA,yes
cc,belowground carbon pools and processes in different age stands of douglas-fir,356,impacts,no,no,forest: temperate,point or plot scale,0800 - lower columbia (southeast mount rainier),"wind river research facility; 45.8292819,-122.1115534",forestry,"temperature, precipitation, forest ecology, soils, carbon cycle",NA,NA,NA,yes
cc,belowground carbon pools and processes in different age stands of douglas-fir,356,impacts,no,no,forest: temperate,point or plot scale,0800 - lower columbia (southeast mount rainier),"wind river canopy crane research facility; 46.754226, -121.448365",forestry,"temperature, precipitation, forest ecology, soils, carbon cycle",NA,NA,NA,yes
am,ecosystem dynamics and disturbance in mountain wildernesses: assessing vulnerability of natural resources to change,357,impacts,yes,no,"alpine/tundra, forest: temperate","1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s),"glacier national park; 48.6587828,-114.4076579","hydrology, ecology","temperature, precipitation, snow, climate oscilations (enso, pdo), streamflow/stream forecasting, entomology, wildfire, forest ecology, management",a little hard to understand what they're really doing here... not really a peer-reviewed journal.,NA,NA,no
sh,ecosystem dynamics and disturbance in mountain wildernesses: assessing vulnerability of natural resources to change,357,impacts,yes,no,"alpine/tundra, forest: temperate","1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s),"glacier national park; 48.6587828,-114.4076579","hydrology, ecology","temperature, precipitation, snow, climate oscilations (enso, pdo), streamflow/stream forecasting, entomology, wildfire, forest ecology, management",NA,NA,NA,no
am,the economic impact of the mountain pine beetle infestation in british columbia: provincial estimates from a cge analysis,361,impacts,yes,no,forest: temperate,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",all in crb canada,na/not appropriate for point data,economics,"pests and disease, timber production/silviculture, management",climate change connection not a focus - quite loose.,NA,NA,no
cc,the economic impact of the mountain pine beetle infestation in british columbia: provincial estimates from a cge analysis,361,impacts,yes,no,forest: temperate,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",all in crb canada,na/not appropriate for point data,economics,"pests and disease, timber production/silviculture, management",NA,NA,NA,no
am,applying resilience concepts in forest management: a retrospective simulation approach,362,impacts,no,no,forest: temperate,"25,000 km2 - 40,000km2 (huc 6 is 27,443 km2)","columbia (canada), okanagan (canada)","kamloops timber supply area; 50.741671,-120.438813","forestry, policy or management","temperature, precipitation, pests and disease, timber production/silviculture, community resilience (human),timber production/silviculture, management, economics",NA,NA,NA,no
sh,applying resilience concepts in forest management: a retrospective simulation approach,362,impacts,no,no,forest: temperate,"25,000 km2 - 40,000km2 (huc 6 is 27,443 km2)","columbia (canada), okanagan (canada)","kamloops timber supply area; 50.741671,-120.438813","forestry, policy or management","temperature, precipitation, pests and disease, timber production/silviculture, community resilience (human),timber production/silviculture, management, economics",NA,NA,NA,no
am,rethinking the longitudinal stream temperature paradigm: region-wide comparison of thermal infrared imagery reveals unexpected complexity of river temperatures,363,impacts,no,no,freshwater: streams and rivers,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","0200 - upper columbia, 0601 - lower snake, 0701 - middle columbia, 0702 - john day, 0703 - deschutes, 0800 - lower columbia (southeast mount rainier), 0900 - willamette (hj andrews experimental forest), 1002 - northern oregon coastal",this study includes a case study map with more than 5 study locations over large extent,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, groundwater, water quality, water quantity, aquatic habitat, management",NA,NA,NA,yes
pe,rethinking the longitudinal stream temperature paradigm: region-wide comparison of thermal infrared imagery reveals unexpected complexity of river temperatures,363,impacts,no,no,freshwater: streams and rivers,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","0200 - upper columbia, 0601 - lower snake, 0701 - middle columbia, 0702 - john day, 0703 - deschutes, 0800 - lower columbia (southeast mount rainier), 0900 - willamette (hj andrews experimental forest), 1002 - northern oregon coastal",this study includes a case study map with more than 5 study locations over large extent,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, groundwater, water quality, water quantity, aquatic habitat, management",NA,NA,NA,yes
mf,production and nutrient content of two shrub species related to fire in central idaho,364,impacts,no,no,forest: temperate,"100 km2 - 1,500 km2",0602 - salmon (includes bitterroot mt.s),"big creek idaho, 45.1271463,-115.3330342",ecology,"wildfire, timber production/silviculture, forest ecology, soils, foliar nutrients",NA,NA,NA,yes
cc,production and nutrient content of two shrub species related to fire in central idaho,364,impacts,no,no,forest: temperate,"100 km2 - 1,500 km2",0602 - salmon (includes bitterroot mt.s),"big creek idaho, 45.1271463,-115.3330342",ecology,"wildfire, timber production/silviculture, forest ecology, soils, foliar nutrients",NA,NA,NA,yes
am,multi-scale environmental filters and niche partitioning govern the distributions of riparian vegetation guilds,365,impacts,no,no,freshwater: streams and rivers,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","0200 - upper columbia, all idaho, all oregon",na/not appropriate for point data,ecology,"temperature, precipitation, river geomorphology and restoration, aquatic habitat, forest ecology, timber production/silviculture",NA,NA,NA,yes
cc,multi-scale environmental filters and niche partitioning govern the distributions of riparian vegetation guilds,365,impacts,no,no,freshwater: streams and rivers,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","0200 - upper columbia, all idaho, all oregon",na/not appropriate for point data,ecology,"temperature, precipitation, river geomorphology and restoration, aquatic habitat, forest ecology, timber production/silviculture",NA,NA,NA,yes
am,"adapting transportation to climate change on federal lands in washington state, usa",367,adaptation,yes,no,forest: temperate,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0200 - upper columbia, 0300 - yakima, 0701 - middle columbia",na/not appropriate for point data,policy or management,"temperature, precipitation, pests and disease, wildfire, timber production/silviculture, forest ecology, community resilience (human), management",NA,NA,NA,yes
sh,"adapting transportation to climate change on federal lands in washington state, usa",367,adaptation,yes,no,forest: temperate,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0200 - upper columbia, 0300 - yakima, 0701 - middle columbia",na/not appropriate for point data,policy or management,"temperature, precipitation, pests and disease, wildfire, timber production/silviculture, forest ecology, community resilience (human), management",NA,NA,NA,yes
pe,elevation-dependent responses of streamflow to climate warming,368,impacts,no,no,n/a (not biome specific or all biomes - see codebook),"25,000 km2 - 40,000km2 (huc 6 is 27,443 km2)",0602 - salmon (includes bitterroot mt.s),na/not appropriate for point data,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, management",NA,NA,"we expect that streamflow
records from mainstem channels limit our ability to (1)
isolate and map the diversity of precipitation and streamflow
conditions that exist within mountain watersheds, (2) clearly
understand how precipitation phase influences local
streamflow characteristics; and (3) make accurate predictions
of how changes in the snowline elevation will affect
streamflow patterns and water resource availability in
different elevation zones in mountainous topography.",no
am,elevation-dependent responses of streamflow to climate warming,368,impacts,no,no,n/a (not biome specific or all biomes - see codebook),"25,000 km2 - 40,000km2 (huc 6 is 27,443 km2)",0602 - salmon (includes bitterroot mt.s),na/not appropriate for point data,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, management",NA,NA,NA,no
am,validation and sensitivity test of the distributed hydrology soil-vegetation model (dhsvm) in a forested mountain watershed,371,impacts,no,no,forest: temperate,1-100 km2 (huc 12 is 100 km2),0103 - spokane (mica cr. exp. watershed),"mica creek experimental watershed; 47.155168,-116.278098",hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, soils, mathematics",climate change connection is pretty weak.,NA,NA,no
cc,validation and sensitivity test of the distributed hydrology soil-vegetation model (dhsvm) in a forested mountain watershed,371,impacts,no,no,forest: temperate,1-100 km2 (huc 12 is 100 km2),0103 - spokane (mica cr. exp. watershed),"mica creek experimental watershed; 47.155168,-116.278098",hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, soils, mathematics",NA,NA,NA,no
sh,sensitivity of snowpack storage to precipitation andtemperature using spatial and temporal analog models,372,impacts,yes,no,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, climate oscilations (enso, pdo)",NA,NA,NA,no
am,sensitivity of snowpack storage to precipitation andtemperature using spatial and temporal analog models,372,impacts,yes,no,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, climate oscilations (enso, pdo)",NA,NA,NA,no
am,early indicators of change: divergent climate envelopes between tree life stages imply range shifts in the western united states,374,impacts,no,yes,forest: temperate,western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,ecology,"temperature, precipitation, species range shifts, timber production/silviculture, forest ecology",NA,NA,NA,no
