"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AHBI4MRP","journalArticle","2013","Cunderlik, Juraj M.; Fleming, Sean W.; Jenkinson, R. Wayne; Thiemann, Michael; Kouwen, Nicholas; Quick, Michael","Integrating logistical and technical criteria into a multiteam, competitive watershed model ranking procedure","Journal of Hydrologic Engineering","","","","http://ascelibrary.org/doi/abs/10.1061/(ASCE)HE.1943-5584.0000670","","2013","2016-06-09 20:55:55","2016-06-09 20:55:55","2016-06-09 20:55:55","641–654","","6","18","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\RFCRW2E8\(ASCE)HE.1943-5584.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJUH7652","journalArticle","2007","Turnhout, Esther; Hisschemöller, Matthijs; Eijsackers, Herman","Ecological indicators: Between the two fires of science and policy","Ecological Indicators","","1470-160X","10.1016/j.ecolind.2005.12.003","","This article approaches the concept of ecological indicators from a social science perspective. By applying theoretical concepts from policy analysis and social studies of science about knowledge utilization, problem structuring and the boundaries between science and policy to the issue of ecological indicators, we aim to contribute to our understanding not only of the development but more importantly of the actual use of ecological indicators in policy processes and the importance of political context. Our interest is in those ecological indicators that attempt to measure the ecological quality of ecosystems and that can be or are specifically developed to be used as instruments to evaluate the effects of policies on nature. We claim that these indicators, although they are highly dependent on scientific knowledge, cannot be solely science-based, due to the complexity of ecosystems and the normative aspects involved in assessing ecosystem quality. As a result, we situate ecological indicators in a fuzzy area between science and policy and between the production and the use of scientific knowledge. We will argue that ecological indicators can be expected to be used or rejected strategically, dependent on policy context. Furthermore we will argue that ecological indicators cannot be evaluated with traditional scientific quality criteria alone. The article concludes with some lessons for future indicator development one of them being the inclusion of stakeholder perspectives.","2007","2016-02-28 22:05:57","2016-02-28 22:05:57","","215–228","","2","7","","","Ecological indicators","","","","","","","eng","","","","","Primo","","","","","","","Boundary Work; Ecological Indicator; Knowledge Utilization; Nature Conservation Policy; Science Policy Interface","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQV2ZTDS","journalArticle","2011","Cohen, Alice; Davidson, Seanna","The watershed approach: Challenges, antecedents, and the transition from technical tool to governance unit","Water alternatives","","","","http://search.proquest.com/openview/f78ec0581d3869d6e1c857545f441ed8/1?pq-origsite=gscholar","","2011","2016-02-24 01:48:47","2016-02-24 01:48:47","2016-02-24 01:48:47","1","","1","4","","","The watershed approach","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\3MB5KBF4\1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARGNVT5J","journalArticle","1997","Pulwarty, Roger S.; Redmond, Kelly T.","Climate and salmon restoration in the Columbia River basin: The role and usability of seasonal forecasts","Bulletin of the American Meteorological Society","","","","http://journals.ametsoc.org/doi/abs/10.1175/1520-0477(1997)078%3C0381:CASRIT%3E2.0.CO;2","","1997","2016-02-10 14:53:19","2016-02-10 14:53:19","2016-02-10 14:53:19","381–397","","3","78","","","Climate and salmon restoration in the Columbia River basin","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\WSV9G8C9\1520-0477(1997)0780381CASRIT2.0.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARK5TGW4","journalArticle","2005","Sayre, Nathan F.","Ecological and geographical scale: parallels and potential for integration","Progress in human geography","","","","http://phg.sagepub.com/content/29/3/276.short","","2005","2016-06-08 19:54:24","2016-06-08 19:54:24","2016-06-08 19:54:24","276–290","","3","29","","","Ecological and geographical scale","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\GBRDAUUF\276.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUVD8GKD","book","","","","","","","","","","","2016-02-10 18:18:56","2016-02-10 18:18:56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B76NIT9V","journalArticle","2015","Cooper, Courtney; Cockerill, Kristan","Water Quantity Perceptions in Northwestern North Carolina: Comparing College Student and Public Survey Responses","southeastern geographer","","","","https://muse.jhu.edu/article/611044/summary","","2015","2016-10-15 04:38:03","2016-10-15 04:38:03","2016-10-15 04:38:03","386–399","","4","55","","","Water Quantity Perceptions in Northwestern North Carolina","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\2AXNXRN7\summary.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B7BG2XK6","journalArticle","2009","Newswander, Lynita K.; Borrego, Maura","Engagement in two interdisciplinary graduate programs","Higher Education","","","","http://link.springer.com/article/10.1007/s10734-009-9215-z","","2009","2016-03-09 22:21:27","2016-03-09 22:21:27","2016-03-09 22:21:27","551–562","","4","58","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\A3KXB3JI\s10734-009-9215-z.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDMX59P9","journalArticle","2013","Moran, P; Teel, D J; Banks, M A","Divergent life-history races do not represent Chinook salmon coast-wide: the importance of scale in Quaternary biogeography","Canadian Journal of Fisheries and Aquatic Sciences","","0706652X","","http://ida.lib.uidaho.edu:2048/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ffw&AN=1118169&site=ehost-live&scope=site","The dynamic Quaternary geology of the Pacific Ring of Fire created substantial challenges for biogeography. Fish life history and population genetic variation were shaped by climate change, repeated formation and subsidence of ice sheets, sea-level change, volcanism and tectonics, isostatic rebound, and now human activities. It is widely recognized in Chinook salmon ( Oncorhynchus tshawytscha) that parallel evolution and phenotypic plasticity have obscured range-wide patterns of life-history segregation with evolutionary lineage, yet the idea of the lineages themselves persists. We employed a large, internationally standardized, microsatellite data set to explore population structure at coast-wide scale and test for two divergent lineages, whether or not related to life history. We found at least 27 distinct lineages. However, relationships among groups were poorly resolved — essentially a star phylogeny. We found pervasive isolation by distance among groups, complicating cluster analysis. Only in the interior Columbia River (east of the Cascade Mountains) is there a deep genetic bifurcation that supports both the two-lineage hypothesis and the life-history segregation hypothesis. This broad-scale perspective helps reconcile different views of Chinook salmon phylogeography and life-history distribution","2013-01-01","2017-02-21 22:50:26","2017-02-21 22:50:26","","415-435","","3","70","","Canadian Journal of Fisheries and Aquatic Sciences","","","","","","","","Language: English.","","","Fish, Fisheries & Aquatic Biodiversity Worldwide","","NISC South Africa","","","","","","chinook salmon; Distribution / Biogeography; evolutionary aspects; fish; life history traits; lineage divergence; phenotypic plasticity; Phylogeny / Evolution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEQZ8T8I","journalArticle","2006","De Groot, Rudolf","Function-analysis and valuation as a tool to assess land use conflicts in planning for sustainable, multi-functional landscapes","Landscape and urban planning","","","","http://www.sciencedirect.com/science/article/pii/S0169204605000575","","2006","2016-06-09 20:51:23","2016-06-09 20:51:23","2016-06-09 20:51:23","175–186","","3","75","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\RKH4CMZE\S0169204605000575.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BG2P95KT","journalArticle","2005","Campbell, Lisa M.","Overcoming obstacles to interdisciplinary research","Conservation biology","","","","http://onlinelibrary.wiley.com/doi/10.1111/j.1523-1739.2005.00058.x/full","","2005","2016-08-08 21:17:38","2016-08-08 21:17:38","2016-08-08 21:17:38","574–577","","2","19","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\SEAHKKJG\full.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BH9AHCWR","journalArticle","2014","Buler, J J; Dawson, D K","Radar analysis of fall bird migration stopover sites in the northeastern U.S","Condor","","00105422","","http://ida.lib.uidaho.edu:2048/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ffw&AN=1044342&site=ehost-live&scope=site","The national network of weather surveillance radars ( WSR-88D) detects flying birds and is a useful remote-sensing tool for ornithological study. We used data collected during fall 2008 and 2009 by 16 WSR-88D radars in the northeastern U.S. to quantify the spatial distribution of landbirds during migratory stopover. We geo-referenced estimates based on radar reflectivity, of the density of migrants aloft at their abrupt evening exodus from daytime stopover sites, to the approximate locations from which they emerged. We classified bird stopover use by the magnitude and variation of radar reflectivity across nights; areas were considered “important” stopover sites for conservation if bird density was consistently high. We developed statistical models that predict potentially important stopover sites across the region, based on land cover, ground elevation, and geographic location. Large areas of regionally important stopover sites were located along the coastlines of Long Island Sound, throughout the Delmarva Peninsula, in areas surrounding Baltimore and Washington, along the western edge of the Adirondack Mountains, and within the Appalachian Mountains of southwestern Virginia and West Virginia. Locally important stopover sites generally were associated with deciduous forests embedded within landscapes dominated by developed or agricultural lands, or near the shores of major water bodies. Preserving or enhancing patches of natural habitat, particularly deciduous forests, in developed or agricultural landscapes and along major coastlines could be a priority for conservation plans addressing the stopover requirements of migratory landbirds in the northeastern U.S. Our maps of important stopover sites can be used to focus conservation efforts and can serve as a sampling frame for fieldwork to validate radar observations or for ecological studies of landbirds on migratory stopover","2014-01-01","2017-02-21 22:50:27","2017-02-21 22:50:27","","357-370","","3","116","","Condor","","","","","","","","Language: English.","","","Fish, Fisheries & Aquatic Biodiversity Worldwide","","NISC South Africa","","","","","","agricultural lands; Behaviour / Psychology; Birds; Climatology / climate change; Conservation / Preservation; deciduous forest; Ecology; habitat conservation; landbird migrations; predictive mapping; radar reflectivity; Remote sensing / GIS (Geographical Information Systems); stopover sites; Techniques / Apparatus / Gear / Methods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BI3XKCM6","journalArticle","2007","Hauer, F R; Stanford, J A; Lorang, M S","Pattern and Process in Northern Rocky Mountain Headwaters: Ecological Linkages in the Headwaters of the Crown of the Continent","American Water Resources Association. Journal","","1093474X","","http://ida.lib.uidaho.edu:2048/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ffw&AN=1086198&site=ehost-live&scope=site","The Crown of the Continent is one of the premiere ecosystems in North America containing Waterton-Glacier International Peace Park, the Bob Marshall-Great Bear-Scapegoat Wilderness Complex in Montana, various Provincial Parks in British Columbia and Alberta, several national and state forest lands in the USA, and Crown Lands in Canada. The region is also the headwater source for three of the continent’s great rivers: Columbia, Missouri and Saskatchewan that flow to the Pacific, Atlantic and Arctic Oceans, respectively. Headwaters originate in high elevation alpine environs characterized by high snow accumulations in winter and rainstorms in summer. Most headwaters of the region contain high quality waters with few ions in solution and extremely low nutrient concentrations. Alpine streams have few species of aquatic organisms; however, they often possess rare species and have hydrogeomorphic features that make them vulnerable to climatic change. Subalpine and valley bottom streams of the Crown of the Continent Ecosystem ( CCE) flow through well forested watersheds. Along the elevation gradient, the streams and rivers of the CCE flow through series of confining and nonconfining valleys resulting in distinct canyon and floodplain reaches. The alluvial floodplains are characterized by high species diversity and bioproduction maintained by the hydrologic linkages of habitats. The streams and rivers of the CCE have low nutrient concentrations, but may be significantly affected by wildfire, various resource extraction activities, such as logging or mining and exurban encroachment. Wildfire has been shown to increase nutrient loading in streams, both during a fire and then following the fire for as much as 5years. Logging practices increase nutrient loading and the algal productivity of stream periphyton. Logging and associated roads are also known to increase sediment transport into Crown of the Continent streams directly affecting spawning success of native trout. The CCE is one of the fastest growing regions in the USA because of the many recreational amenities of the region. And, while the region has many remarkably pristine headwater streams and receiving rivers, there are many pending threats to water quality and quantity. One of the most urgent threats comes from the coal and gas fields in the northern part of the Crown of the Continent, where coal deposits are proposed for mountain-top removal and open-pit mining operations. This will have significant effects on the waters of the region, its native plants and animals and quality of life of the people","2007-01-01","2017-02-21 22:50:26","2017-02-21 22:50:26","","104-117","","1","43","","American Water Resources Association. Journal","","","","","","","","Language: English.","","","Fish, Fisheries & Aquatic Biodiversity Worldwide","","NISC South Africa","","","","","","Algae; algal productivity; climatic change; Climatology / climate change; Ecology; headwater streams; hydrologic linkages; nutrient concentrations; rivers / lakes; saskatchewan river; Water quality; water quantity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJ3C7KW9","journalArticle","1998","McKenna, Katelyn Y. A.; Bargh, John A.","Coming out in the age of the Internet: Identity ""demarginalization"" through virtual group participation.","Journal of Personality and Social Psychology","","0022-3514","10.1037/0022-3514.75.3.681","http://doi.apa.org/getdoi.cfm?doi=10.1037/0022-3514.75.3.681","","1998","2016-10-12 01:59:03","2016-10-12 01:59:03","2016-10-12 01:59:03","681-694","","3","75","","","Coming out in the age of the Internet","","","","","","","en","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BK7FZXAP","document","","","Katz, E. The Ethical Significance of Human Intervention in Nature. From: Restoration and Management Notes. Volume 9(2). Winter 1991. p. 90-96.","","","","","","","","2016-10-13 21:58:12","2016-10-13 21:58:12","","","","","","","","Katz, E. The Ethical Significance of Human Intervention in Nature. From","","","","","","","","","","","","search.lib.uidaho.edu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMCXUIQJ","journalArticle","2007","Ferrari, M R; Miller, J.R.; Russell, G L","Modeling changes in summer temperature of the Fraser River during the next century","Journal of Hydrology","","00221694","","http://ida.lib.uidaho.edu:2048/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ffw&AN=FSLT-935136&site=ehost-live&scope=site","The Fraser River basin in British Columbia has significant environmental, economic and cultural importance. Healthy river conditions through sufficient flows and optimal temperatures are of paramount importance for the survival of Pacific salmon, which migrate upriver toward the headwaters to spawn near the end of their lives. Trends have been detected which indicate that the annual flow and summer temperature have been increasing since the middle of the last century. In this study we examine the observed trend in summer temperature of the Fraser River and compare it with temperatures calculated as part of a global climate model ( GCM) simulation in which atmospheric greenhouse gases are increasing. We then use the GCM to consider how these trends might continue through the present century. Both the observations and model indicate that during the last half of the 20th century, the summer temperature near the river mouth has been increasing at a rate of approximately 0.12°C per decade in August. In this study we use an online method in which river temperatures are calculated directly as part of a GCM simulation and project how summer temperature near the mouth of the Fraser River might change by the end of the present century. The results indicate that between 2000 and 2100 river temperatures will increase in all summer months with a maximum increase of 0.14°C per decade in August. This result is consistent with an offline modeling study by [Morrison, J., Quick, M.C., Goreman, M.G.G. 2002. Climate change in the Fraser River watershed: flow and temperature projections. Journal of Hydrology, 263, 230–244] in which they used output from two GCMS to drive a hydrologic model and predict future changes in river temperature and supports their contention that the timing and magnitude of the increase could be crucial for salmon migration. Future work can extend this analysis to other river systems in an effort to project the potential effects of climate change on the behavior of the world’s large river basins, as well as identify the potential biological effects that may accompany these changes. |  & & & & & & & & & & The Fraser River basin in British Columbia has significant environmental, economic and cultural importance. Healthy river conditions through sufficient flows and optimal temperatures are of paramount importance for the survival of Pacific salmon, which migrate upriver toward the headwaters to spawn near the end of their lives. Trends have been detected which indicate that the annual flow and summer temperature have been increasing since the middle of the last century. In this study we examine the observed trend in summer temperature of the Fraser River and compare it with temperatures calculated as part of a global climate model ( GCM) simulation in which atmospheric greenhouse gases are increasing. We then use the GCM to consider how these trends might continue through the present century. Both the observations and model indicate that during the last half of the 20th century, the summer temperature near the river mouth has been increasing at a rate of approximately 0.12&deg","2007-01-01","2017-02-21 22:50:26","2017-02-21 22:50:26","","336-346","","3-4","342","","Journal of Hydrology","","","","","","","","Language: English.","","","Fish, Fisheries & Aquatic Biodiversity Worldwide","","NISC South Africa","","","","","","British Columbia; Canada; climate change aspects; Climatology / climate change; fish; fraser river; fraser river basin; global climate model; global climate models; greenhouse gases; hydrologic model; Hydrology; Mathematical models / Equations; North America; pacific salmon; river conditions; rivers / lakes; river temperatures; spawning migrations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BNCEQDUN","journalArticle","2007","Klein, Linda R.; Clayton, Stephen R.; Alldredge, J. Richard; Goodwin, Peter","Long‐Term Monitoring and Evaluation of the Lower Red River Meadow Restoration Project, Idaho, U.S.A.","Restoration Ecology","","1526-100X","10.1111/j.1526-100X.2007.00206.x","http://ida.lib.uidaho.edu:3278/doi/10.1111/j.1526-100X.2007.00206.x/full","Although public and financial support for stream restoration projects is increasing, long‐term monitoring and reporting of project successes and failures are limited. We present the initial results of...","2007-06-01","2017-02-16 18:30:56","2017-02-16 18:30:56","2017-02-16 18:30:56","223-239","","2","15","","","","","","","","","","en","","","","","ida.lib.uidaho.edu:3278","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\U6DSQE2C\full.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BRRREV5U","journalArticle","2000","Band, Lawrence E.; Tague, Christina L.; Brun, Soren E.; Tenenbaum, David E.; Fernandes, Richard A.","Modelling watersheds as spatial object hierarchies: structure and dynamics","Transactions in GIS","","","","http://onlinelibrary.wiley.com/doi/10.1111/1467-9671.00048/full","","2000","2016-06-08 19:55:46","2016-06-08 19:55:46","2016-06-08 19:55:46","181–196","","3","4","","","Modelling watersheds as spatial object hierarchies","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\4V5J5V5J\full.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BT2TM6JV","journalArticle","2007","Lindley, S T; Schick, R S; Mora, E; Adams, P B; Anderson, J J; Greene, S","Framework for Assessing Viability of Threatened and Endangered Chinook Salmon and Steelhead in the Sacramento-San Joaquin Basin","San Francisco Estuary and watershed Science","","15462366","","http://ida.lib.uidaho.edu:2048/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ffw&AN=1095999&site=ehost-live&scope=site","Protected evolutionarily significant units ( ESUs) of salmonids require objective and measurable criteria for guiding their recovery. In this report, we develop a method for assessing population viability and two ways to integrate these population-level assessments into an assessment of ESU viability. Population viability is assessed with quantitative extinction models or criteria relating to population size, population growth rate, the occurrence of catastrophic declines, and the degree of hatchery influence. ESU viability is assessed by examining the number and distribution of viable populations across the landscape and their proximity to sources of catastrophic disturbance. Central Valley spring-run and winter-run Chinook salmon ESUs are not currently viable, according to the criteria-based assessment. In both ESUs, extant populations may be at low risk of extinction, but these populations represent a small portion of the historical ESUs, and are vulnerable to catastrophic disturbance. The winter-run Chinook salmon ESU, in the extreme case, is represented by a single population that spawns outside of its historical spawning range. We are unable to assess the status of the Central Valley steelhead ESU with our framework because almost all of its roughly 80 populations are classified as data deficient. The few exceptions are those populations with a closely associated hatchery, and the naturally-spawning fish in these streams are at high risk of extinction. Population monitoring in this ESU is urgently needed. Global and regional climate change poses an additional risk to the survival of salmonids in the Central Valley. A literature review suggests that by 2100, mean summer temperatures in the Central Valley region may increase by 2-8°C, precipitation will likely shift to more rain and less snow, with significant declines in total precipitation possible, and hydrographs will likely change, especially the the southern Sierra Nevada mountains. Warming at the lower end of the predicted range may allow spring-run Chinook salmon to persist in some streams, while making some currently utilized habitat inhospitable. At the upper end of the range of predicted warming, very little spring-run Chinook salmon habitat is expected to remain suitable. In spite of the precarious position of Central Valley salmonid ESUs, there are prospects for greatly improving their viability. Recovering Central Valley ESUs may require re-establishing populations where historical populations have been extirpated (e.g., upstream of major dams). Such major efforts should be focused on those watersheds that offer the best possibility of providing suitable habitat in a warmer future","2007-01-01","2017-02-21 22:50:26","2017-02-21 22:50:26","","no number","","1","5","","San Francisco Estuary and watershed Science","","","","","","","","Language: English.","","","Fish, Fisheries & Aquatic Biodiversity Worldwide","","NISC South Africa","","","","","","chinook salmon; Climatology / climate change; Distribution / Biogeography; Ecology; Estuarine / Lagoon / Brackishwater environments; extinction models; fish; Mathematical models / Equations; population assessment; sacramentosan joaquin river delta; salmonids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BT5MQSCU","journalArticle","2008","Hanna, Susan S.","Institutions for managing resilient salmon (Oncorhynchus spp.) ecosystems: the role of incentives and transaction costs","Ecology and Society","","","","http://dlc.dlib.indiana.edu/dlc/handle/10535/2842","","2008","2016-09-26 21:40:29","2016-09-26 21:40:29","2016-09-26 21:40:29","35","","2","13","","","Institutions for managing resilient salmon (Oncorhynchus spp.) ecosystems","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\NMIZZF7G\Hanna - 2008 - Institutions for managing resilient salmon (Oncorh.pdf; C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\9R6ZM836\2842.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C3HTFSA9","journalArticle","2012","Embrey, S.; Remais, Jv; Hess, J.","Climate Change and Ecosystem Disruption: The Health Impacts of the North American Rocky Mountain Pine Beetle Infestation","American Journal Of Public Health","","0090-0036","10.2105/AJPH.2011.300520","","","2012","2016-11-04 23:29:03","2016-11-04 23:29:03","","818–827","","5","102","","","Climate Change and Ecosystem Disruption","","","","","","","English","","","","","search.lib.uidaho.edu","","","","","","","blue-stain fungi; boreal forest; british-columbia; dendroctonus-ponderosae hopkins; global environmental-change; national-parks; natural disturbances; range expansion; water-quality; wood smoke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C4JX9M5W","case","2015","Kagan","Kansas v. Nebraska and Colorado","","","","","http://www.scotusblog.com/case-files/cases/kansas-v-nebraska-and-colorado/","","2015-02-24","2016-02-26 14:34:31","2016-02-26 14:37:07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C8WME53H","journalArticle","2016","Gould, Gregory K.; Liu, Mingliang; Barber, Michael E.; Cherkauer, Keith A.; Robichaud, Peter R.; Adam, Jennifer C.","The effects of climate change and extreme wildfire events on runoff erosion over a mountain watershed","Journal of Hydrology","","0022-1694","10.1016/j.jhydrol.2016.02.025","","•We model the effects of climate change and extreme wildfire activity on erosion.•A hillslope-scale erosion model was nested into a macroscale hydrologic model.•Wildfire exacerbates the impacts of climate change on the hydrograph shape.•Climate change may exacerbate the impacts of extreme wildfires on sediment yield. Increases in wildfire occurrence and severity under an altered climate can substantially impact terrestrial ecosystems through enhancing runoff erosion. Improved prediction tools that provide high resolution spatial information are necessary for location-specific soil conservation and watershed management. However, quantifying the magnitude of soil erosion and its interactions with climate, hydrological processes, and fire occurrences across a large region (>10,000km2) is challenging because of the large computational requirements needed to capture the fine-scale complexities of the land surface that govern erosion. We apply the physically-based coupled Variable Capacity Infiltration–Water Erosion Prediction Project (VIC–WEPP) model to study how wildfire occurrences can enhance soil erosion in a future climate over a representative watershed in the northern Rocky Mountains – the Salmon River Basin (SRB) in central Idaho. While the VIC model simulates hydrologic processes at larger scales, the WEPP model simulates erosion at the hillslope scale by sampling representative hillslopes.VIC–WEPP model results indicate that SRB streamflow will have an earlier shift in peak flow by one to two months under future climate scenarios in response to a declining snowpack under warming temperatures. The magnitude of peak flow increases with each higher severity fire scenario; and under the highest fire severity, the peak flow is shifted even earlier, exacerbating the effects of climate change. Similarly, sediment yield also increases with higher fire severities for both historical and future climates. Sediment yield is more sensitive to fire occurrence than to climate change by one to two orders of magnitude, which is not unexpected given that our fire scenarios were applied basin wide as worst case scenarios. In reality, fires only occur over portions of the basin in any given year and subsequent years’ vegetation regrowth reduces erosion. However, the effects of climate change on sediment yield result in greater spatial heterogeneities, primarily because of the spatial differences in precipitation projections, while fire conditions were uniformly applied. The combined effects of climate change and a possible continuation of increasing fire frequency and severity will compound excess sediment issues that already exist in this region of the intermountain West.","2016","2016-11-04 23:29:03","2016-11-04 23:29:03","","74–91","","","536","","","","","","","","","","eng","","","","","search.lib.uidaho.edu","","","","","","","Climate Change; Erosion; Hydrology; Wepp Model; Wildfire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CB3SPP98","journalArticle","2002","Roncoli, Carla; Ingram, Keith; Kirshen, Paul","Reading the Rains: Local Knowledge and Rainfall Forecasting in Burkina Faso","Society & Natural Resources","","0894-1920","10.1080/08941920252866774","","This article describes how farmers of Burkina Faso predict seasonal rainfall and examines how their forecasts relate to those produced by meteorological science. Farmers' forecasting knowledge encompasses shared and selective repertoires. Most farmers formulate expectations from observation of natural phenomena. Cultural and ritual spiritualists also predict rainfall from divination, visions, and dreams. Rather than positing local and scientific knowledge as self-exclusive, our research shows that farmers operate in multiple cognitive frameworks. Moreover, they are interested in receiving scientific information because they perceive local forecasts as becoming less reliable as a result of increasing climate variability. Some aspects of local forecasting knowledge, such as those stressing the relationship between temperatures, wind, and rainfall, can help explain meteorology-based forecasts. But significant discordance remains between scientific and local forecasts. The former predict total rainfall quantity at a regional scale, whereas the latter stress rainfall duration and distribution and are more attuned to crop-weather interactions. Local systems of thought stress the relationship between knowledge and social responsibility. This emphasizes the need for scientists to integrate information dissemination projects with efforts to improve farmers' capacity to respond to forecasts and to cope with suboptimal climate impacts.","2002","2016-03-17 18:08:57","2016-03-17 18:08:57","","409–427","","5","15","","","Reading the Rains","","","","","","","","","","","","Primo","","","","","","","Burkina Faso; Climate Variability; Environmental Indicators; Farmer Knowledge; Indigenous Meteorology; Seasonal Rainfall Forecasts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
